chunk_size,questions_num,qa_count_mismatch,total_questions,token_Size,total_chunks,success_count,fail_count,elapsed_time
128,2,3,23,128,40,13,27,0:02:31.527918
128,2,4,44,256,40,23,17,0:03:52.934793
128,2,4,73,512,40,27,13,0:05:36.879140
128,2,5,55,1024,40,26,14,0:07:08.898724
128,2,10,96,2048,40,26,14,0:12:38.683232
256,2,2,16,128,40,9,31,0:03:08.839180
256,2,3,36,256,40,18,22,0:04:28.404336
256,2,8,38,512,40,23,17,0:07:19.499141
256,2,7,60,1024,40,30,10,0:06:17.182917
256,2,8,93,2048,40,25,15,0:16:54.419649
512,2,1,23,128,40,11,29,0:03:13.373985
512,2,4,40,256,40,21,19,0:05:18.189986
512,2,4,36,512,40,20,20,0:08:02.885998
512,2,3,87,1024,40,29,11,0:09:27.694060
512,2,8,59,2048,40,28,12,0:11:14.875096
1024,2,0,10,128,40,5,35,0:03:21.997998
1024,2,0,26,256,40,13,27,0:05:43.309569
1024,2,2,47,512,40,20,20,0:08:10.919513
1024,2,6,51,1024,40,25,15,0:12:13.984855
1024,2,5,56,2048,40,24,16,0:18:11.263800
