chunk_size,max_tokens,questions_num,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,run_id,elapsed_time
128,128,2,0.1346774052783103,0.034705652093766554,0.101338241205192,0.11892457739820543,0.5750750535064273,0.34567197991742027,0.4194243285391066,0.4344313107430935,20250506,0 days 00:01:26.339257
128,256,2,0.2861990765452588,0.2077914312352367,0.2476458750194746,0.275780456798489,0.6572862695902586,0.45385578740388155,0.5251193027943373,0.5075399646302685,20250506,0 days 00:01:42.832198
128,512,2,0.28600023289320403,0.21757190170094243,0.247319030508224,0.27829084551870825,0.7013252829683239,0.4778395454431402,0.5543324690440605,0.5195914993769136,20250506,0 days 00:03:24.719084
128,1024,2,0.2498336558771438,0.1584761196811403,0.2079754923751268,0.23974928038270726,0.6884278289733394,0.4418933588650919,0.5189396210255162,0.457866522633741,20250506,0 days 00:02:57.745891
128,2048,2,0.4100245816639825,0.34817244907946243,0.3800597446444092,0.4042999141225775,0.77436591897692,0.5127152644452595,0.6011890939303807,0.6326043130386443,20250506,0 days 00:04:09.061332
256,128,2,0.08662705893936379,0.06482761242254914,0.08495788816311374,0.08662705893936379,0.6716674268245697,0.30206070840358734,0.4123847633600235,0.2814449295401573,20250506,0 days 00:01:35.251072
256,256,2,0.13259154272752804,0.06124220220669689,0.10479902309400227,0.12939691154128624,0.6116066468613488,0.3408770550574575,0.43177427777222227,0.4349310089434896,20250506,0 days 00:02:26.250575
256,512,2,0.20565714896153775,0.16179220597865013,0.1829856266867922,0.20018993063962112,0.5964844497767362,0.3541288667104461,0.43222869458523666,0.4690499583428556,20250506,0 days 00:02:58.154347
256,1024,2,0.16807607120485565,0.09933884459292956,0.14324939902381073,0.1689347315020803,0.583422143350948,0.38047691908749665,0.45205279236490076,0.435775408690626,20250506,0 days 00:03:51.862698
256,2048,2,0.10828981748133205,0.06532268191920562,0.09021907993806262,0.10738253464209437,0.6061548919820073,0.31494601715856524,0.40409938991069794,0.3044247280027884,20250506,0 days 00:03:32.900114
512,128,2,0.08809035852895233,0.06466498259294645,0.07984558758284938,0.08673718730683937,0.7022896153586251,0.3310441757951464,0.4481598607131413,0.4063279793730804,20250506,0 days 00:01:33.829386
512,256,2,0.06992493537661286,0.037362636359312106,0.05384661198838755,0.06755188426122212,0.5952144414186478,0.30147305130958557,0.39672223664820194,0.3060954201500863,20250506,0 days 00:02:05.562282
512,512,2,0.11558100193123934,0.07708458361243872,0.09614252724641562,0.11165866331977545,0.5714011494372342,0.2968163778250282,0.38189323669349823,0.32399815069259824,20250506,0 days 00:03:54.155141
512,1024,2,0.1404153152915468,0.09659637892246231,0.11960591291903791,0.13601535392819666,0.6489936051999822,0.3697153960957247,0.4666067344300887,0.44251471407273235,20250506,0 days 00:04:34.654732
512,2048,2,0.22103348985100052,0.16555770405579817,0.19813685037608325,0.21760960238467794,0.6773274739583334,0.42356286391063974,0.5168211702947263,0.44809842606385547,20250506,0 days 00:06:13.943112
1024,128,2,0.04417177928686104,0.02347320523914766,0.03774466441418493,0.0436009723388176,0.6085887551307678,0.3216020278632641,0.4191187545657158,0.3803548328578472,20250506,0 days 00:01:36.356550
1024,256,2,0.061191549552500744,0.03140074120743682,0.050130745504417304,0.059610824131259954,0.6141514469076086,0.35374446654761277,0.4446149242145044,0.3654204683930234,20250506,0 days 00:02:25.829031
1024,512,2,0.05694723024549211,0.02732028530134617,0.04333886376631568,0.0542261874969826,0.5792033699425784,0.3366804207590493,0.4221282384612344,0.35173098963092675,20250506,0 days 00:03:24.622529
1024,1024,2,0.10853113837693659,0.08104548403435574,0.09418152069229313,0.10782526087659476,0.6152725709336144,0.37984043998377665,0.46088686053242,0.3593240130160536,20250506,0 days 00:04:01.783755
1024,2048,2,0.14872138145945468,0.11075565931990018,0.1262585835433534,0.14422941777884485,0.5982373745545096,0.4028477837210116,0.4738288482894068,0.44595775850441144,20250506,0 days 00:07:18.357244
