chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,elapsed_time
128,2,0,0,128,10,0,10,0:00:33.407976
128,2,0,0,128,20,0,20,0:01:15.389419
128,2,0,0,128,30,0,30,0:01:53.267756
128,2,0,0,128,40,0,40,0:02:32.549417
128,2,0,0,128,50,0,50,0:03:04.284471
128,2,0,0,128,60,0,60,0:03:43.632198
128,2,0,0,128,70,0,70,0:04:20.623845
128,2,0,0,128,80,0,80,0:04:56.030002
128,2,0,0,128,90,0,90,0:05:25.982272
128,2,0,0,128,100,0,100,0:05:50.955003
128,2,0,10,128,110,5,105,0:06:30.907337
128,2,0,10,128,120,5,115,0:07:14.065847
128,2,0,10,128,130,5,125,0:07:49.283826
128,2,0,10,128,140,5,135,0:08:29.181319
128,2,0,10,128,150,5,145,0:09:10.281646
128,2,0,10,128,160,5,155,0:09:46.985913
128,2,0,10,128,170,5,165,0:10:16.204192
128,2,0,10,128,180,5,175,0:10:52.843888
128,2,0,10,128,190,5,185,0:11:36.219353
128,2,0,10,128,200,5,195,0:12:12.169591
