chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,2,50,524,128,2000,284,1716,5,4,1:59:41.932347
128,2,50,524,128,2000,284,1716,5,4,1:59:41.932347
128,2,108,1195,256,2000,625,1375,5,10,3:02:01.800576
128,2,130,1620,512,2000,824,1176,14,14,3:41:33.639010
128,2,130,1620,512,2000,824,1176,14,14,3:41:33.639010
128,2,171,1719,1024,2000,837,1164,23,33,4:44:29.102826
128,2,147,1660,2048,2000,810,1190,19,23,7:05:03.367332
256,2,50,638,128,2000,335,1665,2,10,2:13:48.454486
256,2,103,1441,256,2000,732,1268,15,22,3:25:41.943253
256,2,103,1441,256,2000,732,1268,15,22,3:25:41.943253
256,2,156,1998,512,2000,937,1063,27,14,4:17:27.618409
256,2,103,1441,256,2000,732,1268,15,22,3:25:41.943253
256,2,156,1998,512,2000,937,1063,27,14,4:17:27.618409
256,2,190,2333,1024,2000,1039,961,79,16,5:25:26.881538
256,2,103,1441,256,2000,732,1268,15,22,3:25:41.943253
256,2,156,1998,512,2000,937,1063,27,14,4:17:27.618409
256,2,190,2333,1024,2000,1039,961,79,16,5:25:26.881538
256,2,188,2386,2048,2000,1060,940,62,25,7:09:12.778115
512,2,33,563,128,1722,291,1431,6,12,2:02:23.395619
512,2,33,563,128,1722,291,1431,6,12,2:02:23.395619
512,2,76,1249,256,1722,598,1124,14,20,3:15:36.360756
512,2,72,949,512,722,405,317,40,12,1:48:33.594163
512,2,72,949,512,722,405,317,40,12,1:48:33.594163
512,2,190,2168,1024,1722,880,842,50,24,6:11:41.131836
512,2,72,949,512,722,405,317,40,12,1:48:33.594163
512,2,190,2168,1024,1722,880,842,50,24,6:11:41.131836
512,2,207,2425,2048,1722,921,803,82,73,8:32:06.053899
512,2,72,949,512,722,405,317,40,12,1:48:33.594163
512,2,190,2168,1024,1722,880,842,50,24,6:11:41.131836
512,2,207,2425,2048,1722,921,803,82,73,8:32:06.053899
1024,2,14,168,128,910,86,824,3,2,1:06:13.552054
512,2,72,949,512,722,405,317,40,12,1:48:33.594163
512,2,190,2168,1024,1722,880,842,50,24,6:11:41.131836
512,2,207,2425,2048,1722,921,803,82,73,8:32:06.053899
1024,2,14,168,128,910,86,824,3,2,1:06:13.552054
1024,2,38,457,256,910,212,698,8,4,1:53:44.136646
512,2,72,949,512,722,405,317,40,12,1:48:33.594163
512,2,190,2168,1024,1722,880,842,50,24,6:11:41.131836
512,2,207,2425,2048,1722,921,803,82,73,8:32:06.053899
1024,2,14,168,128,910,86,824,3,2,1:06:13.552054
1024,2,38,457,256,910,212,698,8,4,1:53:44.136646
1024,2,58,735,512,910,317,593,37,14,2:48:49.084173
