chunk_size,max_tokens,questions_num,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,substring_date,elapsed_time
128,128,2,0.240665059,0.171810754,0.209918765,0.229688064,0.714531579,0.440610457,0.53975595,0.559265616,LMForge_RUN02,0 days 01:59:41.932347
128,256,2,0.348573799,0.237600941,0.288869089,0.330728233,0.710436026,0.511877337,0.588491788,0.614801286,LMForge_RUN02,0 days 03:02:01.800576
128,512,2,0.341292222,0.220039516,0.27396724,0.322395027,0.685208152,0.514371304,0.581320169,0.610508719,LMForge_RUN02,0 days 03:41:33.639010
128,1024,2,0.351166829,0.23105192,0.284324707,0.332217299,0.691136216,0.520246351,0.585593352,0.609433036,LMForge_RUN02,0 days 04:44:29.102826
128,2048,2,0.347461307,0.221321143,0.275704214,0.326841568,0.679636123,0.520178325,0.581982028,0.618117518,LMForge_RUN02,0 days 07:05:03.367332
256,128,2,0.135134297,0.092862133,0.115661417,0.130724621,0.690600605,0.376526838,0.482919917,0.485952502,LMForge_RUN02,0 days 02:13:48.454486
256,256,2,0.226013274,0.155069246,0.188587119,0.217954792,0.717311569,0.445890946,0.544432595,0.557282088,LMForge_RUN02,0 days 03:25:41.943253
256,512,2,0.267783447,0.185059548,0.219891141,0.258580486,0.716792275,0.468482009,0.559921515,0.576765377,LMForge_RUN02,0 days 04:17:27.618409
256,1024,2,0.262299539,0.181449208,0.216054431,0.252904846,0.714287882,0.466108956,0.556907795,0.571840432,LMForge_RUN02,0 days 05:25:26.881538
256,2048,2,0.266107921,0.180521539,0.21776545,0.256448711,0.70952973,0.469145995,0.557798885,0.570550713,LMForge_RUN02,0 days 07:09:12.778115
512,128,2,0.066375116,0.045093652,0.058550445,0.064602804,0.670579757,0.335312428,0.443248106,0.452921352,LMForge_RUN02,0 days 02:02:23.395619
512,256,2,0.121947826,0.08869706,0.105926087,0.119083613,0.701275631,0.387191324,0.494463913,0.503583252,LMForge_RUN02,0 days 03:15:36.360756
512,512,2,0.158334166,0.11825926,0.136116279,0.154787239,0.705889139,0.406700075,0.510515583,0.512735471,LMForge_RUN02,0 days 04:31:11.187908
512,1024,2,0.170318209,0.126866895,0.146392467,0.166516504,0.704869527,0.414371519,0.515784449,0.516177913,LMForge_RUN02,0 days 06:11:41.131836
512,2048,2,0.173279635,0.125743437,0.146226057,0.169188993,0.695761667,0.417505194,0.515816455,0.508248345,LMForge_RUN02,0 days 08:32:06.053899
1024,128,2,0.031998731,0.021179949,0.028436115,0.031318261,0.593532572,0.313628886,0.406797011,0.360900753,LMForge_RUN02,0 days 01:06:13.552054
1024,256,2,0.061267759,0.044677676,0.053717457,0.06029382,0.643307622,0.364766079,0.461082939,0.419532603,LMForge_RUN02,0 days 01:53:44.136646
1024,512,2,0.081810219,0.059997158,0.070783609,0.080222687,0.637665509,0.376272954,0.467230915,0.447939526,LMForge_RUN02,0 days 02:48:49.084173
1024,1024,2,0.098731505,0.077217414,0.087421362,0.097352808,0.657988875,0.394190962,0.48656893,0.452834421,LMForge_RUN02,0 days 04:14:31.460100
1024,2048,2,0.1075921,0.082723517,0.093493824,0.105782374,0.658675507,0.402501667,0.493405316,0.464378707,LMForge_RUN02,0 days 06:04:50.745948
