chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,130,1620,512,2000,824,1176,14,14,0
128,0,171,1719,1024,2000,837,1164,23,33,0
128,0,147,1660,2048,2000,810,1190,19,23,0
256,0,50,638,128,2000,335,1665,2,10,0
256,0,103,1441,256,2000,732,1268,15,22,0
256,0,156,1998,512,2000,937,1063,27,14,0
256,0,190,2333,1024,2000,1039,961,79,16,0
256,0,188,2386,2048,2000,1060,940,62,25,0
512,0,33,563,128,1722,291,1431,6,12,0
512,0,76,1249,256,1722,598,1124,14,20,0
512,0,190,2168,1024,1722,880,842,50,24,0
512,0,207,2425,2048,1722,921,803,82,73,0
1024,0,14,168,128,910,86,824,3,2,0
1024,0,38,457,256,910,212,698,8,4,0
1024,0,58,735,512,910,317,593,37,14,0
1024,0,8,113,1024,74,39,34,16,2,0
512,0,135,1870,512,1722,810,912,43,25,0
