model,max_length,training_time,prediction_time,best_checkpoint,accuracy,weighted_f1,precision,recall,group
albert-base-v2,512,332.6804375,9.69931640625,D:/huggingface_cache/classification_models/albert-base-v2\checkpoint-948,0.9501582278481012,0.9495520105404668,0.9497761474988896,0.9501582278481012,Small
electra-small,512,96.4146875,2.563694091796875,D:/huggingface_cache/classification_models/electra-small\checkpoint-948,0.9525316455696202,0.9519808524274956,0.9521915120911946,0.9525316455696202,Small
mobilebert,512,225.29465625,5.0396806640625,D:/huggingface_cache/classification_models/mobilebert\checkpoint-632,0.9509493670886076,0.9509002824493448,0.9508572327767943,0.9509493670886076,Small
deberta-v3-small,512,340.0466875,8.6848251953125,D:/huggingface_cache/classification_models/deberta-v3-small\checkpoint-632,0.9525316455696202,0.9519276024824836,0.9522335164666772,0.9525316455696202,Small
distilbert,128,55.11841796875,1.2563170166015625,D:/huggingface_cache/classification_models/distilbert\checkpoint-948,0.9525316455696202,0.9518738038759724,0.9522883835519506,0.9525316455696202,Small
bert,128,115.4943515625,2.065423095703125,D:/huggingface_cache/classification_models/bert\checkpoint-1264,0.9541139240506328,0.9539273259389034,0.9538389286643324,0.9541139240506328,Medium
xlnet,512,677.2435625,16.1170087890625,D:/huggingface_cache/classification_models/xlnet\checkpoint-1264,0.9572784810126582,0.9568302024214232,0.9570140489573492,0.9572784810126582,Medium
roberta,512,317.5775,6.482283203125,D:/huggingface_cache/classification_models/roberta\checkpoint-1264,0.9533227848101266,0.9534824368648978,0.9537151248747908,0.9533227848101266,Medium
deberta-v3-base,256,306.03540625,5.55669873046875,D:/huggingface_cache/classification_models/deberta-v3-base\checkpoint-1264,0.951740506329114,0.9517644626971444,0.951789921608442,0.951740506329114,Medium
xlm-roberta-base,512,427.62553125,6.15946923828125,D:/huggingface_cache/classification_models/xlm-roberta-base\checkpoint-1264,0.9549050632911392,0.9543057334453304,0.9547001465618912,0.9549050632911392,Medium
bert-large-uncased,512,1194.4475,24.08985546875,D:/huggingface_cache/classification_models/bert-large-uncased\checkpoint-2526,0.9588607594936708,0.9589816865973588,0.9591568788056845,0.9588607594936708,Large
roberta-large,256,793.919875,11.322501953125,D:/huggingface_cache/classification_models/roberta-large\checkpoint-3789,0.9533227848101266,0.9524864357806472,0.953406459477958,0.9533227848101266,Large
electra-large,512,1399.067375,30.064796875,D:/huggingface_cache/classification_models/electra-large\checkpoint-3789,0.9556962025316456,0.9548233233622898,0.9560639551593936,0.9556962025316456,Large
xlm-roberta-large,256,1038.67975,10.9918984375,D:/huggingface_cache/classification_models/xlm-roberta-large\checkpoint-2526,0.951740506329114,0.95141737115823,0.9513549724811908,0.951740506329114,Large
deberta-large,256,1091.308,18.0754296875,D:/huggingface_cache/classification_models/deberta-large\checkpoint-2526,0.9462025316455696,0.9450123181176004,0.9464079351481102,0.9462025316455696,Large
