model_a,max_len_a,key_a,model_b,max_len_b,key_b,mcnemar_chi2,p_value,b_err_A_wrong_B_right,c_err_A_right_B_wrong
albert-base-v2,512,albert-base-v2_len512,bert,128,bert_len128,0.022727272727272728,0.8801684549067255,21,23
albert-base-v2,512,albert-base-v2_len512,bert-large-uncased,512,bert-large-uncased_len512,1.9607843137254901,0.16142946236707922,31,20
albert-base-v2,512,albert-base-v2_len512,deberta-large,256,deberta-large_len256,3.8026315789473686,0.051172097975109264,29,47
albert-base-v2,512,albert-base-v2_len512,deberta-v3-base,256,deberta-v3-base_len256,0.016129032258064516,0.8989402980321263,31,31
albert-base-v2,512,albert-base-v2_len512,deberta-v3-small,512,deberta-v3-small_len512,0.0975609756097561,0.7547764265871045,22,19
albert-base-v2,512,albert-base-v2_len512,distilbert,128,distilbert_len128,0.0,1.0,22,23
albert-base-v2,512,albert-base-v2_len512,electra-large,512,electra-large_len512,1.0285714285714285,0.31049443431723206,21,14
albert-base-v2,512,albert-base-v2_len512,electra-small,512,electra-small_len512,0.08888888888888889,0.7655944839957641,24,21
albert-base-v2,512,albert-base-v2_len512,mobilebert,512,mobilebert_len512,0.0,1.0,29,28
albert-base-v2,512,albert-base-v2_len512,roberta,512,roberta_len512,0.15,0.6985353583033387,32,28
albert-base-v2,512,albert-base-v2_len512,roberta-large,256,roberta-large_len256,0.021739130434782608,0.882783191152826,24,22
albert-base-v2,512,albert-base-v2_len512,xlm-roberta-base,512,xlm-roberta-base_len512,0.625,0.42919530044034926,23,17
albert-base-v2,512,albert-base-v2_len512,xlm-roberta-large,256,xlm-roberta-large_len256,0.017241379310344827,0.8955329031670437,29,29
albert-base-v2,512,albert-base-v2_len512,xlnet,512,xlnet_len512,1.9393939393939394,0.1637343543245882,21,12
bert,128,bert_len128,bert-large-uncased,512,bert-large-uncased_len512,2.938775510204082,0.08647626549366548,31,18
bert,128,bert_len128,deberta-large,256,deberta-large_len256,2.8846153846153846,0.08942935902899346,31,47
bert,128,bert_len128,deberta-v3-base,256,deberta-v3-base_len256,0.016129032258064516,0.8989402980321263,32,30
bert,128,bert_len128,deberta-v3-small,512,deberta-v3-small_len512,0.41025641025641024,0.5218393903336151,22,17
bert,128,bert_len128,distilbert,128,distilbert_len128,0.0,1.0,19,18
bert,128,bert_len128,electra-large,512,electra-large_len512,2.064516129032258,0.1507627750266412,20,11
bert,128,bert_len128,electra-small,512,electra-small_len512,0.45714285714285713,0.49896229860376107,20,15
bert,128,bert_len128,mobilebert,512,mobilebert_len512,0.0784313725490196,0.779434528427275,27,24
bert,128,bert_len128,roberta,512,roberta_len512,0.44642857142857145,0.5040358664525046,31,25
bert,128,bert_len128,roberta-large,256,roberta-large_len256,0.2647058823529412,0.6069054272179508,19,15
bert,128,bert_len128,xlm-roberta-base,512,xlm-roberta-base_len512,1.065217391304348,0.3020282281097738,27,19
bert,128,bert_len128,xlm-roberta-large,256,xlm-roberta-large_len256,0.017857142857142856,0.8936946693232326,29,27
bert,128,bert_len128,xlnet,512,xlnet_len512,2.7027027027027026,0.10017829422626791,24,13
bert-large-uncased,512,bert-large-uncased_len512,deberta-large,256,deberta-large_len256,14.79245283018868,0.00012001485901520004,12,41
bert-large-uncased,512,bert-large-uncased_len512,deberta-v3-base,256,deberta-v3-base_len256,3.225806451612903,0.07248608508684644,10,21
bert-large-uncased,512,bert-large-uncased_len512,deberta-v3-small,512,deberta-v3-small_len512,1.1136363636363635,0.2912928476178098,18,26
bert-large-uncased,512,bert-large-uncased_len512,distilbert,128,distilbert_len128,2.326923076923077,0.1271529926000142,20,32
bert-large-uncased,512,bert-large-uncased_len512,electra-large,512,electra-large_len512,0.18,0.6713732405408727,23,27
bert-large-uncased,512,bert-large-uncased_len512,electra-small,512,electra-small_len512,1.225,0.2683816272927576,16,24
bert-large-uncased,512,bert-large-uncased_len512,mobilebert,512,mobilebert_len512,2.25,0.13361440253771584,13,23
bert-large-uncased,512,bert-large-uncased_len512,roberta,512,roberta_len512,0.8372093023255814,0.360196133386002,18,25
bert-large-uncased,512,bert-large-uncased_len512,roberta-large,256,roberta-large_len256,1.4222222222222223,0.23303798227390204,18,27
bert-large-uncased,512,bert-large-uncased_len512,xlm-roberta-base,512,xlm-roberta-base_len512,0.3404255319148936,0.5595836997752427,21,26
bert-large-uncased,512,bert-large-uncased_len512,xlm-roberta-large,256,xlm-roberta-large_len256,2.3255813953488373,0.1272626636204396,16,27
bert-large-uncased,512,bert-large-uncased_len512,xlnet,512,xlnet_len512,0.025,0.8743670611628918,19,21
deberta-large,256,deberta-large_len256,deberta-v3-base,256,deberta-v3-base_len256,6.568181818181818,0.010381795789701767,31,13
deberta-large,256,deberta-large_len256,deberta-v3-small,512,deberta-v3-small_len512,5.970149253731344,0.014550049247421962,44,23
deberta-large,256,deberta-large_len256,distilbert,128,distilbert_len128,3.240506329113924,0.07183843370215465,48,31
deberta-large,256,deberta-large_len256,electra-large,512,electra-large_len512,7.890410958904109,0.0049697571114056625,49,24
deberta-large,256,deberta-large_len256,electra-small,512,electra-small_len512,5.47945205479452,0.019241289593884794,47,26
deberta-large,256,deberta-large_len256,mobilebert,512,mobilebert_len512,5.890909090909091,0.015219241743104685,37,18
deberta-large,256,deberta-large_len256,roberta,512,roberta_len512,8.48076923076923,0.0035892030425683946,37,15
deberta-large,256,deberta-large_len256,roberta-large,256,roberta-large_len256,5.3088235294117645,0.02121767965217421,44,24
deberta-large,256,deberta-large_len256,xlm-roberta-base,512,xlm-roberta-base_len512,7.347222222222222,0.006716645502620928,48,24
deberta-large,256,deberta-large_len256,xlm-roberta-large,256,xlm-roberta-large_len256,6.880952380952381,0.008711912962379598,30,12
deberta-large,256,deberta-large_len256,xlnet,512,xlnet_len512,10.08955223880597,0.0014911233442756256,47,20
deberta-v3-base,256,deberta-v3-base_len256,deberta-v3-small,512,deberta-v3-small_len512,0.07547169811320754,0.7835304977741095,28,25
deberta-v3-base,256,deberta-v3-base_len256,distilbert,128,distilbert_len128,0.0,1.0,33,34
