key,model,max_length,accuracy,accuracy_ci_low,accuracy_ci_high,f1_weighted,f1_ci_low,f1_ci_high
albert-base-v2_len512,albert-base-v2,512,0.9501582278481012,0.9375,0.9612341772151899,0.9495520105404668,0.936562440103246,0.9609459600101948
bert_len128,bert,128,0.9485759493670886,0.9359177215189873,0.9596518987341772,0.9474696172997448,0.9345329822658986,0.959021627757145
bert-large-uncased_len512,bert-large-uncased,512,0.9588607594936709,0.9477848101265823,0.9691455696202531,0.9589816865973589,0.9480584378990401,0.969040132544069
deberta-large_len256,deberta-large,256,0.9359177215189873,0.9224683544303798,0.9493670886075949,0.9368824768174391,0.9236106740737716,0.9497462838411149
deberta-v3-base_len256,deberta-v3-base,256,0.9501582278481012,0.9382713607594937,0.9612341772151899,0.9506952155323686,0.9387283101783104,0.961701152531383
deberta-v3-small_len512,deberta-v3-small,512,0.9525316455696202,0.939873417721519,0.9636075949367089,0.9519276024824836,0.9393684469590671,0.9630625405698823
distilbert_len128,distilbert,128,0.9493670886075949,0.9375,0.9604430379746836,0.9483085105139023,0.9357457229236615,0.9599889187209945
electra-large_len512,electra-large,512,0.9556962025316456,0.9438291139240507,0.9659810126582279,0.9548233233622898,0.9426656541110188,0.9655247786434472
electra-small_len512,electra-small,512,0.9525316455696202,0.9406645569620253,0.9636075949367089,0.9519808524274957,0.9395380048361798,0.9631170167925155
mobilebert_len512,mobilebert,512,0.9509493670886076,0.9390625,0.9620253164556962,0.9509002824493448,0.9385512303758986,0.9621014093966818
roberta_len512,roberta,512,0.9533227848101266,0.9414556962025317,0.9643987341772152,0.9534824368648978,0.9419097264523423,0.9645845588307204
roberta-large_len256,roberta-large,256,0.9517405063291139,0.9390822784810127,0.9628164556962026,0.9509886016083865,0.9380662016265701,0.962287134964252
xlm-roberta-base_len512,xlm-roberta-base,512,0.9549050632911392,0.9430379746835443,0.9651898734177216,0.9543057334453304,0.942033127449509,0.9648850370819294
xlm-roberta-large_len256,xlm-roberta-large,256,0.9501582278481012,0.9382911392405063,0.9620253164556962,0.9504698576272506,0.9388016276162046,0.9620659939913566
xlnet_len512,xlnet,512,0.9572784810126582,0.9454113924050633,0.9683544303797469,0.9568302024214232,0.9448138427844429,0.9680402191255316
