model_a,max_len_a,key_a,model_b,max_len_b,key_b,mcnemar_chi2,p_value,b_err_A_wrong_B_right,c_err_A_right_B_wrong
albert-base-v2,512,albert-base-v2_len512,bert,128,bert_len128,0.0,1.0,31,30
albert-base-v2,512,albert-base-v2_len512,bert-large-uncased,512,bert-large-uncased_len512,22.685185185185187,1.9083352345314023e-06,45,9
albert-base-v2,512,albert-base-v2_len512,deberta-large,256,deberta-large_len256,0.04819277108433735,0.8262383659187281,40,43
albert-base-v2,512,albert-base-v2_len512,deberta-v3-base,256,deberta-v3-base_len256,3.2142857142857144,0.07299804543011573,43,27
albert-base-v2,512,albert-base-v2_len512,deberta-v3-small,512,deberta-v3-small_len512,11.020833333333334,0.0009009355963600161,36,12
albert-base-v2,512,albert-base-v2_len512,distilbert,128,distilbert_len128,1.0847457627118644,0.2976383171466403,34,25
albert-base-v2,512,albert-base-v2_len512,electra-large,512,electra-large_len512,8.166666666666666,0.004266724822176128,38,16
albert-base-v2,512,albert-base-v2_len512,electra-small,512,electra-small_len512,0.390625,0.5319710580974011,29,35
albert-base-v2,512,albert-base-v2_len512,mobilebert,512,mobilebert_len512,14.254545454545454,0.00015967470494025735,42,13
albert-base-v2,512,albert-base-v2_len512,roberta,512,roberta_len512,10.73015873015873,0.0010540340457847867,45,18
albert-base-v2,512,albert-base-v2_len512,roberta-large,256,roberta-large_len256,14.254545454545454,0.00015967470494025735,42,13
albert-base-v2,512,albert-base-v2_len512,xlm-roberta-base,512,xlm-roberta-base_len512,13.020833333333334,0.00030804470562774666,37,11
albert-base-v2,512,albert-base-v2_len512,xlm-roberta-large,256,xlm-roberta-large_len256,9.76271186440678,0.0017808702205797816,42,17
albert-base-v2,512,albert-base-v2_len512,xlnet,512,xlnet_len512,9.76271186440678,0.0017808702205797816,42,17
bert,128,bert_len128,bert-large-uncased,512,bert-large-uncased_len512,23.591836734693878,1.1909167495392802e-06,42,7
bert,128,bert_len128,deberta-large,256,deberta-large_len256,0.09782608695652174,0.7544541774940892,44,48
bert,128,bert_len128,deberta-v3-base,256,deberta-v3-base_len256,2.76056338028169,0.09661420844785248,43,28
bert,128,bert_len128,deberta-v3-small,512,deberta-v3-small_len512,11.255813953488373,0.0007937400865612488,33,10
bert,128,bert_len128,distilbert,128,distilbert_len128,1.4411764705882353,0.22994905679421007,21,13
bert,128,bert_len128,electra-large,512,electra-large_len512,9.75609756097561,0.0017872890369872703,31,10
bert,128,bert_len128,electra-small,512,electra-small_len512,0.8372093023255814,0.360196133386002,18,25
bert,128,bert_len128,mobilebert,512,mobilebert_len512,14.58,0.0001343327399405244,39,11
bert,128,bert_len128,roberta,512,roberta_len512,11.574074074074074,0.0006687772911256032,40,14
bert,128,bert_len128,roberta-large,256,roberta-large_len256,16.568181818181817,4.6931849057715786e-05,36,8
bert,128,bert_len128,xlm-roberta-base,512,xlm-roberta-base_len512,9.442622950819672,0.002120000847683319,43,18
bert,128,bert_len128,xlm-roberta-large,256,xlm-roberta-large_len256,8.53225806451613,0.0034890655619424743,43,19
bert,128,bert_len128,xlnet,512,xlnet_len512,10.58,0.0011431765973566508,37,13
bert-large-uncased,512,bert-large-uncased_len512,deberta-large,256,deberta-large_len256,25.333333333333332,4.82301637510344e-07,9,48
bert-large-uncased,512,bert-large-uncased_len512,deberta-v3-base,256,deberta-v3-base_len256,10.027777777777779,0.0015419695689399518,8,28
bert-large-uncased,512,bert-large-uncased_len512,deberta-v3-small,512,deberta-v3-small_len512,4.033333333333333,0.04460971802493953,9,21
bert-large-uncased,512,bert-large-uncased_len512,distilbert,128,distilbert_len128,15.720930232558139,7.340738534732005e-05,8,35
bert-large-uncased,512,bert-large-uncased_len512,electra-large,512,electra-large_len512,5.633333333333334,0.017622090962324415,8,22
bert-large-uncased,512,bert-large-uncased_len512,electra-small,512,electra-small_len512,30.017857142857142,4.280858762147437e-08,7,49
bert-large-uncased,512,bert-large-uncased_len512,mobilebert,512,mobilebert_len512,1.44,0.23013934044341314,9,16
bert-large-uncased,512,bert-large-uncased_len512,roberta,512,roberta_len512,2.206896551724138,0.13739482585580076,10,19
bert-large-uncased,512,bert-large-uncased_len512,roberta-large,256,roberta-large_len256,1.7142857142857142,0.19043026382552042,7,14
bert-large-uncased,512,bert-large-uncased_len512,xlm-roberta-base,512,xlm-roberta-base_len512,3.1153846153846154,0.07755616674366539,8,18
bert-large-uncased,512,bert-large-uncased_len512,xlm-roberta-large,256,xlm-roberta-large_len256,3.7037037037037037,0.05429182836685469,8,19
bert-large-uncased,512,bert-large-uncased_len512,xlnet,512,xlnet_len512,3.225806451612903,0.07248608508684644,10,21
deberta-large,256,deberta-large_len256,deberta-v3-base,256,deberta-v3-base_len256,5.684210526315789,0.017118239704790164,38,19
deberta-large,256,deberta-large_len256,deberta-v3-small,512,deberta-v3-small_len512,10.4,0.00126015313761034,46,19
deberta-large,256,deberta-large_len256,distilbert,128,distilbert_len128,1.4069767441860466,0.2355589199240761,49,37
deberta-large,256,deberta-large_len256,electra-large,512,electra-large_len512,8.347826086956522,0.0038614906633334255,47,22
deberta-large,256,deberta-large_len256,electra-small,512,electra-small_len512,0.04395604395604396,0.833935414088552,44,47
deberta-large,256,deberta-large_len256,mobilebert,512,mobilebert_len512,16.016666666666666,6.278731906213276e-05,46,14
deberta-large,256,deberta-large_len256,roberta,512,roberta_len512,14.016666666666667,0.00018119740367390812,45,15
deberta-large,256,deberta-large_len256,roberta-large,256,roberta-large_len256,15.5,8.250525389262228e-05,47,15
deberta-large,256,deberta-large_len256,xlm-roberta-base,512,xlm-roberta-base_len512,13.75438596491228,0.00020833380892646466,43,14
deberta-large,256,deberta-large_len256,xlm-roberta-large,256,xlm-roberta-large_len256,13.017857142857142,0.0003085346664628331,42,14
deberta-large,256,deberta-large_len256,xlnet,512,xlnet_len512,11.758064516129032,0.0006058018737316812,45,17
deberta-v3-base,256,deberta-v3-base_len256,deberta-v3-small,512,deberta-v3-small_len512,1.1136363636363635,0.2912928476178098,26,18
deberta-v3-base,256,deberta-v3-base_len256,distilbert,128,distilbert_len128,0.5373134328358209,0.4635482645312403,30,37
deberta-v3-base,256,deberta-v3-base_len256,electra-large,512,electra-large_len512,0.46296296296296297,0.49624247444426284,30,24
deberta-v3-base,256,deberta-v3-base_len256,electra-small,512,electra-small_len512,5.95945945945946,0.014638528457408349,26,48
deberta-v3-base,256,deberta-v3-base_len256,mobilebert,512,mobilebert_len512,3.6923076923076925,0.05466393589167511,26,13
deberta-v3-base,256,deberta-v3-base_len256,roberta,512,roberta_len512,2.4390243902439024,0.11834981273562842,26,15
deberta-v3-base,256,deberta-v3-base_len256,roberta-large,256,roberta-large_len256,3.3488372093023258,0.06725250426083074,28,15
deberta-v3-base,256,deberta-v3-base_len256,xlm-roberta-base,512,xlm-roberta-base_len512,1.6875,0.19393085228240695,29,19
deberta-v3-base,256,deberta-v3-base_len256,xlm-roberta-large,256,xlm-roberta-large_len256,1.5609756097560976,0.21152242941072538,25,16
deberta-v3-base,256,deberta-v3-base_len256,xlnet,512,xlnet_len512,1.4222222222222223,0.23303798227390204,27,18
deberta-v3-small,512,deberta-v3-small_len512,distilbert,128,distilbert_len128,5.297297297297297,0.021358540433834634,11,26
deberta-v3-small,512,deberta-v3-small_len512,electra-large,512,electra-large_len512,0.03333333333333333,0.8551321405847059,14,16
deberta-v3-small,512,deberta-v3-small_len512,electra-small,512,electra-small_len512,19.113636363636363,1.2316176136528204e-05,7,37
deberta-v3-small,512,deberta-v3-small_len512,mobilebert,512,mobilebert_len512,0.5517241379310345,0.4576140668763148,17,12
deberta-v3-small,512,deberta-v3-small_len512,roberta,512,roberta_len512,0.11428571428571428,0.7353166906373405,19,16
deberta-v3-small,512,deberta-v3-small_len512,roberta-large,256,roberta-large_len256,0.8421052631578947,0.3587953578869416,12,7
deberta-v3-small,512,deberta-v3-small_len512,xlm-roberta-base,512,xlm-roberta-base_len512,0.029411764705882353,0.8638317428547264,18,16
deberta-v3-small,512,deberta-v3-small_len512,xlm-roberta-large,256,xlm-roberta-large_len256,0.0,1.0,20,19
deberta-v3-small,512,deberta-v3-small_len512,xlnet,512,xlnet_len512,0.0,1.0,19,18
distilbert,128,distilbert_len128,electra-large,512,electra-large_len512,3.891891891891892,0.04851973828025081,25,12
distilbert,128,distilbert_len128,electra-small,512,electra-small_len512,5.0256410256410255,0.024974679293054206,12,27
distilbert,128,distilbert_len128,mobilebert,512,mobilebert_len512,9.025,0.002663119259138558,30,10
