key,model,max_length,accuracy,accuracy_ci_low,accuracy_ci_high,f1_weighted,f1_ci_low,f1_ci_high
albert-base-v1_len512,albert-base-v1,512,0.9797898140662894,0.9716855295068715,0.9870654810024252,0.9796528180185096,0.9709675371811937,0.9870300333404907
albert-base-v2_len512,albert-base-v2,512,0.978981406628941,0.9708973322554567,0.9862772837510103,0.9788097845333864,0.9704982332491696,0.9864063145262034
albert-large-v2_len128,albert-large-v2,128,0.9547291835084882,0.9426030719482619,0.9652586903799514,0.9512281145940541,0.9374560840831581,0.9635780684179666
albert-xlarge-v2_len128,albert-xlarge-v2,128,0.8706548100242523,0.85125303152789,0.889248181083266,0.8104539588557645,0.7828554080339462,0.8371185273355521
bert-large-uncased_len512,bert-large-uncased,512,0.9765561843168957,0.967663702506063,0.9838520614389651,0.9760607614155817,0.9667709509838176,0.983751043441733
deberta-large_len128,deberta-large,128,0.9822150363783346,0.9741309620048505,0.9894907033144705,0.9818656145808211,0.9733454166765887,0.9892481856206365
deberta-v3-base_len512,deberta-v3-base,512,0.9814066289409863,0.973322554567502,0.9886822958771221,0.981122913862516,0.9726131277395443,0.9885237285075527
deberta-v3-large_len512,deberta-v3-large,512,0.9797898140662894,0.9717057396928052,0.9870654810024252,0.9793627253582601,0.9708035948142292,0.9868985227538455
deberta-v3-small_len128,deberta-v3-small,128,0.978981406628941,0.9700889248181084,0.9862570735650767,0.9787508247974432,0.9699142572398324,0.9861267325404541
deberta-xlarge_len128,deberta-xlarge,128,0.9765561843168957,0.967663702506063,0.98464025869038,0.9760607614155817,0.9664306647702064,0.984352253945784
distilbert_len256,distilbert,256,0.9773645917542442,0.967663702506063,0.9854486661277284,0.9769198731028634,0.9671176891726798,0.985077319305771
electra-base-generator_len512,electra-base-generator,512,0.9765561843168957,0.967663702506063,0.9838318512530315,0.9761301375123569,0.9670085311738518,0.9836417975332301
electra-large_len128,electra-large,128,0.8706548100242523,0.85125303152789,0.889248181083266,0.8104539588557645,0.7828554080339462,0.8371185273355521
electra-small_len128,electra-small,128,0.9741309620048505,0.9644300727566694,0.9830234438156831,0.9739912089283173,0.9642105731767163,0.9828326041798231
mobilebert_len512,mobilebert,512,0.9797898140662894,0.9717057396928052,0.9870856911883588,0.9794225323382386,0.9707744160848755,0.9870139960656846
roberta_len128,roberta,128,0.9797898140662894,0.9708973322554567,0.9870654810024252,0.9797628257971375,0.971133729766235,0.987034252990984
roberta-large_len256,roberta-large,256,0.9636216653193209,0.9531123686337915,0.973322554567502,0.9615507416118981,0.9499887724077036,0.9722325157634748
xlm-roberta-base_len512,xlm-roberta-base,512,0.9741309620048505,0.9644300727566694,0.9822150363783346,0.9735455675724112,0.9632406044646749,0.9819179626254003
xlm-roberta-large_len128,xlm-roberta-large,128,0.8706548100242523,0.85125303152789,0.889248181083266,0.8104539588557645,0.7828554080339462,0.8371185273355521
xlnet_len256,xlnet,256,0.9773645917542442,0.9684518997574778,0.9854486661277284,0.9770518044511045,0.9675901680148791,0.9852662620907223
