model,max_length,train_time_sec,pred_time_sec,best_checkpoint,accuracy,f1,precision,recall
albert-base-v2,128,73.5101328125,2.010887939453125,D:/huggingface_cache/classification_models/albert-base-v2\checkpoint-948,0.942246835443038,0.9412798665953984,0.941824339344837,0.942246835443038
albert-base-v2,256,156.13625,4.51868115234375,D:/huggingface_cache/classification_models/albert-base-v2\checkpoint-948,0.939873417721519,0.9389017534959456,0.9393362565479121,0.939873417721519
albert-base-v2,512,332.6804375,9.69931640625,D:/huggingface_cache/classification_models/albert-base-v2\checkpoint-948,0.9501582278481012,0.9495520105404668,0.9497761474988896,0.9501582278481012
electra-small,128,35.851,0.9739742431640624,D:/huggingface_cache/classification_models/electra-small\checkpoint-948,0.9501582278481012,0.9492651771895046,0.9501181299219413,0.9501582278481012
electra-small,256,43.22351171875,1.0170004272460937,D:/huggingface_cache/classification_models/electra-small\checkpoint-632,0.9501582278481012,0.9503287037709924,0.9505718198148415,0.9501582278481012
electra-small,512,96.4146875,2.563694091796875,D:/huggingface_cache/classification_models/electra-small\checkpoint-948,0.9525316455696202,0.9519808524274957,0.9521915120911946,0.9525316455696202
mobilebert,128,137.813515625,2.806678466796875,D:/huggingface_cache/classification_models/mobilebert\checkpoint-948,0.9509493670886076,0.9502695973385047,0.9506591274000807,0.9509493670886076
mobilebert,256,139.885453125,2.855530517578125,D:/huggingface_cache/classification_models/mobilebert\checkpoint-948,0.9509493670886076,0.9503251892318999,0.9506083313912339,0.9509493670886076
mobilebert,512,225.29465625,5.0396806640625,D:/huggingface_cache/classification_models/mobilebert\checkpoint-632,0.9509493670886076,0.9509002824493448,0.9508572327767945,0.9509493670886076
deberta-v3-small,128,112.1933125,1.5117275390625,D:/huggingface_cache/classification_models/deberta-v3-small\checkpoint-948,0.9525316455696202,0.9518194520121875,0.9523562944451158,0.9525316455696202
deberta-v3-small,256,168.930109375,3.224867919921875,D:/huggingface_cache/classification_models/deberta-v3-small\checkpoint-948,0.9462025316455697,0.9453331478647935,0.94588684615585,0.9462025316455697
deberta-v3-small,512,340.0466875,8.6848251953125,D:/huggingface_cache/classification_models/deberta-v3-small\checkpoint-632,0.9525316455696202,0.9519276024824836,0.9522335164666771,0.9525316455696202
distilbert,128,55.11841796875,1.2563170166015625,D:/huggingface_cache/classification_models/distilbert\checkpoint-948,0.9525316455696202,0.9518738038759724,0.9522883835519506,0.9525316455696202
distilbert,256,80.828671875,1.859547119140625,D:/huggingface_cache/classification_models/distilbert\checkpoint-948,0.9509493670886076,0.9500414643207812,0.9509938038961748,0.9509493670886076
distilbert,512,145.51228125,3.76125048828125,D:/huggingface_cache/classification_models/distilbert\checkpoint-948,0.9493670886075949,0.9483085105139023,0.9495873020151414,0.9493670886075949
xlnet,128,168.834734375,3.357374755859375,D:/huggingface_cache/classification_models/xlnet\checkpoint-1264,0.9517405063291139,0.9511535340153727,0.9513993275316455,0.9517405063291139
xlnet,256,258.624390625,5.4994951171875,D:/huggingface_cache/classification_models/xlnet\checkpoint-1264,0.9525316455696202,0.9521884554012016,0.9521486833912975,0.9525316455696202
xlnet,512,677.2435625,16.1170087890625,D:/huggingface_cache/classification_models/xlnet\checkpoint-1264,0.9572784810126582,0.9568302024214232,0.9570140489573492,0.9572784810126582
roberta,128,136.37309375,2.0452431640625,D:/huggingface_cache/classification_models/roberta\checkpoint-1264,0.946993670886076,0.947422512497827,0.9482702728430457,0.946993670886076
roberta,256,189.41675,3.583684326171875,D:/huggingface_cache/classification_models/roberta\checkpoint-1896,0.9493670886075949,0.9483695124140457,0.9494604350076361,0.9493670886075949
roberta,512,317.5775,6.482283203125,D:/huggingface_cache/classification_models/roberta\checkpoint-1264,0.9533227848101266,0.9534824368648978,0.9537151248747909,0.9533227848101266
