model,max_length,train_time_sec,pred_time_sec,accuracy,f1,precision,recall,parameters_millions,
deberta,128,70.8225390625,1.4123701171875,0.9765561843168960,0.9763972689014710,0.9763067594594300,0.9765561843168960,55,
deberta,256,109.7162265625,2.991547119140630,0.973322554567502,0.9729154851070880,0.9728458738348230,0.973322554567502,55,
deberta,512,241.19775,8.9031904296875,0.973322554567502,0.9729920474413180,0.9728850455627260,0.973322554567502,55,
distilbert,128,34.908421875,1.0913233642578100,0.978981406628941,0.9786909612760260,0.9786841229126370,0.978981406628941,66,
distilbert,256,55.41671484375,2.009479248046880,0.9765561843168960,0.9762657386605520,0.9762016427433060,0.9765561843168960,66,
distilbert,512,122.737953125,4.6627470703125,0.9757477768795470,0.9756167583702970,0.9755291603755220,0.9757477768795470,66,
bert,128,60.2867421875,1.89179541015625,0.9797898140662890,0.9797628257971380,0.9797385510679780,0.9797898140662890,110,
bert,256,104.014390625,3.7053486328125,0.9830234438156830,0.9827643996136020,0.9828558101771250,0.9830234438156830,110,
bert,512,230.21215625,9.0454580078125,0.9773645917542440,0.9768523716258600,0.9770860005971220,0.9773645917542440,110,
roberta,128,70.35253125,1.798475830078130,0.9830234438156830,0.9827643996136020,0.9828558101771250,0.9830234438156830,125,
roberta,256,111.674484375,3.4168330078125,0.9805982215036380,0.9802170340881690,0.9804077291518090,0.9805982215036380,125,
roberta,512,240.22140625,8.612994140625,0.978981406628941,0.9787508247974430,0.9786998071233580,0.978981406628941,125,
electra,128,32.711224609375,0.9381182861328130,0.9749393694421990,0.9738571024734120,0.9753963172183060,0.9749393694421990,14,
electra,256,40.26189453125,0.864918701171875,0.9741309620048510,0.9739197348103220,0.9738066044069530,0.9741309620048510,14,
electra,512,76.5481953125,2.4304140625,0.9708973322554570,0.9696887254279260,0.9708669158286350,0.9708973322554570,14,
albert,128,52.4049140625,2.095880615234380,0.9684721099434120,0.9673170445490340,0.9680110400297260,0.9684721099434120,11,
albert,256,114.1465625,5.001201171875,0.9636216653193210,0.9615507416118980,0.9637498038746750,0.9636216653193210,11,
albert,512,270.346375,12.1168916015625,0.9620048504446240,0.9603639940725920,0.9611996903405480,0.9620048504446240,11,
xlnet,128,79.58709375,2.426048828125,0.9749393694421990,0.9741013910784670,0.9748528800386660,0.9749393694421990,110,
xlnet,256,160.51875,5.63979296875,0.9684721099434120,0.9678991504476530,0.9677933968303750,0.9684721099434120,110,
xlnet,512,427.9133125,16.477611328125,0.9749393694421990,0.9745569708581740,0.9745141965585390,0.9749393694421990,110,
mobilebert,128,146.126796875,2.658034912109380,0.9660468876313660,0.9652785574387890,0.9652223728586800,0.9660468876313660,25,
mobilebert,256,142.673921875,2.50087890625,0.973322554567502,0.9725145088670760,0.9730072098807430,0.973322554567502,25,
mobilebert,512,209.85103125,4.9377783203125,0.973322554567502,0.9725972048136190,0.9729243876440260,0.973322554567502,25,
albert-base-v1,128,43.58189453125,1.757774169921880,0.9717057396928050,0.9711078155015640,0.9711470685810720,0.9717057396928050,12,
albert-base-v1,256,86.6874296875,3.68730712890625,0.9797898140662890,0.9794225323382390,0.9795440527564180,0.9797898140662890,12,
albert-base-v1,512,215.28553125,9.0176826171875,0.9741309620048510,0.9739197348103220,0.9738066044069530,0.9741309620048510,12,
albert-large-v2,128,155.655171875,6.45188037109375,0.8706548100242520,0.8104539588557650,0.7580397982183670,0.8706548100242520,18,
albert-large-v2,256,342.648125,15.096859375,0.8706548100242520,0.8104539588557650,0.7580397982183670,0.8706548100242520,18,
albert-large-v2,512,4661.7805,371.643625,0.9708973322554570,0.9698778396507510,0.9705700302540560,0.9708973322554570,18,
albert-xlarge-v2,128,780.0850625,22.922814453125,0.9684721099434120,0.9673170445490340,0.9680110400297260,0.9684721099434120,60,
albert-xlarge-v2,256,2655.4265,331.5628125,0.8706548100242520,0.8104539588557650,0.7580397982183670,0.8706548100242520,60,
albert-xxlarge-v2,128,908.0175,36.691140625,0.9611964430072760,0.9598371195343340,0.9601189119527810,0.9611964430072760,235,
bert-large-uncased,128,217.350015625,5.40715771484375,0.9725141471301540,0.9722126170428100,0.9720861990164600,0.9725141471301540,340,
