model,max_length,train_time_sec,pred_time_sec,best_checkpoint,accuracy,f1,precision,recall
albert-base-v2,128,72.6184375,1.9774097900390626,D:/huggingface_cache/classification_models/albert-base-v2\checkpoint-620,0.9741309620048505,0.9732247463562229,0.9740537363544802,0.9741309620048505
albert-base-v2,256,154.437921875,4.473970703125,D:/huggingface_cache/classification_models/albert-base-v2\checkpoint-930,0.9757477768795473,0.9753425116480673,0.9753449274284139,0.9757477768795473
albert-base-v2,512,327.17384375,9.59272265625,D:/huggingface_cache/classification_models/albert-base-v2\checkpoint-930,0.9805982215036378,0.9802740093184538,0.9803652874866222,0.9805982215036378
electra-small,128,39.1141171875,1.028999267578125,D:/huggingface_cache/classification_models/electra-small\checkpoint-930,0.973322554567502,0.9727587974729034,0.9728364073135907,0.973322554567502
electra-small,256,45.8045546875,1.1068031005859376,D:/huggingface_cache/classification_models/electra-small\checkpoint-620,0.9725141471301536,0.9715512930034867,0.9723118833042679,0.9725141471301536
electra-small,512,95.1221796875,2.49954296875,D:/huggingface_cache/classification_models/electra-small\checkpoint-930,0.973322554567502,0.9729154851070881,0.9728458738348225,0.973322554567502
mobilebert,128,155.0743125,3.155990966796875,D:/huggingface_cache/classification_models/mobilebert\checkpoint-930,0.973322554567502,0.9725145088670764,0.9730072098807431,0.973322554567502
mobilebert,256,153.028546875,3.3524296875,D:/huggingface_cache/classification_models/mobilebert\checkpoint-930,0.9757477768795473,0.9747406045232712,0.976170347952173,0.9757477768795473
mobilebert,512,221.487609375,4.9968701171875,D:/huggingface_cache/classification_models/mobilebert\checkpoint-310,0.9644300727566694,0.9625921423615615,0.9643042142301771,0.9644300727566694
deberta-v3-small,128,112.488734375,1.5835657958984375,D:/huggingface_cache/classification_models/deberta-v3-small\checkpoint-930,0.978981406628941,0.978568453595516,0.9787237694533601,0.978981406628941
deberta-v3-small,256,168.269015625,3.21807666015625,D:/huggingface_cache/classification_models/deberta-v3-small\checkpoint-930,0.9773645917542442,0.9770518044511045,0.977020851259725,0.9773645917542442
deberta-v3-small,512,333.4443125,8.4775078125,D:/huggingface_cache/classification_models/deberta-v3-small\checkpoint-620,0.9805982215036378,0.980100416916518,0.9805698656340429,0.9805982215036378
distilbert,128,53.1268515625,1.140542236328125,D:/huggingface_cache/classification_models/distilbert\checkpoint-930,0.9797898140662894,0.9795965544042006,0.9795404659072982,0.9797898140662894
distilbert,256,78.9550625,1.8093465576171874,D:/huggingface_cache/classification_models/distilbert\checkpoint-930,0.9757477768795473,0.9755497513846767,0.9754504369637488,0.9757477768795473
distilbert,512,141.04096875,3.752199951171875,D:/huggingface_cache/classification_models/distilbert\checkpoint-930,0.9805982215036378,0.9803853767361013,0.9803532091500821,0.9805982215036378
xlnet,128,173.1278125,3.473498046875,D:/huggingface_cache/classification_models/xlnet\checkpoint-1857,0.9781729991915926,0.9777117433869209,0.9779044235111473,0.9781729991915926
xlnet,256,251.809390625,5.531427734375,D:/huggingface_cache/classification_models/xlnet\checkpoint-1857,0.9781729991915926,0.9776461486750538,0.9779688432677692,0.9781729991915926
xlnet,512,658.9396875,15.7067900390625,D:/huggingface_cache/classification_models/xlnet\checkpoint-1857,0.978981406628941,0.9786909612760256,0.9786841229126367,0.978981406628941
roberta,128,135.032703125,1.9915240478515626,D:/huggingface_cache/classification_models/roberta\checkpoint-1857,0.9805982215036378,0.9803301181009466,0.9803473945655485,0.9805982215036378
roberta,256,184.45915625,3.411794921875,D:/huggingface_cache/classification_models/roberta\checkpoint-1857,0.9830234438156831,0.9830007736695955,0.9829808496361129,0.9830234438156831
roberta,512,305.64675,6.3742216796875,D:/huggingface_cache/classification_models/roberta\checkpoint-1238,0.9830234438156831,0.9827643996136015,0.9828558101771253,0.9830234438156831
deberta-v3-base,128,229.99809375,3.718942626953125,D:/huggingface_cache/classification_models/deberta-v3-base\checkpoint-1857,0.9838318512530315,0.983608431750789,0.9836739378713724,0.9838318512530315
deberta-v3-base,256,299.87528125,5.43931298828125,D:/huggingface_cache/classification_models/deberta-v3-base\checkpoint-1857,0.9814066289409863,0.9812288300518646,0.9811890463999509,0.9814066289409863
deberta-v3-base,512,642.5911875,15.965193359375,D:/huggingface_cache/classification_models/deberta-v3-base\checkpoint-1857,0.9822150363783346,0.9820698176820962,0.9820257671909308,0.9822150363783346
xlm-roberta-base,128,254.24128125,1.8022430419921875,D:/huggingface_cache/classification_models/xlm-roberta-base\checkpoint-1857,0.9814066289409863,0.9810687297511795,0.98122271788871,0.9814066289409863
xlm-roberta-base,256,298.38253125,3.166414306640625,D:/huggingface_cache/classification_models/xlm-roberta-base\checkpoint-1857,0.9781729991915926,0.9775795312111428,0.9780595921871776,0.9781729991915926
xlm-roberta-base,512,421.00721875,6.222373046875,D:/huggingface_cache/classification_models/xlm-roberta-base\checkpoint-1857,0.9765561843168957,0.9760607614155817,0.9762150847786284,0.9765561843168957
bert-large-uncased,128,586.197875,6.87187548828125,D:/huggingface_cache/classification_models/bert-large-uncased\checkpoint-3711,0.9725141471301536,0.9722126170428104,0.9720861990164603,0.9725141471301536
bert-large-uncased,256,759.100125,11.619857421875,D:/huggingface_cache/classification_models/bert-large-uncased\checkpoint-3711,0.9765561843168957,0.9762657386605518,0.9762016427433062,0.9765561843168957
bert-large-uncased,512,1161.54725,23.49171875,D:/huggingface_cache/classification_models/bert-large-uncased\checkpoint-3711,0.9822150363783346,0.9820698176820962,0.9820257671909308,0.9822150363783346
roberta-large,128,606.8053125,6.69782568359375,D:/huggingface_cache/classification_models/roberta-large\checkpoint-1237,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
roberta-large,256,791.918625,10.849826171875,D:/huggingface_cache/classification_models/roberta-large\checkpoint-3711,0.9757477768795473,0.9755497513846767,0.9754504369637488,0.9757477768795473
roberta-large,512,1186.808125,21.541623046875,D:/huggingface_cache/classification_models/roberta-large\checkpoint-1237,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
electra-large,128,608.7785625,7.27170263671875,D:/huggingface_cache/classification_models/electra-large\checkpoint-2474,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
electra-large,256,782.2746875,11.659658203125,D:/huggingface_cache/classification_models/electra-large\checkpoint-1237,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
electra-large,512,1353.7035,28.4335234375,D:/huggingface_cache/classification_models/electra-large\checkpoint-3711,0.49232012934519,0.5640052914693524,0.8408190437786405,0.49232012934519
xlm-roberta-large,128,858.6011875,6.51709912109375,D:/huggingface_cache/classification_models/xlm-roberta-large\checkpoint-3711,0.9143088116410671,0.9104650471765012,0.9087094483904232,0.9143088116410671
xlm-roberta-large,256,1037.2075,10.6055849609375,D:/huggingface_cache/classification_models/xlm-roberta-large\checkpoint-1237,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
xlm-roberta-large,512,1443.13025,21.420697265625,D:/huggingface_cache/classification_models/xlm-roberta-large\checkpoint-3711,0.9741309620048505,0.9733068364205264,0.9739235164967686,0.9741309620048505
deberta-large,128,934.320375,14.7742001953125,D:/huggingface_cache/classification_models/deberta-large\checkpoint-3711,0.9805982215036378,0.9801591756793082,0.9804756085223911,0.9805982215036378
deberta-large,256,1090.33,17.61528515625,D:/huggingface_cache/classification_models/deberta-large\checkpoint-1237,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
deberta-large,512,2113.6385,46.9878046875,D:/huggingface_cache/classification_models/deberta-large\checkpoint-1237,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
