model,max_length,train_time_sec,pred_time_sec,accuracy,f1,precision,recall
deberta,128,114.1250625,2.82134912109375,0.9805982215036378,0.980100416916518,0.9805698656340429,0.9805982215036378
deberta,256,202.7929375,6.97164453125,0.9765561843168957,0.9759903078361688,0.9762684861023856,0.9765561843168957
deberta,512,453.64340625,18.3839140625,0.9773645917542442,0.9767141968592342,0.9772563689588809,0.9773645917542442
distilbert,128,59.33694140625,1.7012716064453124,0.9749393694421988,0.9747694943429517,0.9746676026345088,0.9749393694421988
distilbert,256,94.66734375,3.234845703125,0.9765561843168957,0.9759187557453016,0.9763478573394604,0.9765561843168957
distilbert,512,173.891,6.386091796875,0.978981406628941,0.9784421183262277,0.9788638654665281,0.978981406628941
roberta,128,112.1838515625,3.09541650390625,0.9757477768795473,0.9751989695991353,0.9753911966344874,0.9757477768795473
roberta,256,181.44053125,5.71423828125,0.978981406628941,0.9788678572542578,0.9787982642528382,0.978981406628941
roberta,512,341.18896875,12.1242666015625,0.978981406628941,0.9788097845333864,0.9787381020773399,0.978981406628941
electra,128,28.113212890625,0.933743408203125,0.9717057396928052,0.9709364293477776,0.9712126527963085,0.9717057396928052
electra,256,50.04657421875,1.7346414794921876,0.9757477768795473,0.9751255211456473,0.9754518651314984,0.9757477768795473
electra,512,132.12034375,5.1086064453125,0.9717057396928052,0.970759635088592,0.9713816203446165,0.9717057396928052
albert,128,114.19546875,4.80856201171875,0.9708973322554567,0.9697840276187459,0.9707037874754266,0.9708973322554567
albert,256,219.957296875,9.4746083984375,0.967663702506063,0.9669319594655139,0.9669171768213145,0.967663702506063
albert,512,443.04046875,18.74687890625,0.9668552950687146,0.9660552628028594,0.9660663431100843,0.9668552950687146
xlnet,128,146.002640625,4.65570703125,0.9773645917542442,0.9766434818679605,0.9773825336212518,0.9773645917542442
xlnet,256,304.7479375,11.121759765625,0.9773645917542442,0.9769863442048629,0.9770183807811498,0.9773645917542442
xlnet,512,772.0299375,29.20708203125,0.9757477768795473,0.9751255211456473,0.9754518651314984,0.9757477768795473
mobilebert,128,69.2104140625,2.194912841796875,0.973322554567502,0.9728377426864748,0.9728293922272504,0.973322554567502
mobilebert,256,122.86421875,4.28186572265625,0.9725141471301536,0.9718089239650671,0.9720398647964685,0.9725141471301536
mobilebert,512,307.95446875,11.3917958984375,0.9644300727566694,0.9632969000782238,0.9635464651233187,0.9644300727566694
albert-base-v1,128,75.5562890625,3.1116201171875,0.973322554567502,0.9725145088670764,0.9730072098807431,0.973322554567502
albert-base-v1,256,145.149078125,5.9763046875,0.9749393694421988,0.9742579802794602,0.974636122491743,0.9749393694421988
albert-base-v1,512,301.96290625,12.123326171875,0.9708973322554567,0.9701506253747769,0.9703338646289537,0.9708973322554567
albert-large-v2,128,325.8158125,13.43370703125,0.9320937752627324,0.9294960644437404,0.9285930464971179,0.9320937752627324
albert-large-v2,256,646.8888125,27.75133984375,0.872271624898949,0.8143487519897221,0.8886125830090431,0.872271624898949
albert-large-v2,512,1300.76275,54.773015625,0.9603880355699272,0.95867735552249,0.9594251119808285,0.9603880355699272
albert-xlarge-v2,128,1137.43825,58.47275,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
albert-xlarge-v2,256,2261.6455,117.265984375,0.9280517380759903,0.918249684098923,0.9273743501038249,0.9280517380759903
albert-xlarge-v2,512,3913.5205,181.76946875,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
albert-xxlarge-v2,128,2090.40675,113.211421875,0.9717057396928052,0.970759635088592,0.9713816203446165,0.9717057396928052
albert-xxlarge-v2,256,3532.17525,175.211796875,0.9458367016976557,0.9429438946008734,0.9435127047917041,0.9458367016976557
albert-xxlarge-v2,512,7942.1275,458.02525,0.9692805173807599,0.9682043862980145,0.9688281772038432,0.9692805173807599
bert-large-uncased,128,324.59221875,9.552556640625,0.967663702506063,0.9681575155604993,0.9690025925703306,0.967663702506063
bert-large-uncased,256,558.6388125,19.086048828125,0.9797898140662894,0.9794814281114305,0.9795191647296909,0.9797898140662894
bert-large-uncased,512,1047.6573125,38.48861328125,0.9741309620048505,0.9741992797037281,0.9742780675557524,0.9741309620048505
deberta-v3-large,128,521.26434375,15.6538427734375,0.9700889248181084,0.9693669444806292,0.9694670574408516,0.9700889248181084
deberta-v3-large,256,1021.2950625,37.57708984375,0.9773645917542442,0.9772423078122776,0.9771637123141801,0.9773645917542442
deberta-v3-large,512,2454.90375,104.0623203125,0.9749393694421988,0.9745569708581736,0.9745141965585394,0.9749393694421988
