model,max_length,train_time_sec,pred_time_sec,accuracy,f1,precision,recall
deberta,128,477.0391875,13.0142890625,0.9741309620048505,0.9737734908012624,0.9736943079539011,0.9741309620048505
deberta,256,830.5245,28.2044921875,0.9765561843168957,0.9760607614155817,0.9762150847786284,0.9765561843168957
deberta,512,1877.734375,79.1731484375,0.9773645917542442,0.9767141968592342,0.9772563689588809,0.9773645917542442
distilbert,128,248.805546875,8.0120302734375,0.9749393694421988,0.9747694943429517,0.9746676026345088,0.9749393694421988
distilbert,256,392.075125,13.0747568359375,0.9765561843168957,0.9759187557453016,0.9763478573394604,0.9765561843168957
distilbert,512,733.914625,26.807705078125,0.978981406628941,0.9784421183262277,0.9788638654665281,0.978981406628941
roberta,128,461.76853125,13.706326171875,0.9765561843168957,0.9762657386605518,0.9762016427433062,0.9765561843168957
roberta,256,757.3684375,24.287298828125,0.9797898140662894,0.9794225323382386,0.9795440527564181,0.9797898140662894
roberta,512,1449.71025,50.8598359375,0.9805982215036378,0.9802740093184538,0.9803652874866222,0.9805982215036378
electra,128,105.0444609375,4.405046875,0.9717057396928052,0.9709364293477776,0.9712126527963085,0.9717057396928052
electra,256,189.4565,6.84640966796875,0.9757477768795473,0.9751255211456473,0.9754518651314984,0.9757477768795473
electra,512,526.513,20.027138671875,0.9717057396928052,0.970759635088592,0.9713816203446165,0.9717057396928052
albert,128,479.50625,20.561255859375,0.9417946645109135,0.9358673544449516,0.9416999592596779,0.9417946645109135
albert,256,926.660875,38.9680546875,0.9717057396928052,0.9702925345470507,0.9723128280445642,0.9717057396928052
albert,512,1895.24925,80.358671875,0.9757477768795473,0.9750509252063224,0.9755388058204071,0.9757477768795473
xlnet,128,596.6463125,19.0395703125,0.9773645917542442,0.9766434818679605,0.9773825336212518,0.9773645917542442
xlnet,256,1263.63075,45.47715234375,0.9773645917542442,0.9769863442048629,0.9770183807811498,0.9773645917542442
xlnet,512,3257.2715,124.9036328125,0.9757477768795473,0.9751255211456473,0.9754518651314984,0.9757477768795473
mobilebert,128,265.1703125,9.2333017578125,0.973322554567502,0.9728377426864748,0.9728293922272504,0.973322554567502
mobilebert,256,479.89309375,16.823578125,0.9725141471301536,0.9718089239650671,0.9720398647964685,0.9725141471301536
mobilebert,512,1261.532875,47.2532421875,0.9644300727566694,0.9632969000782238,0.9635464651233187,0.9644300727566694
albert-base-v1,128,328.8515,13.9677998046875,0.967663702506063,0.9670283901469479,0.96693605156422,0.967663702506063
albert-base-v1,256,625.3001875,24.90740625,0.9757477768795473,0.9749751591442434,0.9756530250590102,0.9757477768795473
albert-base-v1,512,1308.87075,52.46413671875,0.9773645917542442,0.9769198731028634,0.9770398097549116,0.9773645917542442
albert-large-v2,128,1408.73625,59.23441015625,0.9320937752627324,0.9294960644437404,0.9285930464971179,0.9320937752627324
albert-large-v2,256,2764.15225,117.3475859375,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
albert-large-v2,512,5588.2065,238.229984375,0.9555375909458367,0.9534683372622854,0.9541789390960591,0.9555375909458367
albert-xlarge-v2,128,4883.7335,252.47365625,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
albert-xlarge-v2,256,9559.815,501.6791875,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
albert-xlarge-v2,512,16844.526,788.5704375,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
albert-xxlarge-v2,128,8921.315,491.27440625,0.9717057396928052,0.970759635088592,0.9713816203446165,0.9717057396928052
albert-xxlarge-v2,256,15023.971,764.084875,0.8706548100242523,0.8104539588557645,0.7580397982183668,0.8706548100242523
albert-xxlarge-v2,512,9261.659,527.0794375,0.9240097008892482,0.9242103841297016,0.9244195725119191,0.9240097008892482
bert-large-uncased,128,375.89234375,11.772083984375,0.967663702506063,0.9681575155604993,0.9690025925703306,0.967663702506063
bert-large-uncased,256,649.3740625,23.580330078125,0.9797898140662894,0.979539429879786,0.9795182399238865,0.9797898140662894
bert-large-uncased,512,1213.265,47.68050390625,0.9797898140662894,0.9797628257971375,0.9797385510679781,0.9797898140662894
