chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,0,82,128,200,41,159,0,0,0
128,0,0,342,256,200,171,29,0,0,0
128,0,0,358,512,200,179,21,0,0,0
128,0,0,372,1024,200,186,14,0,0,0
128,0,0,352,2048,200,176,24,0,0,0
256,0,0,98,128,200,49,151,0,0,0
256,0,0,356,256,200,178,22,0,0,0
256,0,0,362,512,200,181,19,0,0,0
256,0,0,364,1024,200,182,19,0,0,0
256,0,1,371,2048,200,185,15,0,0,0
512,0,0,60,128,200,30,170,0,0,0
512,0,0,330,256,200,165,35,0,0,0
512,0,0,372,512,200,186,14,0,0,0
512,0,0,368,1024,200,184,16,0,0,0
512,0,0,374,2048,200,187,13,0,0,0
1024,0,0,34,128,200,17,183,0,0,0
1024,0,0,294,256,200,147,53,0,0,0
1024,0,0,324,512,200,162,38,0,0,0
1024,0,0,340,1024,200,170,30,0,0,0
1024,0,1,321,2048,200,161,39,0,0,0
