chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,2,0,82,128,200,41,159,0,0,0:12:11.346916
128,2,0,342,256,200,171,29,0,0,0:14:57.142272
128,2,0,358,512,200,179,21,0,0,0:16:11.754566
128,2,0,372,1024,200,186,14,0,0,0:15:26.128577
128,2,0,352,2048,200,176,24,0,0,0:16:24.439404
256,2,0,98,128,200,49,151,0,0,0:12:34.310390
256,2,0,356,256,200,178,22,0,0,0:16:46.453692
256,2,0,362,512,200,181,19,0,0,0:17:32.476663
256,2,0,364,1024,200,182,19,0,0,0:17:24.157468
256,2,1,371,2048,200,185,15,0,0,0:17:55.001824
512,2,0,60,128,200,30,170,0,0,0:13:28.501810
512,2,0,330,256,200,165,35,0,0,0:19:25.050860
512,2,0,372,512,200,186,14,0,0,0:19:28.671215
512,2,0,368,1024,200,184,16,0,0,0:19:51.418785
512,2,0,374,2048,200,187,13,0,0,0:20:25.711519
1024,2,0,34,128,200,17,183,0,0,0:15:44.909329
1024,2,0,294,256,200,147,53,0,0,0:22:03.759520
1024,2,0,324,512,200,162,38,0,0,0:23:16.909523
1024,2,0,340,1024,200,170,30,0,0,0:22:55.156404
1024,2,1,321,2048,200,161,39,0,0,0:23:11.214717
