chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,2,0,74,128,200,37,163,0,0,0:16:15.164904
128,2,0,168,256,200,84,116,0,0,0:21:37.968278
128,2,0,170,512,200,85,115,0,0,0:23:01.799864
128,2,0,158,1024,200,79,121,0,0,0:22:52.034416
128,2,0,180,2048,200,90,110,0,0,0:24:18.695549
256,2,0,54,128,200,27,173,0,0,0:16:58.681852
256,2,1,197,256,200,98,102,0,0,0:23:28.183689
256,2,0,222,512,200,111,89,0,0,0:24:05.001276
256,2,0,190,1024,200,95,105,0,0,0:25:57.121223
256,2,0,196,2048,200,98,102,0,0,0:23:35.256440
512,2,0,48,128,200,24,176,0,0,0:17:14.429205
512,2,0,240,256,200,120,80,0,0,0:26:09.158112
512,2,1,261,512,200,130,70,0,0,0:27:47.659333
512,2,0,258,1024,200,129,71,0,0,0:27:37.543213
512,2,0,272,2048,200,136,64,0,0,0:27:04.289780
1024,2,0,56,128,200,28,172,0,0,0:17:02.934968
1024,2,0,274,256,200,137,63,0,0,0:25:36.966404
1024,2,0,294,512,200,147,53,0,0,0:27:05.051627
1024,2,0,294,1024,200,147,53,0,0,0:27:09.231260
1024,2,0,290,2048,200,145,55,0,0,0:27:58.675381
