chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,0,74,128,200,37,163,0,0,0
128,0,0,168,256,200,84,116,0,0,0
128,0,0,170,512,200,85,115,0,0,0
128,0,0,158,1024,200,79,121,0,0,0
128,0,0,180,2048,200,90,110,0,0,0
256,0,0,54,128,200,27,173,0,0,0
256,0,1,197,256,200,98,102,0,0,0
256,0,0,222,512,200,111,89,0,0,0
256,0,0,190,1024,200,95,105,0,0,0
256,0,0,196,2048,200,98,102,0,0,0
512,0,0,48,128,200,24,176,0,0,0
512,0,0,240,256,200,120,80,0,0,0
512,0,1,261,512,200,130,70,0,0,0
512,0,0,258,1024,200,129,71,0,0,0
512,0,0,272,2048,200,136,64,0,0,0
1024,0,0,56,128,200,28,172,0,0,0
1024,0,0,274,256,200,137,63,0,0,0
1024,0,0,294,512,200,147,53,0,0,0
1024,0,0,294,1024,200,147,53,0,0,0
1024,0,0,290,2048,200,145,55,0,0,0
