chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,0,0,128,200,0,200,0,0,0
128,0,0,0,256,200,0,200,0,0,0
128,0,0,0,512,200,0,200,0,0,0
128,0,0,0,1024,200,0,200,0,0,0
128,0,0,0,2048,200,0,200,0,0,0
256,0,0,0,128,200,0,200,0,0,0
256,0,0,0,256,200,0,200,0,0,0
256,0,0,0,512,200,0,200,0,0,0
256,0,0,0,1024,200,0,200,0,0,0
256,0,0,0,2048,200,0,200,0,0,0
512,0,0,0,128,200,0,200,0,0,0
512,0,0,0,256,200,0,200,0,0,0
512,0,0,0,512,200,0,200,0,0,0
512,0,0,0,1024,200,0,200,0,0,0
512,0,0,0,2048,200,0,200,0,0,0
1024,0,0,0,128,200,0,200,0,0,0
1024,0,0,0,256,200,0,200,0,0,0
1024,0,0,0,512,200,0,200,0,0,0
1024,0,0,0,1024,200,0,200,0,0,0
1024,0,0,0,2048,16,0,15,0,0,0
