Outcome,Group 1,Group 2,t-statistic,raw p-value,FDR (BH) p-value,Significant (FDR < 0.05)
rouge1,128,256,2.247362584176992,0.05692350865053003,0.10119734871205338,False
rouge1,128,512,5.265249995555873,0.0007824016780655211,0.006006475499679028,True
rouge1,128,1024,7.4175720192650205,0.0001589388654697231,0.0026949096576459565,True
rouge1,256,512,2.160950476326583,0.06667965344794878,0.10378330349905744,False
rouge1,256,1024,3.5568408371397076,0.012308541130255748,0.03052085479123525,True
rouge1,512,1024,1.5623023130581615,0.16062021481284702,0.17522205252310585,False
rouge2,128,256,1.8871387117350058,0.09810830405134263,0.12841467470364648,False
rouge2,128,512,4.674693658568557,0.0017110786574877827,0.010266471944926697,True
rouge2,128,1024,6.965859697459864,0.0004004274544253627,0.004805129453104353,True
rouge2,256,512,1.977521885255545,0.08901690488954919,0.12395395164585306,False
rouge2,256,1024,3.4571739025268893,0.016290048706724142,0.037234397043940895,True
rouge2,512,1024,1.7703140084750457,0.12155155195271986,0.1450014821183286,False
rougeL,128,256,2.257703602699183,0.056108180358320645,0.10119734871205338,False
rougeL,128,512,5.385594382777042,0.0006880985839342123,0.006006475499679028,True
rougeL,128,1024,7.738264681164781,0.00014802214989669509,0.0026949096576459565,True
rougeL,256,512,2.20974158249568,0.06255287839320074,0.10378330349905744,False
rougeL,256,1024,3.71717926630456,0.010908126401497246,0.02908833707065932,True
rougeL,512,1024,1.7344649481060075,0.12578445865267482,0.1450014821183286,False
rougeLsum,128,256,2.182017745247827,0.06298582424404073,0.10378330349905744,False
rougeLsum,128,512,5.16850610369161,0.0008759443437031916,0.006006475499679028,True
rougeLsum,128,1024,7.322802231935562,0.00016843185360287228,0.0026949096576459565,True
rougeLsum,256,512,2.1345806213621694,0.0693532958687564,0.1040299438031346,False
rougeLsum,256,1024,3.529185193399413,0.012717022829681355,0.03052085479123525,True
rougeLsum,512,1024,1.5640400838962452,0.16020479184620948,0.17522205252310585,False
bert_score_P,128,256,1.0006597454546036,0.3572291097612625,0.3727608101856652,False
bert_score_P,128,512,3.922719785648088,0.010416425781136728,0.02908833707065932,True
bert_score_P,128,1024,5.578053113302902,0.003026802205507405,0.014154266043461549,True
bert_score_P,256,512,2.57473925276222,0.03406562348781424,0.07109347510500362,False
bert_score_P,256,1024,4.327496965319527,0.0037225333938941275,0.014154266043461549,True
bert_score_P,512,1024,1.9852452309275954,0.08438203465019976,0.1227375049457451,False
bert_score_R,128,256,1.8501470816967969,0.10433692319671277,0.12841467470364648,False
bert_score_R,128,512,4.123950548899073,0.0035146941311576156,0.014154266043461549,True
bert_score_R,128,1024,3.857525723273544,0.005834651736762654,0.017503955210287962,True
bert_score_R,256,512,1.8492093051198486,0.1021654049535076,0.12841467470364648,False
bert_score_R,256,1024,1.8382226677892906,0.10341410128339389,0.12841467470364648,False
bert_score_R,512,1024,0.14419058075609187,0.8890181856239225,0.8890181856239225,False
bert_score_F1,128,256,1.7332708719380536,0.12687629685353755,0.1450014821183286,False
bert_score_F1,128,512,4.052030987844969,0.004733817916814014,0.016230232857648047,True
bert_score_F1,128,1024,4.171404761482986,0.00510988273140978,0.016351624740511293,True
bert_score_F1,256,512,1.9254927989164217,0.09038308974176786,0.12395395164585306,False
bert_score_F1,256,1024,2.2775306966642153,0.052928017399288936,0.10119734871205338,False
bert_score_F1,512,1024,0.5300120582358805,0.6109202302334775,0.6239185330044026,False
sts_score,128,256,2.3413628686391217,0.054319192851413595,0.10119734871205338,False
sts_score,128,512,4.7399604187714806,0.0028761239796245438,0.014154266043461549,True
sts_score,128,1024,5.022775330914324,0.0038334470534375025,0.014154266043461549,True
sts_score,256,512,2.11996531944175,0.06702671684314127,0.10378330349905744,False
sts_score,256,1024,3.1044571418446756,0.01819208088777131,0.0396918128460465,True
sts_score,512,1024,1.4213223072775503,0.19816150043648587,0.2113722671322516,False
