chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,3,1625,128,1800,811,989,0,16,0
128,0,11,2268,256,1800,1127,673,2,20,0
128,0,15,2492,512,1800,1233,567,4,20,0
128,0,16,2504,1024,1800,1237,563,4,20,0
128,0,16,2504,2048,1800,1237,563,4,20,0
256,0,0,1138,128,1800,569,1231,0,10,0
256,0,5,1738,256,1800,864,936,3,10,0
256,0,10,2064,512,1800,1021,779,3,10,0
256,0,12,2112,1024,1800,1042,758,5,10,0
256,0,12,2114,2048,1800,1043,757,7,10,0
512,0,1,911,128,1622,455,1167,2,2,0
512,0,2,1324,256,1622,661,961,6,2,0
512,0,8,1573,512,1622,781,841,6,2,0
512,0,10,1618,1024,1622,801,821,6,2,0
512,0,10,1618,2048,1622,801,821,6,2,0
1024,0,1,285,128,910,142,768,2,0,0
1024,0,4,517,256,910,256,654,4,0,0
1024,0,15,655,512,910,315,595,10,2,0
1024,0,22,708,1024,910,333,577,14,2,0
1024,0,23,726,2048,910,339,571,16,2,0
