chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,4,1616,128,1800,806,994,0,18,0
128,0,14,2278,256,1800,1128,672,2,22,0
128,0,12,1115,512,900,544,356,1,4,0
128,0,13,1123,1024,900,546,354,1,4,0
128,0,20,2509,2048,1800,1235,565,4,22,0
256,0,0,1152,128,1800,576,1224,0,10,0
256,0,3,1337,256,1228,666,561,4,10,0
256,0,8,2068,512,1800,1025,775,5,10,0
256,0,8,2110,1024,1800,1046,754,7,10,0
256,0,8,2112,2048,1800,1047,753,9,10,0
512,0,1,885,128,1622,442,1180,2,2,0
512,0,3,1345,256,1622,671,951,6,2,0
512,0,1,335,512,250,167,82,0,2,0
