chunk_size,max_tokens,questions_num,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,substring_date,elapsed_time
128,128,2,0.1796216057193334,0.14452257775273608,0.1624731525760243,0.17246653659850752,0.7563029080629349,0.38874348004659015,0.5094859426220258,0.4838905669748783,LMForge_RUN04,0 days 02:02:56.423312
128,256,2,0.4173304248597046,0.24085110265569498,0.29414190662229756,0.37188239951776114,0.7088187822494013,0.5420184019824554,0.6092275453024897,0.692515367192441,LMForge_RUN04,0 days 04:04:43.881848
128,512,2,0.43102809251003893,0.22195223156981703,0.276596469846347,0.3773511216060985,0.6376235271917915,0.6069250812682275,0.6196270280048076,0.7349063843937974,LMForge_RUN04,0 days 06:58:44.095474
128,1024,2,0.4074095606672731,0.20637090339167596,0.26155409526451895,0.3573152297356633,0.6229101721679894,0.6070180134659094,0.612674528082285,0.7286724327549458,LMForge_RUN04,0 days 07:27:30.141311
128,2048,2,0.4073510876103399,0.20622548961388654,0.2616545540987669,0.35705306911389156,0.6227638194222284,0.606898132453867,0.6125469138961005,0.7285568241739449,LMForge_RUN04,0 days 07:33:38.550136
256,128,2,0.05772990225274564,0.03379230722169952,0.04809458172379867,0.054987122808212774,0.658964461513928,0.3303418404289654,0.4352802128664085,0.4326405932328531,LMForge_RUN04,0 days 02:03:16.554871
256,256,2,0.25929135332263953,0.15523673002464547,0.1877901572862397,0.241181576013011,0.7119636542316693,0.45525190934761245,0.5502031376557563,0.5869857064768005,LMForge_RUN04,0 days 04:03:39.044634
256,512,2,0.4541988173697278,0.22643181765306364,0.2731460585702544,0.4106802956232627,0.6897460078559501,0.5776713059291678,0.6268751624961114,0.7230709283275359,LMForge_RUN04,0 days 06:40:50.986350
256,1024,2,0.4582792986525426,0.22246808872052698,0.26971758823179137,0.4132617784145639,0.6816158606281493,0.583937755570345,0.6271684068663812,0.7280568339419827,LMForge_RUN04,0 days 06:56:55.526202
256,2048,2,0.4582842253480661,0.22240135208467088,0.269666208980191,0.41325016044981294,0.6815591819955696,0.5839826797671795,0.6271659835569318,0.7280155490708526,LMForge_RUN04,0 days 06:59:40.509764
512,128,2,0.035647907968738894,0.027428852724414282,0.03446791258035216,0.03499872429585835,0.6757648587226868,0.2994400973121325,0.4113269239664078,0.4359146290148298,LMForge_RUN04,0 days 01:47:49.285825
512,256,2,0.17311669643260785,0.11123851687951207,0.12973002684034876,0.16485516524548832,0.7156503991647201,0.43083686219020323,0.5335769093849442,0.5688347747295418,LMForge_RUN04,0 days 03:31:31.961979
512,512,2,0.3374199415629126,0.18181719455164944,0.21230455547320998,0.31415552675423464,0.71055511696258,0.5320994263336604,0.6066148397651049,0.64967301275263,LMForge_RUN04,0 days 05:38:43.251693
512,1024,2,0.3523755923961337,0.18578918757549018,0.21693068826031825,0.3280788063761653,0.7064819005643601,0.5383018288313736,0.6090307532324729,0.6533082286047687,LMForge_RUN04,0 days 05:51:01.329948
512,2048,2,0.3523755923961337,0.18578918757549018,0.21693068826031825,0.3280788063761653,0.7064819005643601,0.5383018288313736,0.6090307532324729,0.6533082286047687,LMForge_RUN04,0 days 05:50:10.492606
1024,128,2,0.015479398532656072,0.013282435873028894,0.015551459056361922,0.015482034098099024,0.7148541552679879,0.32645679797445026,0.44735745234148844,0.4278302150113242,LMForge_RUN04,0 days 01:00:48.833735
1024,256,2,0.09964448489590907,0.0640807069692867,0.07374306373370963,0.09541594198302311,0.690491698968869,0.4315299308643891,0.5270466185533084,0.5478747810881871,LMForge_RUN04,0 days 01:57:25.123830
1024,512,2,0.21035158295677897,0.11928943711148368,0.13858066501693575,0.19893746341318372,0.6755321207631136,0.5145930928859674,0.5823197901020561,0.613070716175083,LMForge_RUN04,0 days 03:09:33.039009
1024,1024,2,0.22474406649851297,0.1253164046641578,0.14512704304211904,0.2122347144791663,0.672213695810648,0.5211653718227194,0.5852328712551952,0.6146674533143555,LMForge_RUN04,0 days 03:17:00.082521
1024,2048,2,0.22460952870103218,0.12511108325643097,0.14498453007504092,0.21218846711674416,0.6716866532319399,0.5208493832342979,0.5848363373140569,0.6133624971289475,LMForge_RUN04,0 days 03:18:53.212878
