chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,2,0,10,128,1800,5,1795,0,0,12:58:25.089945
128,2,0,10,128,1800,5,1795,0,0,12:58:25.089945
128,2,0,106,256,1800,53,1747,0,0,"1 day, 3:41:41.064955"
128,2,0,426,512,900,213,687,0,0,"1 day, 2:06:52.032716"
128,2,4,626,1024,900,310,590,0,0,"1 day, 3:53:27.861892"
128,2,4,626,1024,900,310,590,0,0,"1 day, 3:53:27.861892"
128,2,7,1613,2048,1800,801,999,0,0,"2 days, 4:07:19.134881"
128,2,4,626,1024,900,310,590,0,0,"1 day, 3:53:27.861892"
128,2,7,1613,2048,1800,801,999,0,0,"2 days, 4:07:19.134881"
256,2,0,28,128,1800,14,1786,0,0,14:22:39.326962
128,2,4,626,1024,900,310,590,0,0,"1 day, 3:53:27.861892"
128,2,7,1613,2048,1800,801,999,0,0,"2 days, 4:07:19.134881"
256,2,0,28,128,1800,14,1786,0,0,14:22:39.326962
256,2,1,126,256,1800,62,1738,0,0,"1 day, 4:51:53.579612"
256,2,0,0,512,0,0,0,0,0,0:00:00.000171
256,2,0,0,512,0,0,0,0,0,0:00:00.000171
256,2,4,2771,1024,1800,1383,417,0,0,"2 days, 6:23:32.423726"
256,2,0,0,512,0,0,0,0,0,0:00:00.000171
256,2,4,2771,1024,1800,1383,417,0,0,"2 days, 6:23:32.423726"
256,2,5,2780,2048,1800,1386,414,0,0,"2 days, 6:58:59.660305"
256,2,0,0,512,0,0,0,0,0,0:00:00.000171
256,2,4,2771,1024,1800,1383,417,0,0,"2 days, 6:23:32.423726"
256,2,5,2780,2048,1800,1386,414,0,0,"2 days, 6:58:59.660305"
512,2,0,30,128,1622,15,1607,0,0,14:13:54.737047
256,2,0,0,512,0,0,0,0,0,0:00:00.000171
256,2,4,2771,1024,1800,1383,417,0,0,"2 days, 6:23:32.423726"
256,2,5,2780,2048,1800,1386,414,0,0,"2 days, 6:58:59.660305"
512,2,0,30,128,1622,15,1607,0,0,14:13:54.737047
512,2,0,210,256,1622,105,1517,0,0,"1 day, 3:35:50.511436"
256,2,0,0,512,0,0,0,0,0,0:00:00.000171
256,2,4,2771,1024,1800,1383,417,0,0,"2 days, 6:23:32.423726"
256,2,5,2780,2048,1800,1386,414,0,0,"2 days, 6:58:59.660305"
512,2,0,30,128,1622,15,1607,0,0,14:13:54.737047
512,2,0,210,256,1622,105,1517,0,0,"1 day, 3:35:50.511436"
512,2,0,2422,512,1622,1211,411,0,0,"1 day, 18:59:42.468727"
