chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,0,10,128,1800,5,1795,0,0,0
128,0,0,106,256,1800,53,1747,0,0,0
128,0,0,426,512,900,213,687,0,0,0
128,0,4,626,1024,900,310,590,0,0,0
128,0,7,1613,2048,1800,801,999,0,0,0
256,0,0,28,128,1800,14,1786,0,0,0
256,0,1,126,256,1800,62,1738,0,0,0
256,0,0,1730,512,1477,865,611,0,0,0
256,0,4,2771,1024,1800,1383,417,0,0,0
256,0,5,2780,2048,1800,1386,414,0,0,0
512,0,0,30,128,1622,15,1607,0,0,0
512,0,0,210,256,1622,105,1517,0,0,0
512,0,0,2422,512,1622,1211,411,0,0,0
512,0,5,2806,1024,1542,1394,147,0,0,0
