chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,2,0,160,128,1800,80,1720,0,0,2:17:28.257175
128,2,0,160,128,1800,80,1720,0,0,2:17:28.257175
128,2,25,2374,256,1800,1174,626,0,0,3:50:10.296122
128,2,60,1836,512,900,868,32,0,0,2:08:48.286165
128,2,60,1836,512,900,868,32,0,0,2:08:48.286165
128,2,111,3758,1024,1800,1782,18,0,0,4:16:33.972555
128,2,60,1836,512,900,868,32,0,0,2:08:48.286165
128,2,111,3758,1024,1800,1782,18,0,0,4:16:33.972555
128,2,112,3764,2048,1800,1783,17,0,0,4:16:32.440439
128,2,60,1836,512,900,868,32,0,0,2:08:48.286165
128,2,111,3758,1024,1800,1782,18,0,0,4:16:33.972555
128,2,112,3764,2048,1800,1783,17,0,0,4:16:32.440439
256,2,0,104,128,1800,52,1748,0,0,2:18:46.578440
128,2,60,1836,512,900,868,32,0,0,2:08:48.286165
128,2,111,3758,1024,1800,1782,18,0,0,4:16:33.972555
128,2,112,3764,2048,1800,1783,17,0,0,4:16:32.440439
256,2,0,104,128,1800,52,1748,0,0,2:18:46.578440
256,2,15,1912,256,1800,945,855,0,0,4:06:27.877539
256,2,38,1768,512,900,848,52,0,0,2:25:06.912364
256,2,49,1874,1024,900,882,18,2,0,2:28:44.599589
256,2,49,1874,1024,900,882,18,2,0,2:28:44.599589
256,2,99,3774,2048,1800,1778,22,2,0,4:55:03.470668
256,2,49,1874,1024,900,882,18,2,0,2:28:44.599589
256,2,99,3774,2048,1800,1778,22,2,0,4:55:03.470668
512,2,0,84,128,1622,42,1580,0,0,2:08:44.579014
256,2,49,1874,1024,900,882,18,2,0,2:28:44.599589
256,2,99,3774,2048,1800,1778,22,2,0,4:55:03.470668
512,2,0,84,128,1622,42,1580,0,0,2:08:44.579014
512,2,2,1477,256,1622,737,885,0,0,3:50:06.689769
256,2,49,1874,1024,900,882,18,2,0,2:28:44.599589
256,2,99,3774,2048,1800,1778,22,2,0,4:55:03.470668
512,2,0,84,128,1622,42,1580,0,0,2:08:44.579014
512,2,2,1477,256,1622,737,885,0,0,3:50:06.689769
512,2,27,3149,512,1622,1551,71,0,0,4:40:22.669664
256,2,49,1874,1024,900,882,18,2,0,2:28:44.599589
256,2,99,3774,2048,1800,1778,22,2,0,4:55:03.470668
512,2,0,84,128,1622,42,1580,0,0,2:08:44.579014
512,2,2,1477,256,1622,737,885,0,0,3:50:06.689769
512,2,27,3149,512,1622,1551,71,0,0,4:40:22.669664
512,2,45,3291,1024,1622,1599,23,0,0,4:44:45.402660
256,2,49,1874,1024,900,882,18,2,0,2:28:44.599589
256,2,99,3774,2048,1800,1778,22,2,0,4:55:03.470668
512,2,0,84,128,1622,42,1580,0,0,2:08:44.579014
512,2,2,1477,256,1622,737,885,0,0,3:50:06.689769
512,2,27,3149,512,1622,1551,71,0,0,4:40:22.669664
512,2,45,3291,1024,1622,1599,23,0,0,4:44:45.402660
512,2,46,3300,2048,1622,1601,21,0,0,4:44:53.491086
256,2,49,1874,1024,900,882,18,2,0,2:28:44.599589
256,2,99,3774,2048,1800,1778,22,2,0,4:55:03.470668
512,2,0,84,128,1622,42,1580,0,0,2:08:44.579014
512,2,2,1477,256,1622,737,885,0,0,3:50:06.689769
512,2,27,3149,512,1622,1551,71,0,0,4:40:22.669664
512,2,45,3291,1024,1622,1599,23,0,0,4:44:45.402660
512,2,46,3300,2048,1622,1601,21,0,0,4:44:53.491086
1024,2,0,58,128,910,29,881,0,0,1:17:07.558752
256,2,49,1874,1024,900,882,18,2,0,2:28:44.599589
256,2,99,3774,2048,1800,1778,22,2,0,4:55:03.470668
512,2,0,84,128,1622,42,1580,0,0,2:08:44.579014
512,2,2,1477,256,1622,737,885,0,0,3:50:06.689769
512,2,27,3149,512,1622,1551,71,0,0,4:40:22.669664
512,2,45,3291,1024,1622,1599,23,0,0,4:44:45.402660
512,2,46,3300,2048,1622,1601,21,0,0,4:44:53.491086
1024,2,0,58,128,910,29,881,0,0,1:17:07.558752
1024,2,1,787,256,910,393,517,0,0,2:17:47.548161
256,2,49,1874,1024,900,882,18,2,0,2:28:44.599589
256,2,99,3774,2048,1800,1778,22,2,0,4:55:03.470668
512,2,0,84,128,1622,42,1580,0,0,2:08:44.579014
512,2,2,1477,256,1622,737,885,0,0,3:50:06.689769
512,2,27,3149,512,1622,1551,71,0,0,4:40:22.669664
512,2,45,3291,1024,1622,1599,23,0,0,4:44:45.402660
512,2,46,3300,2048,1622,1601,21,0,0,4:44:53.491086
1024,2,0,58,128,910,29,881,0,0,1:17:07.558752
1024,2,1,787,256,910,393,517,0,0,2:17:47.548161
1024,2,19,1755,512,910,864,46,0,0,2:51:07.249211
256,2,49,1874,1024,900,882,18,2,0,2:28:44.599589
256,2,99,3774,2048,1800,1778,22,2,0,4:55:03.470668
512,2,0,84,128,1622,42,1580,0,0,2:08:44.579014
512,2,2,1477,256,1622,737,885,0,0,3:50:06.689769
512,2,27,3149,512,1622,1551,71,0,0,4:40:22.669664
512,2,45,3291,1024,1622,1599,23,0,0,4:44:45.402660
512,2,46,3300,2048,1622,1601,21,0,0,4:44:53.491086
1024,2,0,58,128,910,29,881,0,0,1:17:07.558752
1024,2,1,787,256,910,393,517,0,0,2:17:47.548161
1024,2,19,1755,512,910,864,46,0,0,2:51:07.249211
1024,2,28,1827,1024,910,889,21,0,0,5:59:22.676733
1024,2,7,717,2048,358,346,12,0,0,1:05:32.080644
