chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,0,160,128,1800,80,1720,0,0,0
128,0,25,2374,256,1800,1174,626,0,0,0
128,0,60,1836,512,900,868,32,0,0,0
128,0,111,3758,1024,1800,1782,18,0,0,0
128,0,112,3764,2048,1800,1783,17,0,0,0
256,0,0,104,128,1800,52,1748,0,0,0
256,0,15,1912,256,1800,945,855,0,0,0
256,0,38,1768,512,900,848,52,0,0,0
256,0,49,1874,1024,900,882,18,2,0,0
256,0,99,3774,2048,1800,1778,22,2,0,0
512,0,0,84,128,1622,42,1580,0,0,0
512,0,2,1477,256,1622,737,885,0,0,0
512,0,27,3149,512,1622,1551,71,0,0,0
512,0,45,3291,1024,1622,1599,23,0,0,0
512,0,46,3300,2048,1622,1601,21,0,0,0
1024,0,0,58,128,910,29,881,0,0,0
1024,0,1,787,256,910,393,517,0,0,0
1024,0,19,1755,512,910,864,46,0,0,0
1024,0,28,1827,1024,910,889,21,0,0,0
1024,0,7,717,2048,358,346,12,0,0,0
