chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,0,156,128,1800,78,1722,0,0,0
128,0,24,2361,256,1800,1168,631,0,0,0
128,0,76,3413,512,1698,1646,51,0,0,0
128,0,0,0,1024,1800,0,1800,0,0,0
128,0,111,3759,2048,1800,1781,19,0,0,0
256,0,0,104,128,1800,52,1748,0,0,0
256,0,15,1906,256,1800,942,858,0,0,0
256,0,67,3561,512,1800,1723,77,0,0,0
256,0,66,2567,1024,1223,1214,8,0,0,0
256,0,96,3770,2048,1800,1780,20,2,0,0
512,0,0,86,128,1622,43,1579,0,0,0
512,0,2,1495,256,1622,746,876,0,0,0
512,0,27,3155,512,1622,1554,68,0,0,0
512,0,46,3299,1024,1622,1602,20,0,0,0
512,0,47,3308,2048,1622,1604,18,0,0,0
1024,0,0,56,128,910,28,882,0,0,0
1024,0,0,128,256,157,64,92,0,0,0
