chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,2,107,179,128,1800,143,1657,0,0,2:12:40.079221
128,2,107,179,128,1800,143,1657,0,0,2:12:40.079221
128,2,195,811,256,1800,503,1297,0,0,3:56:38.922797
128,2,107,179,128,1800,143,1657,0,0,2:12:40.079221
128,2,195,811,256,1800,503,1297,0,0,3:56:38.922797
128,2,177,877,512,1800,527,1273,0,0,5:38:52.877151
128,2,107,179,128,1800,143,1657,0,0,2:12:40.079221
128,2,195,811,256,1800,503,1297,0,0,3:56:38.922797
128,2,177,877,512,1800,527,1273,0,0,5:38:52.877151
128,2,181,873,1024,1800,527,1273,0,0,6:47:11.345927
128,2,107,179,128,1800,143,1657,0,0,2:12:40.079221
128,2,195,811,256,1800,503,1297,0,0,3:56:38.922797
128,2,177,877,512,1800,527,1273,0,0,5:38:52.877151
128,2,181,873,1024,1800,527,1273,0,0,6:47:11.345927
128,2,186,906,2048,1800,546,1254,0,0,7:41:35.962626
128,2,107,179,128,1800,143,1657,0,0,2:12:40.079221
128,2,195,811,256,1800,503,1297,0,0,3:56:38.922797
128,2,177,877,512,1800,527,1273,0,0,5:38:52.877151
128,2,181,873,1024,1800,527,1273,0,0,6:47:11.345927
128,2,186,906,2048,1800,546,1254,0,0,7:41:35.962626
256,2,38,84,128,1800,61,1739,0,0,2:15:16.439054
128,2,107,179,128,1800,143,1657,0,0,2:12:40.079221
128,2,195,811,256,1800,503,1297,0,0,3:56:38.922797
128,2,177,877,512,1800,527,1273,0,0,5:38:52.877151
128,2,181,873,1024,1800,527,1273,0,0,6:47:11.345927
128,2,186,906,2048,1800,546,1254,0,0,7:41:35.962626
256,2,38,84,128,1800,61,1739,0,0,2:15:16.439054
256,2,90,602,256,1800,346,1454,0,0,4:15:58.927956
128,2,107,179,128,1800,143,1657,0,0,2:12:40.079221
128,2,195,811,256,1800,503,1297,0,0,3:56:38.922797
128,2,177,877,512,1800,527,1273,0,0,5:38:52.877151
128,2,181,873,1024,1800,527,1273,0,0,6:47:11.345927
128,2,186,906,2048,1800,546,1254,0,0,7:41:35.962626
256,2,38,84,128,1800,61,1739,0,0,2:15:16.439054
