chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,107,179,128,1800,143,1657,0,0,0
128,0,195,811,256,1800,503,1297,0,0,0
128,0,177,877,512,1800,527,1273,0,0,0
128,0,181,873,1024,1800,527,1273,0,0,0
128,0,186,906,2048,1800,546,1254,0,0,0
256,0,38,84,128,1800,61,1739,0,0,0
256,0,90,602,256,1800,346,1454,0,0,0
256,0,102,876,512,1800,489,1311,0,0,0
256,0,104,862,1024,1800,483,1317,0,0,0
256,0,102,812,2048,1800,457,1343,0,0,0
512,0,13,29,128,1622,21,1601,0,0,0
512,0,12,66,256,722,39,683,0,0,0
512,0,19,135,512,722,77,645,0,0,0
512,0,51,435,1024,1308,243,1064,0,0,0
512,0,56,472,2048,1622,264,1358,0,0,0
1024,0,3,3,128,910,3,907,0,0,0
1024,0,31,85,256,910,58,852,0,0,0
1024,0,36,306,512,910,171,739,0,0,0
1024,0,51,363,1024,910,206,704,0,0,0
1024,0,40,358,2048,910,199,711,0,0,0
