chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
256,2,0,0,1024,0,0,0,0,0,0:00:00.000089
256,2,113,881,2048,1800,497,1303,0,0,"3 days, 18:14:25.418705"
512,2,10,22,128,1622,16,1606,0,0,15:46:02.590398
512,2,41,223,256,1622,132,1490,0,0,"1 day, 4:20:55.578887"
512,2,34,426,512,1622,230,1392,0,0,"1 day, 12:03:08.007147"
256,2,0,0,1024,0,0,0,0,0,0:00:00.000089
256,2,113,881,2048,1800,497,1303,0,0,"3 days, 18:14:25.418705"
512,2,10,22,128,1622,16,1606,0,0,15:46:02.590398
512,2,41,223,256,1622,132,1490,0,0,"1 day, 4:20:55.578887"
512,2,34,426,512,1622,230,1392,0,0,"1 day, 12:03:08.007147"
512,2,40,476,1024,1622,258,1364,0,0,"1 day, 9:35:26.209884"
256,2,0,0,1024,0,0,0,0,0,0:00:00.000089
256,2,113,881,2048,1800,497,1303,0,0,"3 days, 18:14:25.418705"
512,2,10,22,128,1622,16,1606,0,0,15:46:02.590398
512,2,41,223,256,1622,132,1490,0,0,"1 day, 4:20:55.578887"
512,2,34,426,512,1622,230,1392,0,0,"1 day, 12:03:08.007147"
512,2,40,476,1024,1622,258,1364,0,0,"1 day, 9:35:26.209884"
512,2,33,455,2048,1622,244,1378,0,0,"1 day, 0:15:45.473035"
256,2,0,0,1024,0,0,0,0,0,0:00:00.000089
256,2,113,881,2048,1800,497,1303,0,0,"3 days, 18:14:25.418705"
512,2,10,22,128,1622,16,1606,0,0,15:46:02.590398
512,2,41,223,256,1622,132,1490,0,0,"1 day, 4:20:55.578887"
512,2,34,426,512,1622,230,1392,0,0,"1 day, 12:03:08.007147"
512,2,40,476,1024,1622,258,1364,0,0,"1 day, 9:35:26.209884"
512,2,33,455,2048,1622,244,1378,0,0,"1 day, 0:15:45.473035"
1024,2,5,5,128,910,5,905,0,0,2:55:16.399538
256,2,0,0,1024,0,0,0,0,0,0:00:00.000089
256,2,113,881,2048,1800,497,1303,0,0,"3 days, 18:14:25.418705"
512,2,10,22,128,1622,16,1606,0,0,15:46:02.590398
512,2,41,223,256,1622,132,1490,0,0,"1 day, 4:20:55.578887"
512,2,34,426,512,1622,230,1392,0,0,"1 day, 12:03:08.007147"
512,2,40,476,1024,1622,258,1364,0,0,"1 day, 9:35:26.209884"
512,2,33,455,2048,1622,244,1378,0,0,"1 day, 0:15:45.473035"
1024,2,5,5,128,910,5,905,0,0,2:55:16.399538
1024,2,35,87,256,910,61,849,0,0,5:39:24.389323
256,2,0,0,1024,0,0,0,0,0,0:00:00.000089
256,2,113,881,2048,1800,497,1303,0,0,"3 days, 18:14:25.418705"
512,2,10,22,128,1622,16,1606,0,0,15:46:02.590398
512,2,41,223,256,1622,132,1490,0,0,"1 day, 4:20:55.578887"
512,2,34,426,512,1622,230,1392,0,0,"1 day, 12:03:08.007147"
512,2,40,476,1024,1622,258,1364,0,0,"1 day, 9:35:26.209884"
512,2,33,455,2048,1622,244,1378,0,0,"1 day, 0:15:45.473035"
1024,2,5,5,128,910,5,905,0,0,2:55:16.399538
1024,2,35,87,256,910,61,849,0,0,5:39:24.389323
1024,2,35,351,512,910,193,717,0,0,9:53:19.541662
256,2,0,0,1024,0,0,0,0,0,0:00:00.000089
256,2,113,881,2048,1800,497,1303,0,0,"3 days, 18:14:25.418705"
512,2,10,22,128,1622,16,1606,0,0,15:46:02.590398
512,2,41,223,256,1622,132,1490,0,0,"1 day, 4:20:55.578887"
512,2,34,426,512,1622,230,1392,0,0,"1 day, 12:03:08.007147"
512,2,40,476,1024,1622,258,1364,0,0,"1 day, 9:35:26.209884"
512,2,33,455,2048,1622,244,1378,0,0,"1 day, 0:15:45.473035"
1024,2,5,5,128,910,5,905,0,0,2:55:16.399538
1024,2,35,87,256,910,61,849,0,0,5:39:24.389323
1024,2,35,351,512,910,193,717,0,0,9:53:19.541662
1024,2,44,382,1024,910,213,697,0,0,13:08:08.358042
256,2,0,0,1024,0,0,0,0,0,0:00:00.000089
256,2,113,881,2048,1800,497,1303,0,0,"3 days, 18:14:25.418705"
512,2,10,22,128,1622,16,1606,0,0,15:46:02.590398
512,2,41,223,256,1622,132,1490,0,0,"1 day, 4:20:55.578887"
512,2,34,426,512,1622,230,1392,0,0,"1 day, 12:03:08.007147"
512,2,40,476,1024,1622,258,1364,0,0,"1 day, 9:35:26.209884"
512,2,33,455,2048,1622,244,1378,0,0,"1 day, 0:15:45.473035"
1024,2,5,5,128,910,5,905,0,0,2:55:16.399538
1024,2,35,87,256,910,61,849,0,0,5:39:24.389323
1024,2,35,351,512,910,193,717,0,0,9:53:19.541662
1024,2,44,382,1024,910,213,697,0,0,13:08:08.358042
1024,2,27,357,2048,910,192,718,0,0,15:40:12.604433
