chunk_size,max_tokens,questions_num,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,substring_date,elapsed_time
128,256,2,0.4329929032749739,0.25613957741566745,0.322022632844541,0.39064396259921963,0.7203034700643415,0.5866025771160861,0.6423646224004932,0.719752359051998,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,0 days 00:00:00.000184
128,512,2,0.4291054885031573,0.24639819234911667,0.31539190146860174,0.3874370846764772,0.7065642810898063,0.5901836697033092,0.6393707271510637,0.7259676965867095,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,2 days 10:27:38.279978
128,1024,2,0.41930135465044494,0.2361112067117101,0.3077039871173619,0.3768411036485745,0.7025637767306893,0.5855271573692159,0.6351974110699555,0.7180827407525526,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,2 days 21:55:39.736723
128,2048,2,0.4288825782251404,0.2420296486547614,0.3114419643586015,0.3853436299402796,0.7011918766053361,0.5924260524039773,0.6385596960929454,0.7218420407403013,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,1 days 17:13:31.247923
256,128,2,0.26336801901170215,0.1637912883640786,0.19718525914972806,0.24785184528826504,0.7430562783371318,0.481882730216691,0.579167774680889,0.632046207898494,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,1 days 00:09:43.577798
256,256,2,0.33729246632332854,0.20199548764617775,0.2501397782073076,0.31264154525003435,0.7344036893712149,0.526696360536984,0.6099283634670197,0.673029838573365,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,1 days 21:39:40.821714
256,512,2,0.35788279659440014,0.2007556512171629,0.25738936863763173,0.33013183464118395,0.7173047231005335,0.5416607867980835,0.6141849241991547,0.6863790400938055,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,2 days 20:44:38.347737
256,1024,2,0.3586259205429708,0.2063156887399753,0.26285115820041627,0.3317410822069439,0.7250203301219879,0.5384542906843729,0.6148299241143137,0.6878909662269466,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,0 days 00:00:00.000089
256,2048,2,0.3586110920697645,0.20269038837820624,0.254257046733646,0.3308490528765632,0.7196265165435064,0.5426172842435479,0.615653651898619,0.6920670851574583,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,3 days 18:14:25.418705
512,128,2,0.15771455105424825,0.11776969684429228,0.1370876207201469,0.15410934174898577,0.7454909167506478,0.4144981103864583,0.5283899754285812,0.6190226118672978,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,0 days 15:46:02.590398
512,256,2,0.21783411449357548,0.12776573173562814,0.16010029128759642,0.20384109188179614,0.7172360754333804,0.4704689514476622,0.5654603411263949,0.6544326329645554,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,1 days 04:20:55.578887
512,512,2,0.2671572443461005,0.16038695250010926,0.19539771936955153,0.2527290671238275,0.7196111844179216,0.5028517823753782,0.5894269908957638,0.6612371589306375,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,1 days 12:03:08.007147
512,1024,2,0.2651641411036896,0.1535939484607266,0.18976476471917336,0.24845897266487293,0.715794789127442,0.501260104550033,0.5872290565812287,0.6706189878848421,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,1 days 09:35:26.209884
512,2048,2,0.2628619708998785,0.14984619780151964,0.18747177073312205,0.24692107237791844,0.7113279560110071,0.4975186437368393,0.5832062002066728,0.6716901784578523,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,1 days 00:15:45.473035
1024,128,2,0.11919688637435853,0.062041634191128084,0.08377878820898843,0.11102511049394628,0.6439433336257935,0.43201619386672974,0.5158113300800323,0.5397162973880768,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,0 days 02:55:16.399538
1024,256,2,0.15104979687780135,0.0933789101814848,0.11247743650161604,0.14367724160700965,0.6987424653837051,0.48587744126374693,0.5706590612729391,0.6158976497492571,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,0 days 05:39:24.389323
1024,512,2,0.1900563370466583,0.11268614770132349,0.1346672160101489,0.1812802972570101,0.6865934564007653,0.5112182150708984,0.5844228642109113,0.6269996765247438,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,0 days 09:53:19.541662
1024,1024,2,0.18538343668023477,0.10890798251092765,0.13089680881302956,0.1761462369592142,0.6818504720458185,0.5085057470342875,0.5808271164201317,0.6311322244381561,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,0 days 13:08:08.358042
1024,2048,2,0.1915779365877338,0.11438290074561452,0.13777542282807143,0.18278108094107787,0.6881517922343994,0.5126797936710656,0.5858301718194946,0.6384650549801791,LMForge_RUN06_DGX_SPARK_Qwen2.5-7B-Instruct,0 days 15:40:12.604433
