Outcome,Group 1,Group 2,t-statistic,raw p-value,FDR (BH) p-value,Significant (FDR < 0.05)
rouge1,128,256,1.9232452599024021,0.09087517354050073,0.14573587324051004,False
rouge1,128,512,4.08674456729135,0.0036068082361905597,0.018654378634300202,True
rouge1,128,1024,6.574661601855272,0.0005215581698993635,0.006258698038792363,True
rouge1,256,512,1.8841567725281751,0.09766868998007439,0.14573587324051004,False
rouge1,256,1024,3.8517352207626745,0.008658096172061444,0.024859071245836434,True
rouge1,512,1024,1.945573849596008,0.09494435265539816,0.14573587324051004,False
rouge2,128,256,1.9936568678432305,0.08254815344269638,0.14573587324051004,False
rouge2,128,512,4.151524608826537,0.0032113543594570085,0.018654378634300202,True
rouge2,128,1024,6.956512682711368,0.00023696541391510486,0.005687169933962517,True
rouge2,256,512,1.7943799262579607,0.11134971912922922,0.15270818623437152,False
rouge2,256,1024,3.7771973976466224,0.008778412700607953,0.024859071245836434,True
rouge2,512,1024,1.9003664016326383,0.10075141620889332,0.14573587324051004,False
rougeL,128,256,2.1631839979915464,0.06362668861935791,0.1388218660785991,False
rougeL,128,512,4.519101333085811,0.0019552513993964103,0.018654378634300202,True
rougeL,128,1024,7.4652380819124735,0.0001559674285371696,0.005687169933962517,True
rougeL,256,512,1.948290436825041,0.08816004685163188,0.14573587324051004,False
rougeL,256,1024,4.025305113068388,0.006595796848298749,0.024859071245836434,True
rougeL,512,1024,2.0016323503987894,0.08683915554937013,0.14573587324051004,False
rougeLsum,128,256,1.8428632719154026,0.10322957687869462,0.14573587324051004,False
rougeLsum,128,512,4.014902240331838,0.0038863288821458755,0.018654378634300202,True
rougeLsum,128,1024,6.641588511918412,0.0003977017396643103,0.006258698038792363,True
rougeLsum,256,512,1.8513630844710465,0.10242675975740817,0.14573587324051004,False
rougeLsum,256,1024,3.834480613605331,0.00853879945879895,0.024859071245836434,True
rougeLsum,512,1024,1.9397255761509302,0.09539797555230463,0.14573587324051004,False
bert_score_P,128,256,0.06184405498932466,0.9523452969221766,0.9523452969221766,False
bert_score_P,128,512,1.1067802013920462,0.30062073851677407,0.3355766383443059,False
bert_score_P,128,1024,3.9159230187400658,0.004452916658764841,0.019430909056428396,True
bert_score_P,256,512,1.197193646481873,0.2695138503204082,0.31552841013120964,False
bert_score_P,256,1024,4.438695144828445,0.0026099133609907015,0.018654378634300202,True
bert_score_P,512,1024,2.6987535589281086,0.027275503927089835,0.06234400897620534,False
bert_score_R,128,256,1.6885321574690235,0.13016411744196216,0.17355215658928289,False
bert_score_R,128,512,2.965931364963353,0.017984649122761254,0.045434903046975804,True
bert_score_R,128,1024,3.2180874443663123,0.012278894390547461,0.03274371837479323,True
bert_score_R,256,512,1.1341086476536077,0.28984397229599923,0.3312502540525705,False
bert_score_R,256,1024,1.3488801864544937,0.21479634521635546,0.26436473257397597,False
bert_score_R,512,1024,0.21096044489905758,0.8381964280460683,0.85603039460024,False
bert_score_F1,128,256,1.5821313661929892,0.15777710365721997,0.1992973940933305,False
bert_score_F1,128,512,2.8481449340885057,0.02500201687450192,0.060004840498804606,False
bert_score_F1,128,1024,3.5746289371542934,0.008804254399567071,0.024859071245836434,True
bert_score_F1,256,512,1.0885140235560105,0.3080733953911965,0.3360800676994871,False
bert_score_F1,256,1024,1.6514112956000946,0.13730363924080616,0.17812364009618095,False
bert_score_F1,512,1024,0.5355869776761788,0.6068369271498557,0.6332211413737625,False
sts_score,128,256,2.054405720894601,0.08500157399904479,0.14573587324051004,False
sts_score,128,512,3.6735899199565347,0.008529594222148693,0.024859071245836434,True
sts_score,128,1024,4.778194780300467,0.0027613112604491325,0.018654378634300202,True
sts_score,256,512,1.03274575413706,0.3326906644605877,0.3548700420912935,False
sts_score,256,1024,2.1054270787294262,0.06841308989965632,0.1427751441384132,False
sts_score,512,1024,1.2197749462286713,0.25778715312981143,0.3093445837557737,False
