Outcome,Group 1,Group 2,t-statistic,raw p-value,FDR (BH) p-value,Significant (FDR < 0.05)
rouge1,128,256,3.9486143018866353,0.012840446984978297,0.028015520694498103,True
rouge1,128,512,6.89405147814277,0.0015320150208020986,0.004902448066566716,True
rouge1,128,1024,19.159599271346273,7.273173873197813e-07,3.4911234591349505e-05,True
rouge1,256,512,2.598476650681618,0.032081264842137795,0.05703335971935608,False
rouge1,256,1024,5.837554881673777,0.0012987814702078483,0.004560273016183106,True
rouge1,512,1024,2.0793235626579256,0.08807121672071663,0.12078338293126853,False
rouge2,128,256,7.004346876955033,0.0012795437818231903,0.004560273016183106,True
rouge2,128,512,7.580085299663239,0.0013300796297200726,0.004560273016183106,True
rouge2,128,1024,19.038351556898235,1.0008432869176152e-05,0.00012010119443011382,True
rouge2,256,512,2.998045087889911,0.022192300627914458,0.0417604559797816,True
rouge2,256,1024,7.419524724473216,8.538883964328943e-05,0.0008197328605755785,True
rouge2,512,1024,1.9540683364674825,0.09988188130835618,0.1295764946702999,False
rougeL,128,256,6.262457131234656,0.002808665610320263,0.0074897749608540355,True
rougeL,128,512,8.709062136253433,0.0008488913758548216,0.0039012637246824294,True
rougeL,128,1024,26.05174992520504,3.6153431390534794e-06,5.784549022485567e-05,True
rougeL,256,512,3.350306926536952,0.011478788553059727,0.027549092527343343,True
rougeL,256,1024,8.09710843366383,0.00013309191324467512,0.001064735305957401,True
rougeL,512,1024,2.4686850305269874,0.05306814507988053,0.08217003109142791,False
rougeLsum,128,256,3.8309464523919,0.014635020644364168,0.029270041288728336,True
rougeLsum,128,512,6.322760518297537,0.0023984614580617298,0.00719538437418519,True
rougeLsum,128,1024,18.333147282920013,2.100835864256402e-06,5.0420060742153645e-05,True
rougeLsum,256,512,2.572462093997893,0.03430194970096898,0.05880334234451825,False
rougeLsum,256,1024,6.043163557682154,0.0008940396035730567,0.0039012637246824294,True
rougeLsum,512,1024,1.9979122173673425,0.09821433832036819,0.1295764946702999,False
bert_score_P,128,256,-0.7138883424658837,0.5092635038587539,0.5432144041160041,False
bert_score_P,128,512,0.07885661357418527,0.9404608698984962,0.9404608698984962,False
bert_score_P,128,1024,2.618757274178119,0.03965827100653428,0.06539596797734853,False
bert_score_P,256,512,2.053783202588602,0.07423189387219166,0.10797366381409695,False
bert_score_P,256,1024,6.2055034002950515,0.0006552399633134705,0.003494613137671843,True
bert_score_P,512,1024,4.893809796287266,0.002620947451680838,0.007400322216510601,True
bert_score_R,128,256,3.386388779917817,0.022620246989048364,0.0417604559797816,True
bert_score_R,128,512,4.925630295170076,0.006038209562612027,0.015254424158177755,True
bert_score_R,128,1024,7.649559113129888,0.0002457522690742726,0.0016851584165092977,True
bert_score_R,256,512,1.4583836715612983,0.18336723445244307,0.23162176983466495,False
bert_score_R,256,1024,0.7164925284987533,0.5012149078103546,0.5432144041160041,False
bert_score_R,512,1024,-1.134272813562571,0.3036781762845066,0.347060772896579,False
bert_score_F1,128,256,2.9390767543844665,0.040872479985842834,0.06539596797734853,False
bert_score_F1,128,512,4.083418042715353,0.014488113412110716,0.029270041288728336,True
bert_score_F1,128,1024,9.122825323882077,0.00040813827286864744,0.002448829637211885,True
bert_score_F1,256,512,1.3878072749294708,0.2045863832831017,0.2517986255792021,False
bert_score_F1,256,1024,1.2044240981697771,0.2770575491367075,0.32436005752590147,False
bert_score_F1,512,1024,-0.6825252434033958,0.5252144564730286,0.5480498676240297,False
sts_score,128,256,2.312638278397731,0.07868090048175519,0.11107891832718379,False
sts_score,128,512,2.4595468014925634,0.0671743654460962,0.1007615481691443,False
sts_score,128,1024,4.202442705210711,0.012273256312370149,0.028015520694498103,True
sts_score,256,512,0.2387847938386511,0.8173134402506561,0.8347030879155637,False
sts_score,256,1024,1.2954850913421243,0.23130401940494913,0.27756482328593896,False
sts_score,512,1024,0.9996839603859962,0.34705077532242673,0.387405516638988,False
