Outcome,Group 1,Group 2,t-statistic,raw p-value,FDR (BH) p-value,Significant (FDR < 0.05)
rouge1,128,256,0.334018837679373,0.7488569454862213,0.8169348496213323,False
rouge1,128,512,1.4944498678269236,0.17638140948100217,0.5355096445398879,False
rouge1,128,1024,3.370796516139996,0.009982905992066051,0.13943859676195314,False
rouge1,256,512,0.857462383959452,0.4173585446038368,0.7113487688071342,False
rouge1,256,1024,2.0257470759964766,0.08870519172848837,0.48437537952074033,False
rouge1,512,1024,1.2515846935020716,0.25123725462987984,0.5355096445398879,False
rouge2,128,256,0.7898450809426262,0.4624633967592263,0.7160723562723504,False
rouge2,128,512,1.8674971358869161,0.11100269114016965,0.48437537952074033,False
rouge2,128,1024,4.166535857072197,0.003830815178556479,0.0919395642853555,False
rouge2,256,512,0.6952442546032627,0.507149127003132,0.7266585905961483,False
rouge2,256,1024,1.913162292141817,0.10014868366874857,0.48437537952074033,False
rouge2,512,1024,1.2796184902170398,0.24018409779897187,0.5355096445398879,False
rougeL,128,256,0.8456828592646699,0.42977321448764355,0.7113487688071342,False
rougeL,128,512,2.089738756250666,0.0761521960608216,0.48437537952074033,False
rougeL,128,1024,4.273802893295793,0.0027920334136868957,0.0919395642853555,False
rougeL,256,512,0.8436763632288427,0.42419346339562036,0.7113487688071342,False
rougeL,256,1024,2.0982453877040355,0.07708168196988473,0.48437537952074033,False
rougeL,512,1024,1.3212318439819344,0.22657503995997988,0.5355096445398879,False
rougeLsum,128,256,0.2534011844036283,0.808157823502148,0.8620350117356246,False
rougeLsum,128,512,1.3260062243464212,0.22671890136783854,0.5355096445398879,False
rougeLsum,128,1024,3.2548510889186755,0.011619883063496093,0.13943859676195314,False
rougeLsum,256,512,0.7886176519691778,0.45388610226661263,0.7160723562723504,False
rougeLsum,256,1024,1.964779624346841,0.09512483879059366,0.48437537952074033,False
rougeLsum,512,1024,1.234977981635436,0.2565983713420296,0.5355096445398879,False
bert_score_P,128,256,-0.5350117698635268,0.6165078617869781,0.7423260983502781,False
bert_score_P,128,512,-1.198808813650384,0.28938699116325994,0.5787739823265199,False
bert_score_P,128,1024,-0.543289834989576,0.6114794176931353,0.7423260983502781,False
bert_score_P,256,512,-1.6514737705556015,0.13863850208649658,0.5118960077039875,False
bert_score_P,256,1024,-0.015699371191066,0.9878591648099486,0.9878591648099486,False
bert_score_P,512,1024,1.6687994419124943,0.13465142491426504,0.5118960077039875,False
bert_score_R,128,256,0.6702479701255384,0.5221201037338028,0.7266585905961483,False
bert_score_R,128,512,1.3082465820986788,0.22747809192793317,0.5355096445398879,False
bert_score_R,128,1024,1.5352337128377915,0.16368343930615628,0.5355096445398879,False
bert_score_R,256,512,0.5592059555435065,0.5914079816761766,0.7423260983502781,False
bert_score_R,256,1024,0.6859966155814773,0.513495734454644,0.7266585905961483,False
bert_score_R,512,1024,0.08082995742071596,0.9376425973035076,0.957592439799327,False
bert_score_F1,128,256,0.45060095090493973,0.6674810900840554,0.7628355315246348,False
bert_score_F1,128,512,0.886401151404256,0.40863010137853906,0.7113487688071342,False
bert_score_F1,128,1024,1.391260078169351,0.20383121547254734,0.5355096445398879,False
bert_score_F1,256,512,0.3611213755123827,0.7273643033742583,0.8119415479526604,False
bert_score_F1,256,1024,0.6054717042741731,0.5633480991220245,0.7423260983502781,False
bert_score_F1,512,1024,0.18233735373320764,0.8603772060956179,0.8977849107084708,False
sts_score,128,256,0.44901129459106626,0.6657699506854972,0.7628355315246348,False
sts_score,128,512,1.273587981168062,0.23912245768453416,0.5355096445398879,False
sts_score,128,1024,1.8343987173088125,0.10675735362815966,0.48437537952074033,False
sts_score,256,512,0.6594977318815806,0.5298552223096915,0.7266585905961483,False
sts_score,256,1024,1.1118126599006741,0.3046319217914328,0.5848932898395509,False
sts_score,512,1024,0.5182907701048821,0.6186050819585651,0.7423260983502781,False
