chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,1,2,250,128,900,247,653,0,0,0:59:40.087828
128,1,2,250,128,900,247,653,0,0,0:59:40.087828
128,1,0,279,256,900,279,621,0,0,1:20:59.527561
128,1,2,250,128,900,247,653,0,0,0:59:40.087828
128,1,0,279,256,900,279,621,0,0,1:20:59.527561
128,1,2,265,512,900,263,637,0,0,1:33:13.407291
128,1,2,250,128,900,247,653,0,0,0:59:40.087828
128,1,0,279,256,900,279,621,0,0,1:20:59.527561
128,1,2,265,512,900,263,637,0,0,1:33:13.407291
128,1,6,286,1024,900,277,623,0,0,1:36:44.668073
128,1,2,250,128,900,247,653,0,0,0:59:40.087828
128,1,0,279,256,900,279,621,0,0,1:20:59.527561
128,1,2,265,512,900,263,637,0,0,1:33:13.407291
128,1,6,286,1024,900,277,623,0,0,1:36:44.668073
128,1,0,260,2048,900,260,640,0,0,1:52:05.108357
128,1,2,250,128,900,247,653,0,0,0:59:40.087828
128,1,0,279,256,900,279,621,0,0,1:20:59.527561
128,1,2,265,512,900,263,637,0,0,1:33:13.407291
128,1,6,286,1024,900,277,623,0,0,1:36:44.668073
128,1,0,260,2048,900,260,640,0,0,1:52:05.108357
256,1,1,170,128,900,169,731,0,0,1:03:35.320766
128,1,2,250,128,900,247,653,0,0,0:59:40.087828
128,1,0,279,256,900,279,621,0,0,1:20:59.527561
128,1,2,265,512,900,263,637,0,0,1:33:13.407291
128,1,6,286,1024,900,277,623,0,0,1:36:44.668073
128,1,0,260,2048,900,260,640,0,0,1:52:05.108357
256,1,1,170,128,900,169,731,0,0,1:03:35.320766
256,1,0,202,256,900,202,698,0,0,1:35:45.215742
128,1,2,250,128,900,247,653,0,0,0:59:40.087828
128,1,0,279,256,900,279,621,0,0,1:20:59.527561
128,1,2,265,512,900,263,637,0,0,1:33:13.407291
128,1,6,286,1024,900,277,623,0,0,1:36:44.668073
128,1,0,260,2048,900,260,640,0,0,1:52:05.108357
256,1,1,170,128,900,169,731,0,0,1:03:35.320766
256,1,0,202,256,900,202,698,0,0,1:35:45.215742
256,1,2,232,512,900,225,675,0,0,1:53:45.661198
128,1,2,250,128,900,247,653,0,0,0:59:40.087828
128,1,0,279,256,900,279,621,0,0,1:20:59.527561
128,1,2,265,512,900,263,637,0,0,1:33:13.407291
128,1,6,286,1024,900,277,623,0,0,1:36:44.668073
128,1,0,260,2048,900,260,640,0,0,1:52:05.108357
256,1,1,170,128,900,169,731,0,0,1:03:35.320766
256,1,0,202,256,900,202,698,0,0,1:35:45.215742
256,1,2,232,512,900,225,675,0,0,1:53:45.661198
