chunk_size,max_tokens,questions_num,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,substring_date,elapsed_time
128,128,1,0.4499267082597792,0.3009872602798595,0.3654078886668753,0.41655775010745333,0.7736744838953018,0.593960728764534,0.6681206246614456,0.7499110251069069,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 00:59:40.087828
128,256,1,0.45794256729623933,0.29249680020025287,0.37058326715366163,0.4212015852098466,0.7659695240331807,0.6050579836291652,0.672512570589674,0.7589213244857327,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 01:20:59.527561
128,512,1,0.4546069171683887,0.29609595422730106,0.36484988412907093,0.4191939883183762,0.7678773178244537,0.6022149433504861,0.6709894235404033,0.759302327767858,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 01:33:13.407291
128,1024,1,0.44855520384397307,0.3017202037141569,0.36933097873893295,0.41374941545656124,0.775776033843314,0.5915688398209485,0.6664955384664603,0.7368625818745239,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 01:36:44.668073
128,2048,1,0.4637516320463413,0.31334646565354174,0.3777249895203259,0.4303138211235199,0.7739940446156722,0.6013420155415168,0.6730701841987097,0.7504184953008707,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 01:52:05.108357
256,128,1,0.3362502692229517,0.22514595883371297,0.2657110506944733,0.3165010041356243,0.7744232447708355,0.5330044189796729,0.6284008844810374,0.7097021399175419,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 01:03:35.320766
256,256,1,0.3594408132853832,0.24067201955812678,0.27973323052529264,0.33784869940661577,0.7729105512694557,0.5442945123604028,0.6352313624160124,0.7153600014672421,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 01:35:45.215742
256,512,1,0.33906793556699877,0.22756320448411105,0.27019060656628113,0.3173315504777837,0.763564667311208,0.5282312636103096,0.6201030576665854,0.7091661514072068,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 01:53:45.661198
256,1024,1,0.3593206031287193,0.24306484769402423,0.29003435945840855,0.33786956413122105,0.7775165288947349,0.5463019624698994,0.6377488873725714,0.7261890482070834,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 02:11:37.629642
256,2048,1,0.35911256289941246,0.24184479514594362,0.2879320161936709,0.337796350898693,0.765497112478821,0.5436016498333395,0.6321417404090898,0.7103922263491307,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 02:21:17.486911
512,128,1,0.21332670023008532,0.14653580113987877,0.17793081098014396,0.20305819113901646,0.7576376924147973,0.47997918770863457,0.5858613243469826,0.6671803694504957,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 01:07:46.496671
512,256,1,0.2427730855169743,0.16835458923590346,0.1972961000800151,0.2308009488672811,0.7690836164084348,0.4956692053513093,0.6002221630378203,0.6647580773315647,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 01:52:00.410209
512,512,1,0.26775711242835093,0.17371031343848214,0.21077773967412272,0.25350928215181556,0.7535702635103197,0.5062949174820487,0.6034760357283834,0.6901624972250924,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 02:17:43.689214
512,1024,1,0.25072029962086784,0.1817700948901212,0.20887996648841484,0.2397406052107457,0.7637077252070109,0.4944798241058985,0.5977274580134286,0.6621082646979226,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days
512,2048,1,0.22632732879446976,0.16527260482526324,0.18854634451547503,0.21667145842330643,0.7631620640754699,0.4836361700296402,0.5888070938587189,0.6636141889095306,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 03:02:47.187090
1024,128,1,0.11871567145179049,0.08263376766086374,0.0975174246647064,0.11471830006110896,0.6888692053881559,0.4655115712772716,0.5538887143135071,0.5765836027535525,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 01:03:43.831472
1024,256,1,0.1658315091076739,0.11165499738659806,0.1302303605572881,0.1594409068335237,0.6996900196214324,0.4992706503682924,0.580509504068245,0.6280024766343312,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 01:50:43.426328
1024,512,1,0.16660146528770794,0.1181290606220072,0.1315984963621088,0.16042221988208338,0.7014132482310136,0.5011342115700245,0.5823571796218554,0.6210230182856321,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 02:25:00.488856
1024,1024,1,0.1646265416979948,0.11295170587439396,0.12691270435126412,0.15734421482304395,0.6950221771160058,0.4911080619930166,0.5724140941041761,0.6076271556383741,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 02:46:32.805954
1024,2048,1,0.18016131720771605,0.1265724707567611,0.14199996115790434,0.17376772579542243,0.6874263303017053,0.5080336482506099,0.5823217508361096,0.6420572353160288,NEW_RUNS_LMForge_RUN02_Lab_Machine,0 days 03:24:59.046904
