chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,1,1,22,128,900,21,879,0,0,0:52:18.465024
128,1,1,22,128,900,21,879,0,0,0:52:18.465024
128,1,2,212,256,900,209,691,0,0,1:34:41.158787
128,1,1,22,128,900,21,879,0,0,0:52:18.465024
128,1,2,212,256,900,209,691,0,0,1:34:41.158787
128,1,3,314,512,900,310,590,0,0,1:49:57.097219
128,1,1,22,128,900,21,879,0,0,0:52:18.465024
128,1,2,212,256,900,209,691,0,0,1:34:41.158787
128,1,3,314,512,900,310,590,0,0,1:49:57.097219
128,1,7,329,1024,900,315,585,0,0,1:51:50.545955
128,1,0,0,2048,0,0,0,0,0,0:00:00
128,1,0,0,2048,0,0,0,0,0,0:00:00
256,1,0,21,128,900,21,879,0,0,1:04:57.918100
128,1,0,0,2048,0,0,0,0,0,0:00:00
256,1,0,21,128,900,21,879,0,0,1:04:57.918100
256,1,3,304,256,900,293,607,0,0,1:52:26.626331
128,1,0,0,2048,0,0,0,0,0,0:00:00
256,1,0,21,128,900,21,879,0,0,1:04:57.918100
256,1,3,304,256,900,293,607,0,0,1:52:26.626331
256,1,3,444,512,900,433,467,0,0,2:08:44.117743
128,1,0,0,2048,0,0,0,0,0,0:00:00
256,1,0,21,128,900,21,879,0,0,1:04:57.918100
256,1,3,304,256,900,293,607,0,0,1:52:26.626331
256,1,3,444,512,900,433,467,0,0,2:08:44.117743
256,1,9,464,1024,900,439,461,0,0,2:08:46.634646
128,1,0,0,2048,0,0,0,0,0,0:00:00
256,1,0,21,128,900,21,879,0,0,1:04:57.918100
256,1,3,304,256,900,293,607,0,0,1:52:26.626331
256,1,3,444,512,900,433,467,0,0,2:08:44.117743
256,1,9,464,1024,900,439,461,0,0,2:08:46.634646
256,1,9,464,2048,900,439,461,0,0,2:08:17.288349
128,1,0,0,2048,0,0,0,0,0,0:00:00
256,1,0,21,128,900,21,879,0,0,1:04:57.918100
256,1,3,304,256,900,293,607,0,0,1:52:26.626331
256,1,3,444,512,900,433,467,0,0,2:08:44.117743
256,1,9,464,1024,900,439,461,0,0,2:08:46.634646
256,1,9,464,2048,900,439,461,0,0,2:08:17.288349
512,1,1,27,128,900,26,874,0,0,1:00:18.789239
128,1,0,0,2048,0,0,0,0,0,0:00:00
256,1,0,21,128,900,21,879,0,0,1:04:57.918100
256,1,3,304,256,900,293,607,0,0,1:52:26.626331
256,1,3,444,512,900,433,467,0,0,2:08:44.117743
256,1,9,464,1024,900,439,461,0,0,2:08:46.634646
256,1,9,464,2048,900,439,461,0,0,2:08:17.288349
512,1,1,27,128,900,26,874,0,0,1:00:18.789239
512,1,1,264,256,900,263,637,0,0,1:48:41.543745
128,1,0,0,2048,0,0,0,0,0,0:00:00
256,1,0,21,128,900,21,879,0,0,1:04:57.918100
256,1,3,304,256,900,293,607,0,0,1:52:26.626331
256,1,3,444,512,900,433,467,0,0,2:08:44.117743
256,1,9,464,1024,900,439,461,0,0,2:08:46.634646
256,1,9,464,2048,900,439,461,0,0,2:08:17.288349
512,1,1,27,128,900,26,874,0,0,1:00:18.789239
512,1,1,264,256,900,263,637,0,0,1:48:41.543745
512,1,8,507,512,900,480,420,0,0,2:06:43.986024
128,1,0,0,2048,0,0,0,0,0,0:00:00
256,1,0,21,128,900,21,879,0,0,1:04:57.918100
256,1,3,304,256,900,293,607,0,0,1:52:26.626331
256,1,3,444,512,900,433,467,0,0,2:08:44.117743
256,1,9,464,1024,900,439,461,0,0,2:08:46.634646
256,1,9,464,2048,900,439,461,0,0,2:08:17.288349
512,1,1,27,128,900,26,874,0,0,1:00:18.789239
512,1,1,264,256,900,263,637,0,0,1:48:41.543745
512,1,8,507,512,900,480,420,0,0,2:06:43.986024
512,1,21,571,1024,900,493,407,0,0,2:10:20.432402
128,1,0,0,2048,0,0,0,0,0,0:00:00
256,1,0,21,128,900,21,879,0,0,1:04:57.918100
256,1,3,304,256,900,293,607,0,0,1:52:26.626331
256,1,3,444,512,900,433,467,0,0,2:08:44.117743
256,1,9,464,1024,900,439,461,0,0,2:08:46.634646
256,1,9,464,2048,900,439,461,0,0,2:08:17.288349
512,1,1,27,128,900,26,874,0,0,1:00:18.789239
512,1,1,264,256,900,263,637,0,0,1:48:41.543745
512,1,8,507,512,900,480,420,0,0,2:06:43.986024
512,1,21,571,1024,900,493,407,0,0,2:10:20.432402
512,1,27,602,2048,900,499,401,0,0,2:11:11.372996
128,1,0,0,2048,0,0,0,0,0,0:00:00
256,1,0,21,128,900,21,879,0,0,1:04:57.918100
256,1,3,304,256,900,293,607,0,0,1:52:26.626331
256,1,3,444,512,900,433,467,0,0,2:08:44.117743
256,1,9,464,1024,900,439,461,0,0,2:08:46.634646
256,1,9,464,2048,900,439,461,0,0,2:08:17.288349
512,1,1,27,128,900,26,874,0,0,1:00:18.789239
512,1,1,264,256,900,263,637,0,0,1:48:41.543745
512,1,8,507,512,900,480,420,0,0,2:06:43.986024
512,1,21,571,1024,900,493,407,0,0,2:10:20.432402
512,1,27,602,2048,900,499,401,0,0,2:11:11.372996
