chunk_size,max_tokens,questions_num,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,substring_date,elapsed_time
128,128,1,0.30585806872023025,0.1725074186133616,0.2226413755413216,0.2863843939085424,0.7088545262813568,0.4583956531502984,0.545962162993171,0.6137202117930759,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 00:52:18.465024
128,256,1,0.4515886047375864,0.24376421419322353,0.2959757960045615,0.39553493969643927,0.6543664906947118,0.6265474284454337,0.6344721733399157,0.7600089463422883,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 01:34:41.158787
128,512,1,0.4216969633505886,0.2218420914660486,0.2732904704851825,0.3687323348633501,0.6338671728683885,0.6251546827376269,0.6249462313902606,0.7522597779893572,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 01:49:57.097219
128,1024,1,0.4151864261563657,0.2165902128608559,0.2686965227874966,0.3631809108198486,0.6292470280522634,0.6195891457397524,0.6200094150554808,0.7432188679291485,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 01:51:50.545955
128,2048,1,0.4260391481507692,0.22091851268595858,0.27649755359356915,0.37058757184433355,0.6282817599950014,0.6235526621972443,0.6240766370107257,0.7446055342911413,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days
256,128,1,0.26859211218164336,0.17831598639481472,0.20184805766683978,0.24850027805531602,0.7560046088127863,0.4798620073568253,0.5830275175117311,0.6577481159142086,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 01:04:57.918100
256,256,1,0.4637219163613213,0.2465799667526003,0.28606281316904175,0.4191168289714372,0.7026204106054807,0.5785434150480127,0.6304077106086832,0.7427175256766771,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 01:52:26.626331
256,512,1,0.47433130412731483,0.2428267649220207,0.2834132680900922,0.4253340601194616,0.6899649669323955,0.5920231744042925,0.6336531299460042,0.754849889063956,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 02:08:44.117743
256,1024,1,0.4695808742022759,0.23831162592330513,0.2791202467049793,0.4215606860336919,0.6868217500119373,0.5885003938435994,0.6303810552404873,0.7515987290294263,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 02:08:46.634646
256,2048,1,0.4695808742022759,0.23831162592330513,0.2791202467049793,0.4215606860336919,0.6868217500119373,0.5885003938435994,0.6303810552404873,0.7515987290294263,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 02:08:17.288349
512,128,1,0.14710494439344735,0.09298699270764191,0.10591919768895836,0.14231965915814632,0.6968455601621557,0.39478702125725923,0.49989216636728356,0.46424710460835034,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 01:00:18.789239
512,256,1,0.3430930171094396,0.17672232105897553,0.20790486232419314,0.3184301145939469,0.7046325120962027,0.5290511117288561,0.6021635549312289,0.6413449537093666,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 01:48:41.543745
512,512,1,0.37872126960170466,0.1883436296665783,0.2213268828293516,0.3485697386057712,0.6996716208006504,0.5437715696630158,0.6085898773322209,0.6512422687585302,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 02:06:43.986024
512,1024,1,0.3632411721861548,0.17973089162033923,0.2128120374646657,0.3349409350008134,0.6957926308106624,0.5348876735322738,0.6014398797015592,0.6376583361708691,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 02:10:20.432402
512,2048,1,0.35973049257795037,0.17557150218059758,0.20950085783468136,0.33153053301447455,0.6913414114832482,0.531726998422431,0.5978710303373908,0.6309555471210316,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 02:11:11.372996
1024,128,1,0.06367499191093606,0.033659176112415666,0.04727977435429284,0.062205844016714716,0.575878843665123,0.34675875306129456,0.42978760600090027,0.4285450875759125,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 00:52:54.483740
1024,256,1,0.1766959383217404,0.08156061877990027,0.10272399462303808,0.16503336030497873,0.6111311092972755,0.4568447405472398,0.5196903767064214,0.5541739598847926,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 01:37:44.221878
1024,512,1,0.20435467782949124,0.08881910920058067,0.114035722012002,0.1913802566209718,0.6005148210308768,0.4701426140286706,0.5248419393192638,0.5241769488562237,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 01:58:07.754586
1024,1024,1,0.18626063438411605,0.08104006155859338,0.1059510444471165,0.17433751713122325,0.5961568777437334,0.4601318296286967,0.5170940211066952,0.4747872302284488,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 02:01:20.539047
1024,2048,1,0.1889835852375163,0.08000210553304737,0.10811110083139697,0.1772287491448709,0.5972966071098081,0.4648284668563515,0.5208449735436388,0.49257417055227426,NEW_RUNS_LMForge_RUN04_Lab_Machine,0 days 02:03:46.961060
