chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,1,4,68,128,900,64,836,0,0,1:19:09.837537
128,1,4,68,128,900,64,836,0,0,1:19:09.837537
128,1,20,166,256,900,121,779,0,0,2:28:13.474969
128,1,4,68,128,900,64,836,0,0,1:19:09.837537
128,1,20,166,256,900,121,779,0,0,2:28:13.474969
128,1,31,226,512,900,134,766,14,4,4:41:52.196075
128,1,4,68,128,900,64,836,0,0,1:19:09.837537
128,1,20,166,256,900,121,779,0,0,2:28:13.474969
128,1,31,226,512,900,134,766,14,4,4:41:52.196075
128,1,36,256,1024,900,139,761,14,4,9:09:44.172552
128,1,4,68,128,900,64,836,0,0,1:19:09.837537
128,1,20,166,256,900,121,779,0,0,2:28:13.474969
128,1,31,226,512,900,134,766,14,4,4:41:52.196075
128,1,36,256,1024,900,139,761,14,4,9:09:44.172552
128,1,36,256,2048,900,139,761,14,4,18:10:06.540523
128,1,4,68,128,900,64,836,0,0,1:19:09.837537
128,1,20,166,256,900,121,779,0,0,2:28:13.474969
128,1,31,226,512,900,134,766,14,4,4:41:52.196075
128,1,36,256,1024,900,139,761,14,4,9:09:44.172552
128,1,36,256,2048,900,139,761,14,4,18:10:06.540523
256,1,3,80,128,900,76,824,0,0,1:10:35.140087
128,1,4,68,128,900,64,836,0,0,1:19:09.837537
128,1,20,166,256,900,121,779,0,0,2:28:13.474969
128,1,31,226,512,900,134,766,14,4,4:41:52.196075
128,1,36,256,1024,900,139,761,14,4,9:09:44.172552
128,1,36,256,2048,900,139,761,14,4,18:10:06.540523
256,1,3,80,128,900,76,824,0,0,1:10:35.140087
256,1,9,156,256,900,134,766,0,0,2:09:17.287538
128,1,4,68,128,900,64,836,0,0,1:19:09.837537
128,1,20,166,256,900,121,779,0,0,2:28:13.474969
128,1,31,226,512,900,134,766,14,4,4:41:52.196075
128,1,36,256,1024,900,139,761,14,4,9:09:44.172552
128,1,36,256,2048,900,139,761,14,4,18:10:06.540523
