chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,0,4,68,128,900,64,836,0,0,0
128,0,20,166,256,900,121,779,0,0,0
128,0,31,226,512,900,134,766,14,4,0
128,0,36,256,1024,900,139,761,14,4,0
128,0,36,256,2048,900,139,761,14,4,0
256,0,3,80,128,900,76,824,0,0,0
256,0,9,156,256,900,134,766,0,0,0
256,0,25,258,512,900,161,739,13,4,0
256,0,30,290,1024,900,166,734,13,4,0
256,0,33,316,2048,900,169,731,13,4,0
512,0,1,61,128,900,60,840,0,0,0
512,0,9,121,256,900,107,793,0,0,0
512,0,33,233,512,900,145,755,0,0,0
512,0,41,291,1024,900,155,745,0,0,0
512,0,45,326,2048,900,160,740,0,2,0
1024,0,0,38,128,808,38,770,0,0,0
1024,0,8,84,256,808,66,742,4,0,0
1024,0,24,160,512,808,86,722,4,0,0
1024,0,42,262,1024,808,105,703,4,0,0
1024,0,48,326,2048,808,111,697,4,0,0
