chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,1,22,265,128,900,241,659,0,0,1:03:42.680877
128,1,279,1158,256,900,751,149,0,0,1:31:04.202295
128,1,402,1572,512,900,879,21,0,0,1:38:10.800731
128,1,413,1613,1024,900,890,10,0,0,1:38:50.146590
128,1,413,1613,2048,900,890,10,0,0,1:38:49.884714
256,1,12,102,128,900,89,811,0,0,1:07:33.723575
256,1,202,752,256,900,481,419,0,0,1:55:05.551608
256,1,561,2051,512,900,859,41,0,0,2:20:33.615925
256,1,595,2252,1024,900,893,7,0,0,2:24:13.543369
256,1,597,2270,2048,900,895,5,0,0,2:24:13.072006
512,1,7,68,128,900,61,839,0,0,1:10:22.129947
512,1,106,427,256,900,274,626,0,0,2:08:45.335588
512,1,531,1971,512,900,725,175,0,0,3:09:21.818150
512,1,678,2864,1024,900,874,26,0,0,3:25:33.519104
512,1,685,2933,2048,900,881,19,0,0,3:29:11.963369
1024,1,8,54,128,808,46,762,0,0,1:07:55.068944
1024,1,90,325,256,808,212,596,0,0,2:04:21.336359
1024,1,421,1548,512,808,567,241,1,0,3:12:08.165931
1024,1,621,2674,1024,808,768,40,1,0,3:38:59.225626
1024,1,637,2864,2048,808,784,24,1,0,3:44:30.938654
