chunk_size,max_tokens,questions_num,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,substring_date,elapsed_time
128,128,1,0.46192152914136775,0.3425419887798178,0.3846931426885262,0.4322841433287824,0.7880059243373151,0.5652659073190869,0.6514613834192168,0.7237801737942786,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 01:03:42.680877
128,256,1,0.4633691522415185,0.34787589440783734,0.3793421039457801,0.43339643070516387,0.785774972643671,0.5846193427918077,0.6633426910443215,0.7206815511039708,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 01:31:04.202295
128,512,1,0.44146651318309027,0.3222795377672603,0.35718315563986414,0.4123653584254002,0.7703597663164745,0.5725846744827339,0.650227225463809,0.7026117438682694,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 01:38:10.800731
128,1024,1,0.43845742872195115,0.3168945170351928,0.3536027872339781,0.4088054580760946,0.7655095437706736,0.5710243664945199,0.6474299130976311,0.7001145566130601,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 01:38:50.146590
128,2048,1,0.43845742872195115,0.3168945170351928,0.3536027872339781,0.4088054580760946,0.7655095437706736,0.5710243664945199,0.6474299130976311,0.7001145566130601,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 01:38:49.884714
256,128,1,0.25016159020987694,0.1845629360258432,0.20744656749508622,0.24075258430897284,0.7706668195771236,0.4595296637100332,0.571266344949311,0.6400710507935169,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 01:07:33.723575
256,256,1,0.34659640356746046,0.25995106976840165,0.2839837135853449,0.33043460248519024,0.7816977336447923,0.5183461832992257,0.617853281860973,0.6785256007606996,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 01:55:05.551608
256,512,1,0.31932329709551743,0.2403726822416412,0.26366031725486794,0.304774671037588,0.7812893286616206,0.5095617636522394,0.6121351273030202,0.6549651922866055,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 02:20:33.615925
256,1024,1,0.314650638227999,0.23200039044407803,0.2576655582005924,0.3000360632690289,0.7722144079912407,0.5064010185125031,0.6070864700032381,0.6484776901951321,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 02:24:13.543369
256,2048,1,0.3142671385761201,0.23072479614272842,0.2566092592024908,0.2992657331784651,0.7709027302816576,0.5058837224011379,0.6063150719989764,0.6473732648228627,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 02:24:13.072006
512,128,1,0.12236726559763193,0.0869399994735639,0.1002774037042315,0.11862255419267059,0.7222953912089852,0.4030236724544974,0.5146189608118114,0.5379484227365431,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 01:10:22.129947
512,256,1,0.1894424086581486,0.1362377398961003,0.15203377371368804,0.1824187321053018,0.7377060820682266,0.4406621949594529,0.5476436624063541,0.571490795196708,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 02:08:45.335588
512,512,1,0.20043174574744244,0.15192236562844563,0.16554770590622356,0.19349848255967594,0.7582429827983339,0.4559341834273089,0.5661015448036198,0.5762965390444528,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 03:09:21.818150
512,1024,1,0.19338549701253066,0.14430992316664235,0.15878489763528106,0.18643866540849413,0.7536696114853108,0.45023949920881395,0.5603211898169371,0.5640564247420807,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 03:25:33.519104
512,2048,1,0.1929943178167125,0.14305414512749562,0.1579540450251643,0.18623230997678092,0.7515202352019491,0.4497862715760555,0.5593700327088391,0.560975511329413,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 03:29:11.963369
1024,128,1,0.07141120311395624,0.04700547879536736,0.057070186949323545,0.06891556589468151,0.6578679713937972,0.3899997279599861,0.4859722411191022,0.5263284126089679,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 01:07:55.068944
1024,256,1,0.11082196066231265,0.0828120203655112,0.09188730385416978,0.10829773955043365,0.6877399922334231,0.4392857549740718,0.5325388771754045,0.5534393135400919,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 02:04:21.336359
1024,512,1,0.11452927186946246,0.0881902461800861,0.0961279001143853,0.1117806392834294,0.6930763165656603,0.4438809572456727,0.5377339878208569,0.5296309654458332,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 03:12:08.165931
1024,1024,1,0.11762754791476225,0.09130238414553934,0.09937079220254588,0.11479319805177833,0.6900117040884165,0.4452058181400699,0.5378929888223567,0.5229735967346865,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 03:38:59.225626
1024,2048,1,0.1159897646629325,0.08937871191835864,0.09769871646062923,0.11314752015439022,0.6874461815427135,0.44379570090092263,0.5360454683759193,0.5173478245222356,NEW_RUNS_LMForge_RUN03_Lab_Machine,0 days 03:44:30.938654
