,sum_sq,df,F,PR(>F),DV
Intercept,1.3612051085869914,1.0,91.63944924522589,1.0748983910112081e-14,rouge1
C(group),0.09571578801737388,3.0,2.1479354440297116,0.10114676785904156,rouge1
Residual,1.1288979703029023,76.0,,,rouge1
Intercept,0.7431481464037353,1.0,110.85774123518142,1.6719882323919008e-16,rouge2
C(group),0.01694840018080822,3.0,0.8427486814872566,0.47468922140369496,rouge2
Residual,0.5094751029327289,76.0,,,rouge2
Intercept,0.913585515947522,1.0,102.5764738369374,9.50722931208183e-16,rougeL
C(group),0.02118804732953886,3.0,0.7929909660400373,0.501541091084517,rougeL
Residual,0.6768852214825238,76.0,,,rougeL
Intercept,1.2276339086561043,1.0,100.28545114305315,1.5601278956076966e-15,rougeLsum
C(group),0.057168791303275714,3.0,1.5567067637800405,0.20684714581286232,rougeLsum
Residual,0.9303460870388367,76.0,,,rougeLsum
Intercept,11.087849393326222,1.0,6686.060222000388,7.769785340955924e-76,bert_score_P
C(group),0.0977110507073303,3.0,19.64017686415566,1.590944026993843e-09,bert_score_P
Residual,0.12603484352713087,76.0,,,bert_score_P
Intercept,4.729807088908621,1.0,1331.956990971908,6.256866743929402e-50,bert_score_R
C(group),0.0713206672900393,3.0,6.694851016969573,0.0004534313302403318,bert_score_R
Residual,0.26987758703436737,76.0,,,bert_score_R
Intercept,6.789371516350289,1.0,2953.781257998098,1.3892042364210502e-62,bert_score_F1
C(group),0.0477041656287932,3.0,6.918051743249478,0.00035230257363361373,bert_score_F1
Residual,0.17468870920805138,76.0,,,bert_score_F1
Intercept,7.536485904440232,1.0,1261.4588525911015,4.4129979944557164e-49,sts_score
C(group),0.1884968008393868,3.0,10.516880197611023,7.2905963575253116e-06,sts_score
Residual,0.4540559746050793,76.0,,,sts_score
