,sum_sq,df,F,PR(>F),DV,Chunk Size
Intercept,1.0068128553940439,1.0,887.7712916266441,1.9100070856604097e-15,rouge1,128
C(group),0.02184889139067693,3.0,6.42185500731085,0.004626863187416369,rouge1,128
Residual,0.01814544560997069,16.0,,,rouge1,128
Intercept,0.5421835293163565,1.0,894.353077678455,1.8021846558971873e-15,rouge2,128
C(group),0.035866936755941256,3.0,19.72130809347995,1.2672085126615335e-05,rouge2,128
Residual,0.009699677549698764,16.0,,,rouge2,128
Intercept,0.6686268477450987,1.0,1286.81482794816,1.0218348526169379e-16,rougeL,128
C(group),0.03467317200416045,3.0,22.243573784800834,5.945425528528106e-06,rougeL,128
Residual,0.008313573430747376,16.0,,,rougeL,128
Intercept,0.8783555254264863,1.0,1139.4042282619441,2.672247575014517e-16,rougeLsum,128
C(group),0.019794248821592503,3.0,8.559044012632036,0.0012779397151907403,rougeLsum,128
Residual,0.01233424280710401,16.0,,,rougeLsum,128
Intercept,3.003372618904218,1.0,6293.149875691765,3.3634252787169525e-22,bert_score_P,128
C(group),0.04992745525320619,3.0,34.87201430847399,3.0061486423461717e-07,bert_score_P,128
Residual,0.007635915694314403,16.0,,,bert_score_P,128
Intercept,1.6410934279278426,1.0,1116.9237145660375,3.1274954757743166e-16,bert_score_R,128
C(group),0.022470640406838514,3.0,5.097818873841574,0.011503742949430946,bert_score_R,128
Residual,0.023508762957054237,16.0,,,bert_score_R,128
Intercept,2.1253780308345864,1.0,4607.7973789575335,4.0433104505374606e-21,bert_score_F1,128
C(group),0.019356020586513645,3.0,13.98788350929479,9.773725684188792e-05,bert_score_F1,128
Residual,0.007380109344358128,16.0,,,bert_score_F1,128
Intercept,2.5166711216423288,1.0,2100.2259011173123,2.1039075066965958e-18,sts_score,128
C(group),0.058464485194780605,3.0,16.263365396407522,4.0791424787755037e-05,sts_score,128
Residual,0.019172574685825703,16.0,,,sts_score,128
Intercept,0.47740442382454346,1.0,175.55284571347374,4.836319727917406e-10,rouge1,256
C(group),0.06526333350474642,3.0,7.999621387195528,0.0017559686793091425,rouge1,256
Residual,0.043510948228431025,16.0,,,rouge1,256
Intercept,0.263402602955002,1.0,309.93287164651565,6.772135632322742e-12,rouge2,256
C(group),0.005415040502404441,3.0,2.1238704985755326,0.13733030514323452,rouge2,256
Residual,0.013597917590640992,16.0,,,rouge2,256
Intercept,0.32225771173453505,1.0,336.4492793349435,3.616039635756845e-12,rougeL,256
C(group),0.007051624027830583,3.0,2.4540543545460776,0.10071994184303606,rougeL,256
Residual,0.015325113484994312,16.0,,,rougeL,256
Intercept,0.43528056992747005,1.0,201.42205510498783,1.7471480723149252e-10,rougeLsum,256
C(group),0.040053584529751496,3.0,6.178141845115512,0.005431562297128485,rougeLsum,256
Residual,0.0345765964666054,16.0,,,rougeLsum,256
Intercept,3.005870708544952,1.0,8937.296384338428,2.0442782236588456e-23,bert_score_P,256
C(group),0.018369827438058726,3.0,18.20621579812347,2.0714572954629425e-05,bert_score_P,256
Residual,0.005381261767372765,16.0,,,bert_score_P,256
Intercept,1.2497223669928685,1.0,1469.992127467823,3.564633577554153e-17,bert_score_R,256
C(group),0.030918546256017518,3.0,12.122697752584072,0.0002163076637312743,bert_score_R,256
Residual,0.013602493168674188,16.0,,,bert_score_R,256
Intercept,1.8176305167417877,1.0,5833.516321806943,6.160662770574282e-22,bert_score_F1,256
C(group),0.017287981043802227,3.0,18.49472315031486,1.8819818312015555e-05,bert_score_F1,256
Residual,0.004985344458393556,16.0,,,bert_score_F1,256
Intercept,2.137812009868368,1.0,3914.3222440619234,1.4839539418840195e-20,sts_score,256
C(group),0.08402227652318725,3.0,51.28144484068154,1.9819987406209818e-08,sts_score,256
Residual,0.00873842009553079,16.0,,,sts_score,256
Intercept,0.16150402473836523,1.0,50.70814557237793,2.4257169208212674e-06,rouge1,512
C(group),0.05615239421724565,3.0,5.876806650935122,0.0066516411632735525,rouge1,512
Residual,0.05095955228978935,16.0,,,rouge1,512
Intercept,0.0877717561791562,1.0,83.79281751610674,9.262039546569976e-08,rouge2,512
C(group),0.003850993213982848,3.0,1.225472314717342,0.3328459747961289,rouge2,512
Residual,0.01675976701220906,16.0,,,rouge2,512
Intercept,0.10792679318825667,1.0,89.22292759212417,6.036107818947625e-08,rougeL,512
C(group),0.0077241499000325195,3.0,2.1285146066222667,0.13672416260553028,rougeL,512
Residual,0.01935409134865169,16.0,,,rougeL,512
Intercept,0.1504108949860729,1.0,56.51712584064678,1.23042846642053e-06,rougeLsum,512
C(group),0.04224692842736451,3.0,5.291449511311977,0.010005465605242703,rougeLsum,512
Residual,0.04258132882699376,16.0,,,rougeLsum,512
Intercept,2.7727926013981476,1.0,15338.509214260706,2.7313175271738114e-25,bert_score_P,512
C(group),0.011135381842907705,3.0,20.53286842966272,9.855513189898678e-06,bert_score_P,512
Residual,0.0028923724595818667,16.0,,,bert_score_P,512
Intercept,0.967688348119457,1.0,728.0046070214142,9.070795472548696e-15,bert_score_R,512
C(group),0.01696045024178487,3.0,4.253189551219929,0.02175154273335596,bert_score_R,512
Residual,0.021267741193643133,16.0,,,bert_score_R,512
Intercept,1.5103616859035018,1.0,1826.2917399739467,6.380786452161569e-18,bert_score_F1,512
C(group),0.008548541623247545,3.0,3.445561219115375,0.04192958685769483,bert_score_F1,512
Residual,0.013232161349424254,16.0,,,bert_score_F1,512
Intercept,1.5800830048578216,1.0,914.011915031991,1.518788314691693e-15,sts_score,512
C(group),0.040691417424724756,3.0,7.846094213910287,0.0019202080099288898,sts_score,512
Residual,0.027659735788936934,16.0,,,sts_score,512
Intercept,0.05626053546510893,1.0,47.82131968261662,3.4772813946935e-06,rouge1,1024
C(group),0.014885795486598373,3.0,4.217630107319456,0.02236661726685286,rouge1,1024
Residual,0.018823582732890587,16.0,,,rouge1,1024
Intercept,0.031790558452150314,1.0,85.28967582034043,8.211923644252598e-08,rouge2,1024
C(group),0.004918434112515706,3.0,4.398493047671873,0.01942706701084236,rouge2,1024
Residual,0.005963780848526794,16.0,,,rouge2,1024
Intercept,0.039100191044706294,1.0,89.9669715550423,5.702127380829411e-08,rougeL,1024
C(group),0.004649245720729373,3.0,3.565869682759445,0.037905122574052916,rougeL,1024
Residual,0.006953696961251532,16.0,,,rougeL,1024
Intercept,0.05344428914868507,1.0,51.950312807784435,2.087660542351527e-06,rougeLsum,1024
C(group),0.01195404525300872,3.0,3.873294353830213,0.02943888628633137,rougeLsum,1024
Residual,0.016460124687657864,16.0,,,rougeLsum,1024
Intercept,2.334005459424152,1.0,16066.26118837267,1.885704804653331e-25,bert_score_P,1024
C(group),0.029089722151321374,3.0,66.74692670393718,2.898879025978286e-09,bert_score_P,1024
Residual,0.002324379450385928,16.0,,,bert_score_P,1024
Intercept,0.9349940567761412,1.0,982.5877756598574,8.59179405006273e-16,bert_score_R,1024
C(group),0.017855094561390943,3.0,6.254655674770071,0.005163171212665919,bert_score_R,1024
Residual,0.015225006130746871,16.0,,,bert_score_R,1024
Intercept,1.3835731153450466,1.0,2206.8034383774234,1.4198547721625674e-18,bert_score_F1,1024
C(group),0.01774850263483846,3.0,9.43630570398018,0.0007950114808143797,bert_score_F1,1024
Residual,0.010031328327908236,16.0,,,bert_score_F1,1024
Intercept,1.4042033352902867,1.0,1561.9726319833442,2.2040879881512742e-17,sts_score,1024
C(group),0.05480234823748899,3.0,20.319889093954398,1.0519606396428375e-05,sts_score,1024
Residual,0.014383896941981864,16.0,,,sts_score,1024
