Chunk Size,Dependent Variable,Model 1,Model 2,Mean Difference (M2 - M1)
128,rouge1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.04466056817886771
128,rouge1,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.0062221953209685155
128,rouge1,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.07422939076572865
128,rouge1,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.050882763499836225
128,rouge1,Phi-4-mini-instruct,gemma-7b-spark,-0.029568822586860943
128,rouge1,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.08045158608669717
128,rouge2,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.11417280104117056
128,rouge2,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,-0.028367954190037792
128,rouge2,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.05939299748123611
128,rouge2,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.08580484685113277
128,rouge2,Phi-4-mini-instruct,gemma-7b-spark,0.05477980355993445
128,rouge2,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.031025043291198318
128,rougeL,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.09826445166599912
128,rougeL,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.0038946062933479797
128,rougeL,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.04904903344013961
128,rougeL,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.1021590579593471
128,rougeL,Phi-4-mini-instruct,gemma-7b-spark,0.04921541822585951
128,rougeL,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.05294363973348759
128,rougeLsum,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.062247339495804355
128,rougeLsum,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.0010719423208442325
128,rougeLsum,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.06250982111029624
128,rougeLsum,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.06331928181664859
128,rougeLsum,Phi-4-mini-instruct,gemma-7b-spark,-0.0002624816144918829
128,rougeLsum,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.06358176343114047
128,bert_score_P,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.12410855458941727
128,bert_score_P,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,-0.00357366932537706
128,bert_score_P,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.04488071751045142
128,bert_score_P,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.12053488526404021
128,bert_score_P,Phi-4-mini-instruct,gemma-7b-spark,0.07922783707896586
128,bert_score_P,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.04130704818507436
128,bert_score_R,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.017744182937537434
128,bert_score_R,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.025925170704796496
128,bert_score_R,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.05976562619693793
128,bert_score_R,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.008180987767259063
128,bert_score_R,Phi-4-mini-instruct,gemma-7b-spark,-0.07750980913447536
128,bert_score_R,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.08569079690173442
128,bert_score_F1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.04208490126661113
128,bert_score_F1,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.018259443066816705
128,bert_score_F1,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.05900877450419184
128,bert_score_F1,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.060344344333427835
128,bert_score_F1,Phi-4-mini-instruct,gemma-7b-spark,-0.01692387323758071
128,bert_score_F1,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.07726821757100855
128,sts_score,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.013302151270474405
128,sts_score,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.04162263450865067
128,sts_score,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.1016310753592552
128,sts_score,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.028320483238176264
128,sts_score,Phi-4-mini-instruct,gemma-7b-spark,-0.1149332266297296
128,sts_score,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.14325370986790587
256,rouge1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.12016160267957154
256,rouge1,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.041638623285298326
256,rouge1,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.032526745564650905
256,rouge1,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,-0.07852297939427322
