Chunk Size,Model 1,Model 2,Pseudo-F,raw p-value,FDR (BH) p-value,Significant (FDR < 0.05)
128,gemma_7b_spark,Qwen2_5_7B_Instruct,20.07273659418729,0.004,0.024,True
128,gemma_7b_spark,Mistral_7B_Instruct_v0_3,19.11110533601592,0.011,0.024,True
128,gemma_7b_spark,Phi_4_mini_instruct,4.424963378498277,0.032,0.054857142857142854,False
128,Qwen2_5_7B_Instruct,Mistral_7B_Instruct_v0_3,5.637978505424044,0.009,0.024,True
128,Qwen2_5_7B_Instruct,Phi_4_mini_instruct,9.394661502067242,0.012,0.024,True
128,Mistral_7B_Instruct_v0_3,Phi_4_mini_instruct,7.972480301754635,0.013,0.024,True
256,gemma_7b_spark,Qwen2_5_7B_Instruct,19.356867536926142,0.009,0.024,True
256,gemma_7b_spark,Mistral_7B_Instruct_v0_3,6.556038956153352,0.011,0.024,True
256,gemma_7b_spark,Phi_4_mini_instruct,8.6029681598163,0.043,0.057333333333333326,False
256,Qwen2_5_7B_Instruct,Mistral_7B_Instruct_v0_3,5.820377469279563,0.011,0.024,True
256,Qwen2_5_7B_Instruct,Phi_4_mini_instruct,2.2701419447296383,0.113,0.12914285714285714,False
256,Mistral_7B_Instruct_v0_3,Phi_4_mini_instruct,5.050768790419423,0.043,0.057333333333333326,False
512,gemma_7b_spark,Qwen2_5_7B_Instruct,6.764271271866043,0.007,0.024,True
512,gemma_7b_spark,Mistral_7B_Instruct_v0_3,0.6656646720103918,0.44,0.44,False
512,gemma_7b_spark,Phi_4_mini_instruct,3.0803099907227773,0.123,0.13418181818181818,False
512,Qwen2_5_7B_Instruct,Mistral_7B_Instruct_v0_3,14.35798877140902,0.012,0.024,True
512,Qwen2_5_7B_Instruct,Phi_4_mini_instruct,2.4962751546181607,0.065,0.08210526315789474,False
512,Mistral_7B_Instruct_v0_3,Phi_4_mini_instruct,5.205563983038097,0.043,0.057333333333333326,False
1024,gemma_7b_spark,Qwen2_5_7B_Instruct,22.09222764457478,0.01,0.024,True
1024,gemma_7b_spark,Mistral_7B_Instruct_v0_3,2.6531732325596993,0.105,0.126,False
1024,gemma_7b_spark,Phi_4_mini_instruct,2.173701416183053,0.146,0.15234782608695652,False
1024,Qwen2_5_7B_Instruct,Mistral_7B_Instruct_v0_3,12.546389382743117,0.006,0.024,True
1024,Qwen2_5_7B_Instruct,Phi_4_mini_instruct,6.631079083387328,0.011,0.024,True
1024,Mistral_7B_Instruct_v0_3,Phi_4_mini_instruct,2.8132402457905297,0.04,0.057333333333333326,False
