Dependent Variable,Model 1,Model 2,Mean Difference
rouge1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.06801824565000619
rouge1,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.04035720706595364
rouge1,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.02097923399573956
rouge1,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,-0.027661038584052555
rouge1,Phi-4-mini-instruct,gemma-7b-spark,-0.08899747964574575
rouge1,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.0613364410616932
rouge2,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.02284232580954701
rouge2,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.010763578563809967
rouge2,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.022588777004599603
rouge2,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.033605904373356976
rouge2,Phi-4-mini-instruct,gemma-7b-spark,0.0002535488049474066
rouge2,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.03335235556840957
rougeL,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.008615514644419564
rougeL,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.028932303121614267
rougeL,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.012744831948171137
rougeL,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.03754781776603383
rougeL,Phi-4-mini-instruct,gemma-7b-spark,-0.004129317303751573
rougeL,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.041677135069785404
rougeLsum,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.050570174393480355
rougeLsum,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.035138583619231306
rougeLsum,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.01637542783225085
rougeLsum,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,-0.015431590774249049
rougeLsum,Phi-4-mini-instruct,gemma-7b-spark,-0.0669456022257312
rougeLsum,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.051514011451482156
bert_score_P,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.08226973905580315
bert_score_P,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.004963930581463272
bert_score_P,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.03639339388862628
bert_score_P,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.08723366963726642
bert_score_P,Phi-4-mini-instruct,gemma-7b-spark,0.04587634516717687
bert_score_P,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.04135732447008955
bert_score_R,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.039377247274405724
bert_score_R,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.04443204882461815
bert_score_R,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.028426575966253975
bert_score_R,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.005054801550212429
bert_score_R,Phi-4-mini-instruct,gemma-7b-spark,-0.0678038232406597
bert_score_R,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.07285862479087213
bert_score_F1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-0.003662693120788929
bert_score_F1,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.03498066078159434
bert_score_F1,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.03390906633799229
bert_score_F1,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.03864335390238327
bert_score_F1,Phi-4-mini-instruct,gemma-7b-spark,-0.03024637321720336
bert_score_F1,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.06888972711958663
sts_score,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.024741437388601795
sts_score,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,0.07360695106870774
sts_score,Mistral-7B-Instruct-v0.3,gemma-7b-spark,-0.06115940766104844
sts_score,Phi-4-mini-instruct,Qwen2.5-7B-Instruct,0.04886551368010594
sts_score,Phi-4-mini-instruct,gemma-7b-spark,-0.08590084504965023
sts_score,Qwen2.5-7B-Instruct,gemma-7b-spark,-0.13476635872975617
