chunk_size,max_tokens,rouge1,rouge2,rougeL,rougeLsum,bert_score_P,bert_score_R,bert_score_F1,sts_score,substring_date,model,model_key,lmforge_run,group
128,128,0.4246460050932867,0.3270617617752172,0.3651785775008918,0.4088720281001957,0.7654550263986868,0.5340133364148,0.62272559062523,0.6513875668101451,NEW_RUNS_LMForge_RUN01_Lab_Machine,gemma-7b-spark,gemma_7b_spark,NEW_RUNS_LMForge_RUN01_Lab_Machine,gemma_7b_spark
256,128,0.2159669978803813,0.1207906362837009,0.1584057987073044,0.2055709264109876,0.6895929712802171,0.4236138258129358,0.5193045532330871,0.5489196216803975,NEW_RUNS_LMForge_RUN01_Lab_Machine,gemma-7b-spark,gemma_7b_spark,NEW_RUNS_LMForge_RUN01_Lab_Machine,gemma_7b_spark
1024,128,0.0744149917751225,0.0471485229588511,0.0618740766819116,0.0731114641955112,0.6296229001722837,0.3911336142765848,0.4800782560517913,0.450645768034615,NEW_RUNS_LMForge_RUN01_Lab_Machine,gemma-7b-spark,gemma_7b_spark,NEW_RUNS_LMForge_RUN01_Lab_Machine,gemma_7b_spark
128,128,0.4499267082597792,0.3009872602798595,0.3654078886668753,0.4165577501074533,0.7736744838953018,0.593960728764534,0.6681206246614456,0.7499110251069069,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2.5-7B-Instruct,Qwen2_5_7B_Instruct,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2_5_7B_Instruct
128,256,0.4579425672962393,0.2924968002002528,0.3705832671536616,0.4212015852098466,0.7659695240331807,0.6050579836291652,0.672512570589674,0.7589213244857327,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2.5-7B-Instruct,Qwen2_5_7B_Instruct,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2_5_7B_Instruct
128,512,0.4546069171683887,0.296095954227301,0.3648498841290709,0.4191939883183762,0.7678773178244537,0.6022149433504861,0.6709894235404033,0.759302327767858,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2.5-7B-Instruct,Qwen2_5_7B_Instruct,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2_5_7B_Instruct
128,1024,0.448555203843973,0.3017202037141569,0.3693309787389329,0.4137494154565612,0.775776033843314,0.5915688398209485,0.6664955384664603,0.7368625818745239,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2.5-7B-Instruct,Qwen2_5_7B_Instruct,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2_5_7B_Instruct
128,2048,0.4637516320463413,0.3133464656535417,0.3777249895203259,0.4303138211235199,0.7739940446156722,0.6013420155415168,0.6730701841987097,0.7504184953008707,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2.5-7B-Instruct,Qwen2_5_7B_Instruct,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2_5_7B_Instruct
1024,256,0.1658315091076739,0.111654997386598,0.1302303605572881,0.1594409068335237,0.6996900196214324,0.4992706503682924,0.580509504068245,0.6280024766343312,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2.5-7B-Instruct,Qwen2_5_7B_Instruct,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2_5_7B_Instruct
1024,512,0.1666014652877079,0.1181290606220072,0.1315984963621088,0.1604222198820833,0.7014132482310136,0.5011342115700245,0.5823571796218554,0.6210230182856321,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2.5-7B-Instruct,Qwen2_5_7B_Instruct,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2_5_7B_Instruct
1024,1024,0.1646265416979948,0.1129517058743939,0.1269127043512641,0.1573442148230439,0.6950221771160058,0.4911080619930166,0.5724140941041761,0.6076271556383741,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2.5-7B-Instruct,Qwen2_5_7B_Instruct,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2_5_7B_Instruct
1024,2048,0.180161317207716,0.1265724707567611,0.1419999611579043,0.1737677257954224,0.6874263303017053,0.5080336482506099,0.5823217508361096,0.6420572353160288,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2.5-7B-Instruct,Qwen2_5_7B_Instruct,NEW_RUNS_LMForge_RUN02_Lab_Machine,Qwen2_5_7B_Instruct
128,128,0.4619215291413677,0.3425419887798178,0.3846931426885262,0.4322841433287824,0.7880059243373151,0.5652659073190869,0.6514613834192168,0.7237801737942786,NEW_RUNS_LMForge_RUN03_Lab_Machine,Mistral-7B-Instruct-v0.3,Mistral_7B_Instruct_v0_3,NEW_RUNS_LMForge_RUN03_Lab_Machine,Mistral_7B_Instruct_v0_3
1024,128,0.0714112031139562,0.0470054787953673,0.0570701869493235,0.0689155658946815,0.6578679713937972,0.3899997279599861,0.4859722411191022,0.5263284126089679,NEW_RUNS_LMForge_RUN03_Lab_Machine,Mistral-7B-Instruct-v0.3,Mistral_7B_Instruct_v0_3,NEW_RUNS_LMForge_RUN03_Lab_Machine,Mistral_7B_Instruct_v0_3
128,128,0.3058580687202302,0.1725074186133616,0.2226413755413216,0.2863843939085424,0.7088545262813568,0.4583956531502984,0.545962162993171,0.6137202117930759,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
128,256,0.4515886047375864,0.2437642141932235,0.2959757960045615,0.3955349396964392,0.6543664906947118,0.6265474284454337,0.6344721733399157,0.7600089463422883,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
128,512,0.4216969633505886,0.2218420914660486,0.2732904704851825,0.3687323348633501,0.6338671728683885,0.6251546827376269,0.6249462313902606,0.7522597779893572,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
128,1024,0.4151864261563657,0.2165902128608559,0.2686965227874966,0.3631809108198486,0.6292470280522634,0.6195891457397524,0.6200094150554808,0.7432188679291485,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
128,2048,0.4260391481507692,0.2209185126859585,0.2764975535935691,0.3705875718443335,0.6282817599950014,0.6235526621972443,0.6240766370107257,0.7446055342911413,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
256,256,0.4637219163613213,0.2465799667526003,0.2860628131690417,0.4191168289714372,0.7026204106054807,0.5785434150480127,0.6304077106086832,0.7427175256766771,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
256,512,0.4743313041273148,0.2428267649220207,0.2834132680900922,0.4253340601194616,0.6899649669323955,0.5920231744042925,0.6336531299460042,0.754849889063956,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi-4-mini-instruct,Phi_4_mini_instruct,NEW_RUNS_LMForge_RUN04_Lab_Machine,Phi_4_mini_instruct
