Outcome,Model 1,Model 2,t-statistic,raw p-value,FDR (BH) p-value,Significant (FDR < 0.05)
rouge1,gemma-7b-spark,Qwen2.5-7B-Instruct,-1.7509764026593049,0.0880879594663071,0.1986070426734847,False
rouge1,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-0.5446174323299899,0.5893952613632553,0.7444992775114804,False
rouge1,gemma-7b-spark,Phi-4-mini-instruct,-2.4009401143037064,0.021540323547760604,0.06512014182510457,False
rouge1,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,1.0099516714450112,0.31907044268640555,0.4940445564176602,False
rouge1,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,-0.7173410743418933,0.4775929376941649,0.6195800272789166,False
rouge1,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-1.6288846230594136,0.11163370949589269,0.22326741899178537,False
rouge2,gemma-7b-spark,Qwen2.5-7B-Instruct,-1.3541801905824389,0.18374132063444307,0.29569593122510424,False
rouge2,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-0.7837859380917631,0.43822558624706276,0.5843007816627503,False
rouge2,gemma-7b-spark,Phi-4-mini-instruct,0.010671824577548922,0.9915427342090024,0.9915427342090024,False
rouge2,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,0.38632833216547857,0.7015869592056951,0.7831668381831015,False
rouge2,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,1.4879096742900366,0.14508277371308348,0.2678451207010772,False
rouge2,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.8430526073263028,0.4051631006644968,0.5719949656439954,False
rougeL,gemma-7b-spark,Qwen2.5-7B-Instruct,-1.4245033424518945,0.1624726165090404,0.28884020712718295,False
rougeL,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-0.3982078749890298,0.6927895208507631,0.7831668381831015,False
rougeL,gemma-7b-spark,Phi-4-mini-instruct,-0.15325235497202772,0.8790252486631869,0.8977279135283611,False
rougeL,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,0.890639002579695,0.37886914168208286,0.5510823879012114,False
rougeL,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,1.3647648993523078,0.18058922620425666,0.29569593122510424,False
rougeL,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.28323247985767314,0.7786951296587931,0.8494855959914106,False
rougeLsum,gemma-7b-spark,Qwen2.5-7B-Instruct,-1.5918974596225182,0.11971123755460344,0.2298455761048386,False
rougeLsum,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-0.4560722172328821,0.6510652603083928,0.7831668381831015,False
rougeLsum,gemma-7b-spark,Phi-4-mini-instruct,-2.0089118298332638,0.051763271461991736,0.1380353905653113,False
rougeLsum,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,0.9607128710483932,0.34296751712895235,0.5144512756934285,False
rougeLsum,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,-0.4532657580715874,0.6529428286176066,0.7831668381831015,False
rougeLsum,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-1.351013602415417,0.18480995701569014,0.29569593122510424,False
bert_score_P,gemma-7b-spark,Qwen2.5-7B-Instruct,-3.6409864460719703,0.0008207744682771922,0.006566195746217538,True
bert_score_P,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-2.933580424456798,0.0056578052961820165,0.022631221184728066,True
bert_score_P,gemma-7b-spark,Phi-4-mini-instruct,3.276301053817915,0.0023416205958242354,0.013574857312694233,True
bert_score_P,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,0.4262790728239686,0.6723902780056119,0.7831668381831015,False
bert_score_P,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,6.54272501226853,1.8976528188553935e-07,4.554366765252945e-06,True
bert_score_P,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,5.779219897936998,1.3179232848391713e-06,2.0660245057168224e-05,True
bert_score_R,gemma-7b-spark,Qwen2.5-7B-Instruct,-5.2161555457867,6.858290133787353e-06,6.58395852843586e-05,True
bert_score_R,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-1.716610624020851,0.09516587461437809,0.1986070426734847,False
bert_score_R,gemma-7b-spark,Phi-4-mini-instruct,-3.307581941522451,0.0025452857461301685,0.013574857312694233,True
bert_score_R,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,2.609256307600357,0.01321288941250843,0.048786053215415744,True
bert_score_R,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,0.2420866016994523,0.8103603259480827,0.8643843476779549,False
bert_score_R,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,-1.7349960867887466,0.09149735273251837,0.1986070426734847,False
bert_score_F1,gemma-7b-spark,Qwen2.5-7B-Instruct,-5.65013376191948,1.721687088097352e-06,2.0660245057168224e-05,True
bert_score_F1,gemma-7b-spark,Mistral-7B-Instruct-v0.3,-2.312904043127346,0.026729258751949366,0.07547084824079821,False
bert_score_F1,gemma-7b-spark,Phi-4-mini-instruct,-1.920687613920478,0.0634365835605779,0.1602608426793547,False
bert_score_F1,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,2.40408273306801,0.02170671394170152,0.06512014182510457,False
bert_score_F1,Qwen2.5-7B-Instruct,Phi-4-mini-instruct,2.4700054343854054,0.018917531201286766,0.06486010697584034,False
