,sum_sq,df,F,PR(>F),DV
Intercept,0.05626053546510919,1.0,78.98319052501296,1.3809209256370398e-07,rouge1
group,0.34077673083506704,3.0,159.4701818099432,3.957919317750992e-12,rouge1
Residual,0.01139696385342493,16.0,,,rouge1
Intercept,0.03179055845215047,1.0,63.21110979861863,6.009496083995579e-07,rouge2
group,0.18200030049892862,3.0,120.62743928133317,3.3831662429237375e-11,rouge2
Residual,0.008046828110673723,16.0,,,rouge2
Intercept,0.039100191044706474,1.0,76.63645870634257,1.690681840184658e-07,rougeL
group,0.22432602776507315,3.0,146.55983260984894,7.591810850387495e-12,rougeL
Residual,0.008163256330939096,16.0,,,rougeL
Intercept,0.053444289148685306,1.0,83.00626715794208,9.873868567780367e-08,rougeLsum
group,0.2898573708326073,3.0,150.06267114336418,6.3283448516555625e-12,rougeLsum
Residual,0.010301735708122947,16.0,,,rougeLsum
Intercept,2.3340054594241564,1.0,16239.507746278274,1.7307894251269875e-25,bert_score_P
group,0.028191994945227936,3.0,65.38461145516784,3.3746518119862845e-09,bert_score_P
Residual,0.002299582470986223,16.0,,,bert_score_P
Intercept,0.9349940567761432,1.0,2323.9681088157304,9.412454376250037e-19,bert_score_R
group,0.06369111090768087,3.0,52.769002288226716,1.6125044505018485e-08,bert_score_R
Residual,0.006437224698423982,16.0,,,bert_score_R
Intercept,1.3835731153450495,1.0,4218.347262441799,8.17517957416335e-21,bert_score_F1
group,0.047571832474616535,3.0,48.34692316172302,3.0264738486253804e-08,bert_score_F1
Residual,0.0052478301259405195,16.0,,,bert_score_F1
Intercept,1.4042033352902898,1.0,7309.009322957656,1.0186266949303647e-22,sts_score
group,0.10228356721855725,3.0,177.46516894370143,1.7300153413893011e-12,sts_score
Residual,0.0030739122597743607,16.0,,,sts_score
