Dependent Variable,Group 1,Group 2,Mean Difference
rouge1,128,256,-0.13973459686658102
rouge1,128,512,-0.26901016343548256
rouge1,128,1024,-0.34265846075729056
rouge1,256,512,-0.12927556656890155
rouge1,256,1024,-0.20292386389070954
rouge1,512,1024,-0.07364829732180801
rouge2,128,256,-0.09977491608052169
rouge2,128,512,-0.19680445634661062
rouge2,128,1024,-0.24955952272408766
rouge2,256,512,-0.09702954026608893
rouge2,256,1024,-0.14978460664356597
rouge2,512,1024,-0.05275506637747705
rougeL,128,256,-0.11181171220074893
rougeL,128,512,-0.21876523015150767
rougeL,128,1024,-0.27725381543221467
rougeL,256,512,-0.10695351795075875
rougeL,256,1024,-0.16544210323146574
rougeL,512,1024,-0.05848858528070698
rougeLsum,128,256,-0.12407863886645815
rougeLsum,128,512,-0.24568922087372252
rougeLsum,128,1024,-0.31574443713536454
rougeLsum,256,512,-0.12161058200726438
rougeLsum,256,1024,-0.1916657982689064
rougeLsum,512,1024,-0.070055216261642
bert_score_P,128,256,0.0003222538635253569
bert_score_P,128,512,-0.030345089615200438
bert_score_P,128,1024,-0.09180351700295952
bert_score_P,256,512,-0.030667343478725795
bert_score_P,256,1024,-0.09212577086648488
bert_score_P,512,1024,-0.061458427387759085
bert_score_R,128,256,-0.07295926120150581
bert_score_R,128,512,-0.13297456719130785
bert_score_R,128,1024,-0.14047013967238903
bert_score_R,256,512,-0.06001530598980204
bert_score_R,256,1024,-0.06751087847088322
bert_score_R,512,1024,-0.007495572481081181
bert_score_F1,128,256,-0.04904696600141811
bert_score_F1,128,512,-0.1023671471150096
bert_score_F1,128,1024,-0.12594151256179398
bert_score_F1,256,512,-0.05332018111359149
bert_score_F1,256,1024,-0.07689454656037586
bert_score_F1,512,1024,-0.023574365446784373
sts_score,128,256,-0.05557795662676446
sts_score,128,512,-0.1473069777886883
sts_score,128,1024,-0.1795164938281647
sts_score,256,512,-0.09172902116192383
sts_score,256,1024,-0.12393853720140025
sts_score,512,1024,-0.032209516039476416
