,sum_sq,df,F,PR(>F),DV
Intercept,0.13447010366236065,1.0,22.555218086070198,0.00021776481275335982,rouge1
group,0.21504083519102504,3.0,12.023224997091276,0.00022618361169081776,rouge1
Residual,0.0953890869238157,16.0,,,rouge1
Intercept,0.026656837707449924,1.0,30.21787928227405,4.873259914605579e-05,rouge2
group,0.07480672051156052,3.0,28.266674323606363,1.2467438284418361e-06,rouge2
Residual,0.014114471744858388,16.0,,,rouge2
Intercept,0.045716234920398564,1.0,35.935638284612686,1.8710966120756044e-05,rougeL
group,0.09876496121125605,3.0,25.878348085469426,2.2346251054306308e-06,rougeL
Residual,0.020354717312467536,16.0,,,rougeL
Intercept,0.11863721088229827,1.0,26.562414751034574,9.608239379902618e-05,rougeLsum
group,0.16079759117885634,3.0,12.000653859205478,0.0002284944481922437,rougeLsum
Residual,0.07146170225517015,16.0,,,rougeLsum
Intercept,1.7772462759434837,1.0,3199.977966170491,7.387822196432374e-20,bert_score_P
group,0.037628277556454884,3.0,22.58356288141731,5.397087777604922e-06,bert_score_P
Residual,0.008886292566922227,16.0,,,bert_score_P
Intercept,0.9668619703056437,1.0,267.2604985397746,2.0881513705618076e-11,bert_score_R
group,0.06772781567257286,3.0,6.240452907647101,0.005211846664902887,bert_score_R
Residual,0.057882820728885356,16.0,,,bert_score_R
Intercept,1.2622889728845406,1.0,909.6486270079138,1.5770735912706377e-15,bert_score_F1
group,0.04317592759382053,3.0,10.371350274298972,0.0004933437707954827,bert_score_F1
Residual,0.022202664816397225,16.0,,,bert_score_F1
Intercept,1.2243899334184922,1.0,348.85620138888146,2.739818645456978e-12,sts_score
group,0.18769014791419056,3.0,17.825713375653844,2.355007733929746e-05,sts_score
Residual,0.056155627610179684,16.0,,,sts_score
