Dependent Variable,Group 1,Group 2,Mean Difference
rouge1,128,256,0.025087573991858236
rouge1,128,512,-0.08569566304936871
rouge1,128,1024,-0.24007987668634806
rouge1,256,512,-0.11078323704122695
rouge1,256,1024,-0.2651674506782063
rouge1,512,1024,-0.15438421363697935
rouge2,128,256,0.01374470401931957
rouge2,128,512,-0.052453422517063114
rouge2,128,1024,-0.1421082757269822
rouge2,256,512,-0.06619812653638268
rouge2,256,1024,-0.1558529797463018
rouge2,512,1024,-0.0896548532099191
rougeL,128,256,-0.0015074172152397813
rougeL,128,512,-0.07592757605405623
rougeL,128,1024,-0.171800016428857
rougeL,256,512,-0.07442015883881645
rougeL,256,1024,-0.17029259921361722
rougeL,512,1024,-0.09587244037480076
rougeLsum,128,256,0.030330477616216933
rougeLsum,128,512,-0.06172583415187233
rougeLsum,128,1024,-0.20284688478275092
rougeLsum,256,512,-0.09205631176808926
rougeLsum,256,1024,-0.23317736239896786
rougeLsum,512,1024,-0.1411210506308786
bert_score_P,128,256,0.05352330169656305
bert_score_P,128,512,0.04673335149223956
bert_score_P,128,1024,-0.05472774380898093
bert_score_P,256,512,-0.006789950204323492
bert_score_P,256,1024,-0.10825104550554399
bert_score_P,512,1024,-0.1014610953012205
bert_score_R,128,256,-0.025162037554805172
bert_score_R,128,512,-0.08380303953330381
bert_score_R,128,1024,-0.15090663362962042
bert_score_R,256,512,-0.05864100197849864
bert_score_R,256,1024,-0.12574459607481525
bert_score_R,512,1024,-0.06710359409631661
bert_score_F1,128,256,0.01167676975156784
bert_score_F1,128,512,-0.027902022223974088
bert_score_F1,128,1024,-0.10744154062252687
bert_score_F1,256,512,-0.03957879197554193
bert_score_F1,256,1024,-0.1191183103740947
bert_score_F1,512,1024,-0.07953951839855278
sts_score,128,256,0.008939930073736613
sts_score,128,512,-0.11767302559537263
sts_score,128,1024,-0.22791118824947187
sts_score,256,512,-0.12661295566910924
sts_score,256,1024,-0.2368511183232085
sts_score,512,1024,-0.11023816265409925
