Outcome,Group 1,Group 2,t-statistic,raw p-value,FDR (BH) p-value,Significant (FDR < 0.05)
rouge1,128,256,-0.5282751124976962,0.6142378393561865,0.655187028646599,False
rouge1,128,512,1.7116918292736487,0.13427080303648606,0.17548660331652927,False
rouge1,128,1024,6.6850192953763,0.00015511012538130573,0.0010344311095629116,True
rouge1,256,512,1.8780320472806444,0.09739151709546379,0.14166038850249277,False
rouge1,256,1024,5.574188681246975,0.0009412873577858115,0.003765149431143246,True
rouge1,512,1024,3.0789572053135728,0.019654311075257353,0.03932115775867537,True
rouge2,128,256,-0.7962277030506013,0.44905323342539505,0.5257208586443649,False
rouge2,128,512,2.488328946999942,0.041931442893041446,0.06492610512470934,False
rouge2,128,1024,9.267959450846934,1.7481268076534452e-05,0.00020977521691841342,True
rouge2,256,512,3.0514995841225523,0.01763505161684709,0.03932115775867537,True
rouge2,256,1024,9.64029048035583,1.6349545038954194e-05,0.00020977521691841342,True
rouge2,512,1024,4.440006026307159,0.003840195179449546,0.012288624574238547,True
rougeL,128,256,0.07488333543418234,0.942281871770947,0.942281871770947,False
rougeL,128,512,3.0742022809864618,0.020479769665976755,0.03932115775867537,True
rougeL,128,1024,9.978769883652506,8.62830798693714e-06,0.00020977521691841342,True
rougeL,256,512,2.77092483011418,0.026160728705447066,0.048296729917748436,True
rougeL,256,1024,8.433533503145387,4.476861641333654e-05,0.00035814893130669233,True
rougeL,512,1024,3.8737982559745707,0.007397502183439005,0.01972667248917068,True
rougeLsum,128,256,-0.7715939518731687,0.4691757679749504,0.5362008776856576,False
rougeLsum,128,512,1.445060397111834,0.20064766151115,0.24695096801372307,False
rougeLsum,128,1024,6.812798524986371,0.00017240518492715192,0.0010344311095629116,True
rougeLsum,256,512,1.7760467762408196,0.11403935184840629,0.15639682539210006,False
rougeLsum,256,1024,5.576380816962523,0.0008340002450124538,0.0036392737964179803,True
rougeLsum,512,1024,3.1337811810593483,0.017872813226072867,0.03932115775867537,True
bert_score_P,128,256,-2.654055060356728,0.02957825851506142,0.05258357069344252,False
bert_score_P,128,512,-3.0362879193288626,0.03654833612739837,0.05847733780383739,False
bert_score_P,128,1024,3.362849343642209,0.01939881929573801,0.03932115775867537,True
bert_score_P,256,512,0.5068475722383949,0.6375973637464168,0.6653189882571307,False
bert_score_P,256,1024,7.5164722667896156,0.0004482834191374576,0.0021517604118597962,True
bert_score_P,512,1024,16.54156637284736,1.1503925931982959e-05,0.00020977521691841342,True
bert_score_R,128,256,0.6375145366110119,0.5444374407941697,0.6065917783802407,False
bert_score_R,128,512,1.9299609579479817,0.09067030648689586,0.1360054597303438,False
bert_score_R,128,1024,3.7264798629600016,0.007038175010328144,0.01972667248917068,True
bert_score_R,256,512,1.6558157762605215,0.13892689429225233,0.17548660331652927,False
bert_score_R,256,1024,3.959289290907051,0.004236797060914066,0.012710391182742198,True
bert_score_R,512,1024,1.8356377114905238,0.10499231018681329,0.14822443791079523,False
bert_score_F1,128,256,-0.6203371826700109,0.5560424635152206,0.6065917783802407,False
bert_score_F1,128,512,1.065829050123315,0.3193074375940316,0.38316892511283784,False
bert_score_F1,128,1024,4.413457408181598,0.002324032867413023,0.00796811268827322,True
bert_score_F1,256,512,1.739833473739779,0.1353494743343227,0.17548660331652927,False
bert_score_F1,256,1024,5.779387304107322,0.001116696618521371,0.004123187514540447,True
bert_score_F1,512,1024,2.893172546670168,0.020421227059401192,0.03932115775867537,True
sts_score,128,256,-0.269786475951677,0.7950650122414571,0.8119812890976583,False
sts_score,128,512,2.6294716997176852,0.03180806567623114,0.054528112587824806,False
sts_score,128,1024,6.548384477290262,0.00022945737870622601,0.0012237726864332053,True
sts_score,256,512,3.1688412272178774,0.01910667226767193,0.03932115775867537,True
sts_score,256,1024,8.347505580877051,3.6051776438752774e-05,0.00034609705381202663,True
sts_score,512,1024,2.666059759626596,0.03404940410554781,0.05635763438159638,False
