Dependent Variable,Group 1,Group 2,Mean Difference
rouge1,128,256,-0.10431816890225121
rouge1,128,512,-0.2147757004047947
rouge1,128,1024,-0.2957693047723677
rouge1,256,512,-0.1104575315025435
rouge1,256,1024,-0.19145113587011647
rouge1,512,1024,-0.08099360436757297
rouge2,128,256,-0.06527117167183871
rouge2,128,512,-0.13380065610909264
rouge2,128,1024,-0.1905409363548976
rouge2,256,512,-0.06852948443725393
rouge2,256,1024,-0.1252697646830589
rouge2,512,1024,-0.056740280245804964
rougeL,128,256,-0.0908591489541481
rougeL,128,512,-0.172893209294139
rougeL,128,1024,-0.24392761222311898
rougeL,256,512,-0.08203406033999092
rougeL,256,1024,-0.1530684632689709
rougeL,512,1024,-0.07103440292897997
rougeLsum,128,256,-0.09073387823316381
rougeLsum,128,512,-0.19144721488471833
rougeLsum,128,1024,-0.2670646385641149
rougeLsum,256,512,-0.10071333665155452
rougeLsum,256,1024,-0.1763307603309511
rougeLsum,512,1024,-0.07561742367939658
bert_score_P,128,256,-0.0006758598973735097
bert_score_P,128,512,-0.010026008519178009
bert_score_P,128,1024,-0.07697408471072198
bert_score_P,256,512,-0.0093501486218045
bert_score_P,256,1024,-0.07629822481334847
bert_score_P,512,1024,-0.06694807619154397
bert_score_R,128,256,-0.059742140770605245
bert_score_R,128,512,-0.10681704128582381
bert_score_R,128,1024,-0.10581727352948711
bert_score_R,256,512,-0.047074900515218565
bert_score_R,256,1024,-0.046075132758881865
bert_score_R,512,1024,0.0009997677563367002
bert_score_F1,128,256,-0.03951248182227929
bert_score_F1,128,512,-0.07501885329427183
bert_score_F1,128,1024,-0.09593941970255992
bert_score_F1,256,512,-0.03550637147199254
bert_score_F1,256,1024,-0.056426937880280637
bert_score_F1,512,1024,-0.0209205664082881
sts_score,128,256,-0.0369212374375375
sts_score,128,512,-0.08151847138425727
sts_score,128,1024,-0.13602445318159473
sts_score,256,512,-0.04459723394671977
sts_score,256,1024,-0.09910321574405723
sts_score,512,1024,-0.054505981797337455
