,sum_sq,df,F,PR(>F),DV
Intercept,0.05857221560748554,1.0,47.00498542292652,3.861716379057136e-06,rouge1
group,0.19175996149940006,3.0,51.29664353365239,1.977771479755509e-08,rouge1
Residual,0.019937362841148214,16.0,,,rouge1
Intercept,0.025777144103316385,1.0,19.156961394581025,0.00046925727273161626,rouge2
group,0.104050622124918,3.0,25.775983860481826,2.2934538012997414e-06,rouge2
Residual,0.021529213175202642,16.0,,,rouge2
Intercept,0.03967896378297985,1.0,33.443698262488375,2.7998769902137772e-05,rougeL
group,0.1377808139350026,3.0,38.70984797557325,1.4580370140417678e-07,rougeL
Residual,0.018983050724380047,16.0,,,rougeL
Intercept,0.05626431491809347,1.0,45.12893496185176,4.9404909114301895e-06,rougeLsum
group,0.1697864548639898,3.0,45.39456249261312,4.7451535259876274e-08,rougeLsum
Residual,0.01994793450034826,16.0,,,rougeLsum
Intercept,2.1227955483874728,1.0,5199.512975846879,1.5426776946057721e-21,bert_score_P
group,0.021459545847358236,3.0,17.520793460911865,2.6139196094752457e-05,bert_score_P
Residual,0.006532290414885926,16.0,,,bert_score_P
Intercept,0.8491471135940509,1.0,1844.1009348107118,5.9079006711371485e-18,bert_score_R
group,0.026709328600295578,3.0,19.334968405925554,1.4323299407746556e-05,bert_score_R
Residual,0.007367467561584089,16.0,,,bert_score_R
Intercept,1.2512866629428856,1.0,2803.9487510858153,2.1145927708048578e-19,bert_score_F1
group,0.02171724484115096,3.0,16.22171357764766,4.14150082396286e-05,bert_score_F1
Residual,0.007140139989838722,16.0,,,bert_score_F1
Intercept,1.1524773323182735,1.0,2569.8950360914196,4.230278784269415e-19,sts_score
group,0.04251219006968034,3.0,31.599136679961163,5.894187616919679e-07,sts_score
Residual,0.007175249205951001,16.0,,,sts_score
