Dependent Variable,Group 1,Group 2,Mean Difference
rouge1,128,256,-0.09803195166550327
rouge1,128,512,-0.17409890370292666
rouge1,128,1024,-0.2662717386109679
rouge1,256,512,-0.07606695203742339
rouge1,256,1024,-0.16823978694546465
rouge1,512,1024,-0.09217283490804126
rouge2,128,256,-0.07605910546172759
rouge2,128,512,-0.12475992915420797
rouge2,128,1024,-0.19810297862873838
rouge2,256,512,-0.04870082369248038
rouge2,256,1024,-0.12204387316701079
rouge2,512,1024,-0.07334304947453041
rougeL,128,256,-0.08879081619206997
rougeL,128,512,-0.1462704403259848
rougeL,128,1024,-0.2275526952985426
rougeL,256,512,-0.05747962413391483
rougeL,256,1024,-0.13876187910647264
rougeL,512,1024,-0.0812822549725578
rougeLsum,128,256,-0.08935806679268765
rougeLsum,128,512,-0.16107462091230892
rougeLsum,128,1024,-0.2505420360583672
rougeLsum,256,512,-0.07171655411962127
rougeLsum,256,1024,-0.16118396926567954
rougeLsum,512,1024,-0.08946741514605827
bert_score_P,128,256,-0.006394916844664866
bert_score_P,128,512,-0.0029129141012138593
bert_score_P,128,1024,-0.07856922732145544
bert_score_P,256,512,0.003482002743451007
bert_score_P,256,1024,-0.07217431047679057
bert_score_P,512,1024,-0.07565631322024158
bert_score_R,128,256,-0.051409091285956054
bert_score_R,128,512,-0.06860422584563702
bert_score_R,128,1024,-0.1010344500108738
bert_score_R,256,512,-0.01719513455968097
bert_score_R,256,1024,-0.049625358724917745
bert_score_R,512,1024,-0.032430224165236776
bert_score_F1,128,256,-0.03839742525472556
bert_score_F1,128,512,-0.04584718344094252
bert_score_F1,128,1024,-0.09271218431775519
bert_score_F1,256,512,-0.007449758186216959
bert_score_F1,256,1024,-0.05431475906302963
bert_score_F1,512,1024,-0.04686500087681267
sts_score,128,256,-0.041938842088600214
sts_score,128,512,-0.050845908256821115
sts_score,128,1024,-0.12773000710536953
sts_score,256,512,-0.0089070661682209
sts_score,256,1024,-0.08579116501676931
sts_score,512,1024,-0.07688409884854841
