,sum_sq,df,F,PR(>F),DV
Intercept,0.12670298391964768,1.0,429.8554293929517,5.489689818865538e-13,rouge1
group,0.24988091391632822,3.0,282.5838935167338,4.589768012730428e-14,rouge1
Residual,0.004716115242692811,16.0,,,rouge1
Intercept,0.06092799478072459,1.0,418.2765728139253,6.778912738756654e-13,rouge2
group,0.10259631679624583,3.0,234.7778768873461,1.958426878966646e-13,rouge2
Residual,0.0023306299703408553,16.0,,,rouge2
Intercept,0.07894186092054956,1.0,516.4977127510189,1.3225027056583812e-13,rougeL
group,0.1660669433455469,3.0,362.17876211394696,6.52446377336025e-15,rougeL
Residual,0.0024454508578582303,16.0,,,rougeL
Intercept,0.1172572665745951,1.0,442.38422831429517,4.396097896300522e-13,rougeLsum
group,0.20395237737502192,3.0,256.48819816926994,9.80677911806456e-14,rougeLsum
Residual,0.004240920324719671,16.0,,,rougeLsum
Intercept,2.411541493383212,1.0,74810.70792887507,8.583148902492046e-31,bert_score_P
group,0.020521095806434644,3.0,212.2014361585623,4.310453326510776e-13,bert_score_P
Residual,0.000515763918860587,16.0,,,bert_score_P
Intercept,1.2153023301269203,1.0,10146.065255968862,7.42175759231893e-24,bert_score_R
group,0.03814532840369918,3.0,106.15328153334907,8.960213965554966e-11,bert_score_R
Residual,0.0019164904612250014,16.0,,,bert_score_R
Intercept,1.6490923916606959,1.0,25411.982131650973,4.8270832061978724e-27,bert_score_F1
group,0.026594760818378825,3.0,136.6055635875346,1.3042131399859701e-11,bert_score_F1
Residual,0.0010383085479077076,16.0,,,bert_score_F1
Intercept,1.891486008239459,1.0,8525.39535933823,2.979818124033084e-23,sts_score
group,0.051615441890375056,3.0,77.54785511594913,9.53009168716982e-10,sts_score
Residual,0.003549838436370242,16.0,,,sts_score
