chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time_sec,Model,Machine,success_rate,throughput
128,0,3,1625,128,1800,811,989,0,16,7846.812949,gemma-7b,Lab Machine,0.45055555555555554,0.20709044685550845
128,0,11,2268,256,1800,1127,673,2,20,11092.95897,gemma-7b,Lab Machine,0.6261111111111111,0.2044540150318432
128,0,15,2492,512,1800,1233,567,4,20,14659.033865,gemma-7b,Lab Machine,0.685,0.1699975607498878
128,0,16,2504,1024,1800,1237,563,4,20,20796.042703,gemma-7b,Lab Machine,0.6872222222222222,0.12040752347747283
128,0,16,2504,2048,1800,1237,563,4,20,33171.652108,gemma-7b,Lab Machine,0.6872222222222222,0.0754861407519739
256,0,0,1138,128,1800,569,1231,0,10,7773.415207,gemma-7b,Lab Machine,0.3161111111111111,0.14639639974141935
256,0,5,1738,256,1800,864,936,3,10,11118.868429,gemma-7b,Lab Machine,0.48,0.15631087022011922
256,0,10,2064,512,1800,1021,779,3,10,14783.29415,gemma-7b,Lab Machine,0.5672222222222222,0.13961705551262402
256,0,12,2112,1024,1800,1042,758,5,10,20068.535107,gemma-7b,Lab Machine,0.5788888888888889,0.10523937042436766
256,0,12,2114,2048,1800,1043,757,7,10,30650.380008,gemma-7b,Lab Machine,0.5794444444444444,0.06897141240820599
512,0,1,911,128,1622,455,1167,2,2,6547.540419,gemma-7b,Lab Machine,0.280517879161529,0.1391362163044327
512,0,2,1324,256,1622,661,961,6,2,9556.369489,gemma-7b,Lab Machine,0.407521578298397,0.1385463382850579
512,0,8,1573,512,1622,781,841,6,2,13226.464144,gemma-7b,Lab Machine,0.4815043156596794,0.11892823228296956
512,0,10,1618,1024,1622,801,821,6,2,18277.761898,gemma-7b,Lab Machine,0.4938347718865598,0.08852287326147112
512,0,10,1618,2048,1622,801,821,6,2,27698.356047,gemma-7b,Lab Machine,0.4938347718865598,0.058415019189387775
128,0,4,1616,128,1800,806,994,0,18,63003.417661,gemma-7b,DGX Spark,0.4477777777777778,0.025649402206958792
128,0,14,2278,256,1800,1128,672,2,22,106679.243396,gemma-7b,DGX Spark,0.6266666666666667,0.021353732248961702
128,0,12,1115,512,900,544,356,1,4,77767.54799,gemma-7b,DGX Spark,0.6044444444444445,0.014337600050645494
128,0,13,1123,1024,900,546,354,1,4,111455.096417,gemma-7b,DGX Spark,0.6066666666666667,0.010075806635152769
128,0,20,2509,2048,1800,1235,565,4,22,322180.108492,gemma-7b,DGX Spark,0.6861111111111111,0.007787569542215547
256,0,0,1152,128,1800,576,1224,0,10,76914.66544,gemma-7b,DGX Spark,0.32,0.014977637793908866
256,0,8,2068,512,1800,1025,775,5,10,154229.020206,gemma-7b,DGX Spark,0.5694444444444444,0.013408630861026168
256,0,8,2110,1024,1800,1046,754,7,10,207219.442466,gemma-7b,DGX Spark,0.5811111111111111,0.010182442221106753
256,0,8,2112,2048,1800,1047,753,9,10,305783.412977,gemma-7b,DGX Spark,0.5816666666666667,0.006906849457393091
512,0,1,885,128,1622,442,1180,2,2,66850.742771,gemma-7b,DGX Spark,0.2725030826140567,0.013238446774355286
512,0,3,1345,256,1622,671,951,6,2,98729.404811,gemma-7b,DGX Spark,0.41368680641183725,0.013623094381808185
512,0,1,501,512,722,250,472,0,2,48718.082117,gemma-7b,DGX Spark,0.3462603878116344,0.010283656051911326
512,0,9,1649,1024,1622,817,805,6,2,181674.633875,gemma-7b,DGX Spark,0.5036991368680641,0.009076666152164
128,0,0,12,128,1800,6,1794,0,0,7376.423312,microsoft-phi-4,Lab Machine,0.0033333333333333335,0.0016268046846604294
128,0,0,116,256,1800,58,1742,0,0,14683.881848,microsoft-phi-4,Lab Machine,0.03222222222222222,0.007899818399573927
128,0,0,1194,512,1800,597,1203,0,0,25124.095474,microsoft-phi-4,Lab Machine,0.33166666666666667,0.04752409897644381
128,0,6,1629,1024,1800,810,990,0,0,26850.141311,microsoft-phi-4,Lab Machine,0.45,0.06067007175610764
128,0,7,1633,2048,1800,811,989,0,0,27218.550136,microsoft-phi-4,Lab Machine,0.45055555555555554,0.059995848119777304
256,0,0,28,128,1800,14,1786,0,0,7396.554871,microsoft-phi-4,Lab Machine,0.0077777777777777776,0.0037855461749876063
256,0,1,134,256,1800,66,1734,0,0,14619.044634,microsoft-phi-4,Lab Machine,0.03666666666666667,0.009166125650122972
256,0,1,2126,512,1800,1062,738,0,0,24050.98635,microsoft-phi-4,Lab Machine,0.59,0.08839554307925504
256,0,4,2787,1024,1800,1391,409,0,0,25015.526202,microsoft-phi-4,Lab Machine,0.7727777777777778,0.1114108085312704
256,0,4,2789,2048,1800,1392,408,0,0,25180.509764,microsoft-phi-4,Lab Machine,0.7733333333333333,0.11076026760933053
512,0,0,30,128,1622,15,1607,0,0,6469.285825,microsoft-phi-4,Lab Machine,0.009247842170160296,0.004637297038889142
512,0,0,220,256,1622,110,1512,0,0,12691.961979,microsoft-phi-4,Lab Machine,0.06781750924784218,0.017333805471841934
512,0,2,2424,512,1622,1211,411,0,0,20323.251693,microsoft-phi-4,Lab Machine,0.7466091245376079,0.11927225212857576
512,0,8,2946,1024,1622,1462,160,0,0,21061.329948,microsoft-phi-4,Lab Machine,0.9013563501849569,0.13987720658066774
512,0,8,2946,2048,1622,1462,160,0,0,21010.492606,microsoft-phi-4,Lab Machine,0.9013563501849569,0.14021565582706547
128,0,0,10,128,1800,5,1795,0,0,46705.089945,microsoft-phi-4,DGX Spark,0.002777777777777778,0.00021410942601279685
128,0,0,106,256,1800,53,1747,0,0,99701.064955,microsoft-phi-4,DGX Spark,0.029444444444444443,0.0010631782122672714
128,0,0,426,512,900,213,687,0,0,94012.032716,microsoft-phi-4,DGX Spark,0.23666666666666666,0.004531334848241172
128,0,4,626,1024,900,310,590,0,0,100407.861892,microsoft-phi-4,DGX Spark,0.34444444444444444,0.006234571558483475
128,0,7,1613,2048,1800,801,999,0,0,187639.134881,microsoft-phi-4,DGX Spark,0.445,0.00859628776812981
256,0,0,28,128,1800,14,1786,0,0,51759.326962,microsoft-phi-4,DGX Spark,0.0077777777777777776,0.0005409653031338039
