chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time_sec,Machine,Model,questions_per_sec,success_rate
128,0,3,1625,128,1800,811,989,0,16,7846.812949,Lab Machine,gemma-7b,0.20709044685550845,0.45055555555555554
128,0,11,2268,256,1800,1127,673,2,20,11092.95897,Lab Machine,gemma-7b,0.2044540150318432,0.6261111111111111
128,0,15,2492,512,1800,1233,567,4,20,14659.033865,Lab Machine,gemma-7b,0.1699975607498878,0.685
128,0,16,2504,1024,1800,1237,563,4,20,20796.042703,Lab Machine,gemma-7b,0.12040752347747283,0.6872222222222222
128,0,16,2504,2048,1800,1237,563,4,20,33171.652108,Lab Machine,gemma-7b,0.0754861407519739,0.6872222222222222
256,0,0,1138,128,1800,569,1231,0,10,7773.415207,Lab Machine,gemma-7b,0.14639639974141935,0.3161111111111111
256,0,5,1738,256,1800,864,936,3,10,11118.868429,Lab Machine,gemma-7b,0.15631087022011922,0.48
256,0,10,2064,512,1800,1021,779,3,10,14783.29415,Lab Machine,gemma-7b,0.13961705551262402,0.5672222222222222
256,0,12,2112,1024,1800,1042,758,5,10,20068.535107,Lab Machine,gemma-7b,0.10523937042436766,0.5788888888888889
256,0,12,2114,2048,1800,1043,757,7,10,30650.380008,Lab Machine,gemma-7b,0.06897141240820599,0.5794444444444444
512,0,1,911,128,1622,455,1167,2,2,6547.540419,Lab Machine,gemma-7b,0.1391362163044327,0.280517879161529
512,0,2,1324,256,1622,661,961,6,2,9556.369489,Lab Machine,gemma-7b,0.1385463382850579,0.407521578298397
512,0,8,1573,512,1622,781,841,6,2,13226.464144,Lab Machine,gemma-7b,0.11892823228296956,0.4815043156596794
512,0,10,1618,1024,1622,801,821,6,2,18277.761898,Lab Machine,gemma-7b,0.08852287326147112,0.4938347718865598
512,0,10,1618,2048,1622,801,821,6,2,27698.356047,Lab Machine,gemma-7b,0.058415019189387775,0.4938347718865598
1024,0,1,285,128,910,142,768,2,0,3396.952469,Lab Machine,gemma-7b,0.08389873058303307,0.15604395604395604
1024,0,4,517,256,910,256,654,4,0,5255.348345,Lab Machine,gemma-7b,0.09837597168832392,0.2813186813186813
1024,0,15,655,512,910,315,595,10,2,7747.184735,Lab Machine,gemma-7b,0.08454684151790787,0.34615384615384615
1024,0,22,708,1024,910,333,577,14,2,11738.535174,Lab Machine,gemma-7b,0.06031416948582889,0.3659340659340659
1024,0,23,726,2048,910,339,571,16,2,19119.563164,Lab Machine,gemma-7b,0.03797157883643371,0.37252747252747254
128,0,4,1616,128,1800,806,994,0,18,63003.417661,DGX Spark,gemma-7b,0.025649402206958792,0.4477777777777778
128,0,14,2278,256,1800,1128,672,2,22,106679.243396,DGX Spark,gemma-7b,0.021353732248961702,0.6266666666666667
128,0,12,1115,512,900,544,356,1,4,77767.54799,DGX Spark,gemma-7b,0.014337600050645494,0.6044444444444445
128,0,13,1123,1024,900,546,354,1,4,111455.096417,DGX Spark,gemma-7b,0.010075806635152769,0.6066666666666667
128,0,20,2509,2048,1800,1235,565,4,22,322180.108492,DGX Spark,gemma-7b,0.007787569542215547,0.6861111111111111
256,0,0,1152,128,1800,576,1224,0,10,76914.66544,DGX Spark,gemma-7b,0.014977637793908866,0.32
256,0,3,1337,256,1228,666,561,4,10,0.000324,DGX Spark,gemma-7b,4126543.209876543,0.5423452768729642
256,0,8,2068,512,1800,1025,775,5,10,154229.020206,DGX Spark,gemma-7b,0.013408630861026168,0.5694444444444444
256,0,8,2110,1024,1800,1046,754,7,10,207219.442466,DGX Spark,gemma-7b,0.010182442221106753,0.5811111111111111
256,0,8,2112,2048,1800,1047,753,9,10,305783.412977,DGX Spark,gemma-7b,0.006906849457393091,0.5816666666666667
512,0,1,885,128,1622,442,1180,2,2,66850.742771,DGX Spark,gemma-7b,0.013238446774355286,0.2725030826140567
512,0,3,1345,256,1622,671,951,6,2,98729.404811,DGX Spark,gemma-7b,0.013623094381808185,0.41368680641183725
512,0,1,501,512,722,250,472,0,2,48718.082117,DGX Spark,gemma-7b,0.010283656051911326,0.3462603878116344
512,0,9,1649,1024,1622,817,805,6,2,181674.633875,DGX Spark,gemma-7b,0.009076666152164,0.5036991368680641
128,0,0,12,128,1800,6,1794,0,0,7376.423312,Lab Machine,microsoft-phi-4,0.0016268046846604294,0.0033333333333333335
128,0,0,116,256,1800,58,1742,0,0,14683.881848,Lab Machine,microsoft-phi-4,0.007899818399573927,0.03222222222222222
128,0,0,1194,512,1800,597,1203,0,0,25124.095474,Lab Machine,microsoft-phi-4,0.04752409897644381,0.33166666666666667
128,0,6,1629,1024,1800,810,990,0,0,26850.141311,Lab Machine,microsoft-phi-4,0.06067007175610764,0.45
128,0,7,1633,2048,1800,811,989,0,0,27218.550136,Lab Machine,microsoft-phi-4,0.059995848119777304,0.45055555555555554
256,0,0,28,128,1800,14,1786,0,0,7396.554871,Lab Machine,microsoft-phi-4,0.0037855461749876063,0.0077777777777777776
256,0,1,134,256,1800,66,1734,0,0,14619.044634,Lab Machine,microsoft-phi-4,0.009166125650122972,0.03666666666666667
256,0,1,2126,512,1800,1062,738,0,0,24050.98635,Lab Machine,microsoft-phi-4,0.08839554307925504,0.59
256,0,4,2787,1024,1800,1391,409,0,0,25015.526202,Lab Machine,microsoft-phi-4,0.1114108085312704,0.7727777777777778
256,0,4,2789,2048,1800,1392,408,0,0,25180.509764,Lab Machine,microsoft-phi-4,0.11076026760933053,0.7733333333333333
512,0,0,30,128,1622,15,1607,0,0,6469.285825,Lab Machine,microsoft-phi-4,0.004637297038889142,0.009247842170160296
512,0,0,220,256,1622,110,1512,0,0,12691.961979,Lab Machine,microsoft-phi-4,0.017333805471841934,0.06781750924784218
512,0,2,2424,512,1622,1211,411,0,0,20323.251693,Lab Machine,microsoft-phi-4,0.11927225212857576,0.7466091245376079
512,0,8,2946,1024,1622,1462,160,0,0,21061.329948,Lab Machine,microsoft-phi-4,0.13987720658066774,0.9013563501849569
512,0,8,2946,2048,1622,1462,160,0,0,21010.492606,Lab Machine,microsoft-phi-4,0.14021565582706547,0.9013563501849569
1024,0,0,14,128,910,7,903,0,0,3648.833735,Lab Machine,microsoft-phi-4,0.0038368424041113507,0.007692307692307693
1024,0,0,104,256,910,52,858,0,0,7045.12383,Lab Machine,microsoft-phi-4,0.014761983253884125,0.05714285714285714
1024,0,2,1305,512,910,649,261,0,0,11373.039009,Lab Machine,microsoft-phi-4,0.11474505617779861,0.7131868131868132
1024,0,13,1572,1024,910,775,135,0,0,11820.082521,Lab Machine,microsoft-phi-4,0.13299399536400242,0.8516483516483516
1024,0,14,1578,2048,910,776,134,0,0,11933.212878,Lab Machine,microsoft-phi-4,0.13223597166436135,0.8527472527472527
128,0,0,10,128,1800,5,1795,0,0,46705.089945,DGX Spark,microsoft-phi-4,0.00021410942601279685,0.002777777777777778
128,0,0,106,256,1800,53,1747,0,0,99701.064955,DGX Spark,microsoft-phi-4,0.0010631782122672714,0.029444444444444443
128,0,0,426,512,900,213,687,0,0,94012.032716,DGX Spark,microsoft-phi-4,0.004531334848241172,0.23666666666666666
128,0,4,626,1024,900,310,590,0,0,100407.861892,DGX Spark,microsoft-phi-4,0.006234571558483475,0.34444444444444444
128,0,7,1613,2048,1800,801,999,0,0,187639.134881,DGX Spark,microsoft-phi-4,0.00859628776812981,0.445
256,0,0,28,128,1800,14,1786,0,0,51759.326962,DGX Spark,microsoft-phi-4,0.0005409653031338039,0.0077777777777777776
256,0,1,126,256,1800,62,1738,0,0,103913.579612,DGX Spark,microsoft-phi-4,0.001212546045189357,0.034444444444444444
256,0,0,1730,512,1477,865,611,0,0,0.000171,DGX Spark,microsoft-phi-4,10116959.064327484,0.5856465809072444
