chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time,elapsed_time_sec,Model,Machine,questions_per_sec,success_rate
512,0,1,911,128,1622,455,1167,2,2,0,6547.540419,gemma-7b,Lab Machine,0.1391362163044327,0.280517879161529
512,0,2,1324,256,1622,661,961,6,2,0,9556.369489,gemma-7b,Lab Machine,0.1385463382850579,0.407521578298397
512,0,8,1573,512,1622,781,841,6,2,0,13226.464144,gemma-7b,Lab Machine,0.11892823228296956,0.4815043156596794
512,0,10,1618,1024,1622,801,821,6,2,0,18277.761898,gemma-7b,Lab Machine,0.08852287326147112,0.4938347718865598
512,0,10,1618,2048,1622,801,821,6,2,0,27698.356047,gemma-7b,Lab Machine,0.058415019189387775,0.4938347718865598
512,0,1,885,128,1622,442,1180,2,2,0,66850.742771,gemma-7b,DGX Spark,0.013238446774355286,0.2725030826140567
512,0,3,1345,256,1622,671,951,6,2,0,98729.404811,gemma-7b,DGX Spark,0.013623094381808185,0.41368680641183725
512,0,1,501,512,722,250,472,0,2,0,48718.082117,gemma-7b,DGX Spark,0.010283656051911326,0.3462603878116344
512,0,9,1649,1024,1622,817,805,6,2,0,181674.633875,gemma-7b,DGX Spark,0.009076666152164,0.5036991368680641
512,0,3,572,2048,438,284,153,0,2,0,0.0,gemma-7b,DGX Spark,0.0,0.6484018264840182
512,0,0,30,128,1622,15,1607,0,0,0,6469.285825,microsoft-phi-4,Lab Machine,0.004637297038889142,0.009247842170160296
512,0,0,220,256,1622,110,1512,0,0,0,12691.961979,microsoft-phi-4,Lab Machine,0.017333805471841934,0.06781750924784218
512,0,2,2424,512,1622,1211,411,0,0,0,20323.251693,microsoft-phi-4,Lab Machine,0.11927225212857576,0.7466091245376079
512,0,8,2946,1024,1622,1462,160,0,0,0,21061.329948,microsoft-phi-4,Lab Machine,0.13987720658066774,0.9013563501849569
512,0,8,2946,2048,1622,1462,160,0,0,0,21010.492606,microsoft-phi-4,Lab Machine,0.14021565582706547,0.9013563501849569
512,0,0,30,128,1622,15,1607,0,0,0,51234.737047,microsoft-phi-4,DGX Spark,0.0005855402355725883,0.009247842170160296
512,0,0,210,256,1622,105,1517,0,0,0,99350.511436,microsoft-phi-4,DGX Spark,0.0021137284243904334,0.06473489519112208
512,0,0,2422,512,1622,1211,411,0,0,0,154782.468727,microsoft-phi-4,DGX Spark,0.015647766959136958,0.7466091245376079
512,0,5,2806,1024,1542,1394,147,0,0,0,0.000164,microsoft-phi-4,DGX Spark,0.0,0.9040207522697795
512,0,5,2960,2048,1622,1471,151,0,0,0,159460.702265,microsoft-phi-4,DGX Spark,0.018562567190259328,0.906905055487053
512,0,0,84,128,1622,42,1580,0,0,0,7724.579014,Mistral-7B-Instruct-v0.3,Lab Machine,0.01087437902412011,0.025893958076448828
512,0,2,1477,256,1622,737,885,0,0,0,13806.689769,Mistral-7B-Instruct-v0.3,Lab Machine,0.10697712664742355,0.45437731196054254
512,0,27,3149,512,1622,1551,71,0,0,0,16822.669664,Mistral-7B-Instruct-v0.3,Lab Machine,0.18718788770719097,0.9562268803945746
512,0,45,3291,1024,1622,1599,23,0,0,0,17085.40266,Mistral-7B-Instruct-v0.3,Lab Machine,0.19262057005567818,0.9858199753390875
512,0,46,3300,2048,1622,1601,21,0,0,0,17093.491086,Mistral-7B-Instruct-v0.3,Lab Machine,0.19305594061489187,0.9870530209617756
512,0,0,86,128,1622,43,1579,0,0,0,70237.523899,Mistral-7B-Instruct-v0.3,DGX Spark,0.0012244167394577588,0.02651048088779285
512,0,2,1495,256,1622,746,876,0,0,0,124755.695487,Mistral-7B-Instruct-v0.3,DGX Spark,0.011983420830320203,0.4599260172626387
512,0,27,3155,512,1622,1554,68,0,0,0,150633.294363,Mistral-7B-Instruct-v0.3,DGX Spark,0.020944904732661557,0.9580764488286067
512,0,46,3299,1024,1622,1602,20,0,0,0,145703.552043,Mistral-7B-Instruct-v0.3,DGX Spark,0.022641863933601288,0.9876695437731196
512,0,47,3308,2048,1622,1604,18,0,0,0,147591.732768,Mistral-7B-Instruct-v0.3,DGX Spark,0.022413179505114,0.9889025893958077
